# This is a comment line to skip
username	score	price	total_count	comment
dr_foster_4862	82.0	75.1	83.2	'''Nostrum voluptatum dicta: Deserunt sint	 Mollitia'''
leah_bird_4846	78.0	77.1	72.2	'''(Reprehenderit blanditiis animi cum fugit neque) 	 Beatae repudiandae and Architecto molestiae commodi'''
gerard_mason_4309	53.0	88.1	92.2	'''(Id) 	 Consequuntur magnam corporis and Dolorum consequuntur'''
andrew_robinson_9512	80.0	88.1	99.2	'''Animi autem accusantium esse: Commodi aut	 Officia vero'''
alex_foster_6743	80.0	36.1	69.2	'''Excepturi quis harum	 Reiciendis alias expedita Illum dolorem'''
dr_kelly_8303	99.0	75.1	18.2	'''Ad cumque totam mollitia; Saepe perferendis 	 Facilis consectetur ducimus autem ut quidem'''
francesca_hope_8558	60.0	68.1	97.2	'''Note: Impedit repellendus vitae amet eius	 then Accusantium repellendus adipisci placeat'''
dylan_doherty_5015	95.0	82.1		'''(Voluptates accusantium architecto illum) 	 Ducimus and Praesentium occaecati aliquid'''
charlotte_mccarthy_4248	64.0	10.1	71.2	'''Sequi est	 Dolorum sequi reprehenderit quibusdam Eveniet corrupti alias unde molestias'''
lorraine_smith_7203	74.0		28.2	'''(Tempore voluptate) 	 Accusamus natus and Eligendi explicabo facere consequatur'''
ms_elliott_0446	73.0	77.1	84.2	'''Deleniti doloribus saepe: Perspiciatis in iusto sequi culpa	 Suscipit'''
amanda_woodward_5684	86.0	18.1	24.2	'''Sequi cumque: Labore quaerat architecto	 Repudiandae sint amet earum et quis'''
alexander_hunt_8700	47.0	8.1	68.2	'''(Tenetur hic) 	 Quo ex ullam cum dolorem fuga and Dolor sunt quae'''
dr_moore_4028	31.0	18.1	53.2	'''Note: Assumenda distinctio dolorem nulla	 then Voluptatibus mollitia eum quas recusandae omnis'''
anne_harris_9665	80.0	24.1	2.2	'''(Autem iusto) 	 Numquam dolorum quos quas error numquam and Maxime qui consequatur'''
eileen_burton_3731	52.0	85.1	93.2	'''(Sit rem eligendi) 	 Natus corrupti and Excepturi'''
ms_rees_8726		7.1	54.2	'''Note: Beatae reprehenderit et	 then Voluptate magni similique'''
dr_lane_7332	92.0	67.1	45.2	'''Voluptatibus quod soluta atque; Incidunt aspernatur 	 Tempore harum'''
billy_wood_9763	59.0	70.1	100.2	'''Ut distinctio vitae: Labore qui labore	 Explicabo omnis'''
dylan_webster_9106	60.0	17.1	90.2	'''Ducimus quos vel ea dolor ipsam; Ipsam delectus culpa repudiandae illum possimus 	 Atque exercitationem harum repellat unde iste'''
