username,name,score,age,price,summary,note
dr_bell_8956,Dr Tony Bell,61.0,16.1,29.2,"""Aliquid quo impedit ad; A , Aperiam explicabo""","""(Explicabo pariatur laudantium neque) , Modi id and Voluptas totam necessitatibus"""
bruce_jackson_8229,Bruce Jackson,65.0,3.1,7.2,"""Possimus ut soluta consequuntur sequi iusto; Quae reprehenderit tenetur nisi blanditiis consequuntur , Soluta dolorem""","""Voluptate maiores quam; Cum , Ipsam reiciendis soluta saepe accusantium officiis"""
miss_marshall_0601,Miss Olivia Marshall,61.0,69.1,37.2,"""Provident laborum voluptates: Amet, Cupiditate dolor eius""","""Tempore; Officia eligendi nulla , Neque nam expedita asperiores"""
paula_edwards_3283,Paula Edwards,10.0,32.1,,"""Alias fugiat laborum nam doloremque autem; Quam ipsam , Pariatur praesentium dignissimos quisquam sed minus""","""Similique nesciunt distinctio, Corporis Explicabo"""
lydia_thomas_2587,Lydia Thomas,21.0,7.1,99.2,"""Note: Reiciendis officiis reprehenderit, then Rem quam""","""Note: At fugiat, then Nihil quae"""
bethan_james_8615,Bethan James,53.0,97.1,67.2,"""Note: Debitis atque, then In unde doloremque""","""(Quae) , Consequuntur voluptatibus in asperiores reprehenderit and Itaque temporibus vel ut ab tempora"""
peter_green_4602,Peter North-Green,89.0,42.1,96.2,"""Note: Nemo officia reprehenderit, then Ut labore fugit""","""Note: Enim quia voluptatem voluptatem, then At provident"""
francis_brown_5984,Francis Brown,35.0,2.1,87.2,"""(Nostrum quibusdam quia) , Iusto quas cum beatae and Officiis""","""Note: Ex molestias, then Earum iure"""
kathleen_frost_8688,Kathleen Wyatt-Frost,41.0,89.1,13.2,"""Ex, Sint nobis fuga Possimus""","""(Eligendi) , Distinctio suscipit totam and Optio modi"""
martin_wilson_2358,Martin Wilson,35.0,34.1,22.2,"""(Magni eveniet eius incidunt) , Deleniti and Adipisci nobis recusandae""","""(Dicta omnis) , Nisi modi aspernatur and Minima iusto numquam ullam"""
dr_fletcher_5139,Dr Jordan Fletcher,72.0,87.1,86.2,"""Note: Nesciunt aut voluptatem, then Facilis""","""Maiores sequi; Voluptas possimus architecto , Error tempora aperiam repellat blanditiis placeat nemo"""
gemma_smith_5740,Gemma Smith,59.0,96.1,39.2,"""Corrupti soluta ullam id repudiandae; Provident eligendi eligendi maiores , Similique esse enim""","""Sit magnam alias, Rem Cumque quo"""
alison_wood_1948,Alison Wood,27.0,52.1,54.2,"""Nisi culpa et eum; Esse ab aperiam vitae , Possimus repudiandae""","""Consequatur provident accusamus tempora, Officiis velit dicta facilis quis Nihil sed provident rerum error"""
gerald_davis_8878,Gerald Davis,69.0,84.1,11.2,"""Occaecati at mollitia debitis: Eos consequatur corporis, Quam ratione""","""(Aperiam) , Eos minus amet and Porro delectus corrupti dolorum ipsam"""
glenn_davidson_0072,Glenn Davidson,97.0,7.1,13.2,"""Vel quia, Animi repudiandae error Deleniti provident quidem facere id""","""(Sed occaecati nulla) , Minima and Ab qui dolores"""
mr_todd_5825,Mr Shaun Todd,37.0,50.1,70.2,"""Vitae dolor blanditiis: Culpa a labore molestias, Quo amet quo rerum""","""(Laudantium id eaque) , Repudiandae and Enim corporis"""
shane_jackson_1687,Shane Jackson,71.0,86.1,64.2,"""Note: Maiores, then Saepe vitae""","""Quam blanditiis; Ea , Quaerat sapiente suscipit ea"""
dr_brookes_4768,Dr Marilyn Brookes,55.0,31.1,57.2,"""Harum aut ab ipsum; Id , Iusto voluptate""","""Note: Blanditiis occaecati repellat eaque expedita, then Modi adipisci veniam"""
mrs_douglas_9215,Mrs Claire Douglas,41.0,76.1,89.2,"""Iusto earum minus: Blanditiis labore, Voluptatem""","""Fugiat, Sequi necessitatibus cupiditate Optio placeat dolores nisi ipsum"""
dr_dobson_2968,Dr Joseph Dobson,97.0,55.1,10.2,"""Vel; Dignissimos sapiente inventore officiis repellat corporis , Aliquam ratione voluptatum""","""Explicabo est voluptates, Et quod eius quibusdam Amet officiis molestias quibusdam"""
marc_adams_4640, ,55.0,65.1,96.2,"""Consequuntur voluptatum mollitia nemo; Consequuntur , Accusamus voluptates architecto""","""Debitis dolores: Officia debitis deleniti error, Excepturi delectus voluptatibus"""
dr_turner_5034,Dr Shannon Turner,10.0,87.1,20.2,"""Consectetur laborum; In eius atque , Minus illum magnam adipisci cumque""","""Libero iusto aut commodi in, Vitae incidunt sequi Libero"""
jodie_cartwright_5932,Jodie McDonald-Cartwright,35.0,47.1,25.2,"""Facilis officiis voluptate nulla ea saepe; Doloremque laboriosam fugit nemo , Asperiores porro facere""","""Note: At dignissimos perferendis, then Exercitationem cupiditate repudiandae quidem"""
miss_hardy_2118,Miss Debra Hardy,54.0,26.1,3.2,"""(Excepturi laudantium saepe nam recusandae) , Delectus pariatur quibusdam and Doloribus ratione""","""Hic, Delectus Ut harum"""
lorraine_taylor_5500,Lorraine Taylor,72.0,15.1,93.2,"""Adipisci: Consequatur, A distinctio nulla quo earum omnis""","""Vero voluptatum cumque, Quisquam sequi Voluptatem provident impedit"""
patricia_dodd_2037,Patricia Dodd,47.0,26.1,71.2,"""(Dignissimos vitae iusto omnis iusto) , Dolores nesciunt corporis aspernatur and Aperiam fuga""","""Note: Quia eaque alias iure, then Ipsam"""
christine_reynolds_6205,Christine Reynolds,51.0,3.1,12.2,"""Pariatur quo asperiores quia necessitatibus; Et omnis , Dolorum saepe deserunt ad nulla""","""Placeat eveniet, Natus placeat cupiditate Provident magnam earum quasi tempore quibusdam"""
dean_woods_7116,Dean Woods,53.0,73.1,18.2,"""Explicabo corrupti fugiat quis: Molestiae reprehenderit non, Modi""","""Consectetur praesentium: Sapiente tempora ea optio, Nostrum"""
