# This is a comment line to skip
username;salary;score;total_count;summary
jonathan_davis_4853;94.0;68.1;;'''(Pull affect bring foreign key campaign) ; Arm growth member place and Maybe history'''
april_dunn_3589;23.0;68.1;22.2;'''Source himself mean media decide; Rest business vote hundred another color Company street'''
todd_nichols_8892;43.0;56.1;27.2;'''Heavy institution east; Really through day expert history feel Prepare become when church'''
laurie_taylor_3062;;13.1;8.2;'''Week: Worry; Happen hold career'''
nicholas_johnson_7350;19.0;42.1;71.2;'''Movie night space mention management thus; Leg force feel PM ; People left'''
larry_miller_3900;21.0;70.1;44.2;'''(Think dark) ; Chair attention degree military trial and Minute deep'''
travis_mccall_5409;26.0;49.1;67.2;'''(Memory year father degree detail) ; Door clearly today and Kind'''
joseph_kennedy_5469;75.0;16.1;93.2;'''Return history coach: Know soldier; Drug government gas scientist want boy'''
christopher_lopez_3199;34.0;61.1;97.2;'''Name impact tell pattern difference main; Crime executive western mother gun large Degree while turn'''
jacob_anderson_2533;23.0;59.1;18.2;'''(Billion writer believe up) ; Father whether shake and Management impact customer'''
eric_strickland_5792;15.0;64.1;29.2;'''Know; Most everyone ; Everything none study food'''
brandon_kelly_3406;49.0;33.1;30.2;'''Score anyone; Keep need near ; Worker suddenly these consider'''
michael_hogan_5082;72.0;80.1;3.2;'''Church collection; Ball Wide back new trouble even'''
maria_kaufman_9594;79.0;40.1;93.2;'''Note: Actually production; then Stay record social'''
sarah_gonzalez_6664;68.0;95.1;40.2;'''What; Yeah century least board Others'''
virginia_hernandez_8973;97.0;2.1;15.2;'''Care it: Manager lay see; Product reason'''
shari_hahn_5426;36.0;72.1;16.2;'''Note: Middle perhaps economy agency can; then Pressure level'''
juan_goodman_9711;70.0;11.1;68.2;'''Herself social remember those; Movement ; Place summer structure'''
phillip_zimmerman_0451;13.0;46.1;18.2;'''War spring shake: Minute almost establish that happen; Dog argue'''
renee_gonzalez_4443;16.0;85.1;18.2;'''Else attorney; Seven also base Above share rich choose leader trouble'''
curtis_md_3204;24.0;17.1;73.2;'''Move manager: Fill member fight newspaper market; Century far'''
pamela_walker_0495;74.0;30.1;29.2;'''Left ok; If ; Glass vote'''
chloe_waters_7876;67.0;51.1;56.2;'''Service choose; National west single ; Others grow assume'''
amanda_graham_1569;85.0;91.1;49.2;'''(Happy kid) ; Her trial and Determine special'''
jesse_marsh_8167;100.0;38.1;80.2;'''(Mrs represent four) ; Seven eye will and Card you business'''
lisa_ward_2982;99.0;;23.2;'''Food speak; Bag science manager ; Strong'''
frank_blackwell_7966;24.0;48.1;41.2;'''However civil company; Surface heart true Ready manage she'''
sean_hanson_3697;79.0;81.1;69.2;'''Black color; Identify herself best much improve ; Think fact'''
jordan_brewer_4439;41.0;48.1;35.2;'''(Room of understand condition) ; Employee and Possible TV speak strong'''
john_cordova_2178;1.0;81.1;58.2;'''Two expect account: Consider could room action; Sure same at according section'''
steven_crawford_3794;24.0;4.1;54.2;'''Hear enough force activity even finally; Across Present finally'''
amber_kline_6648;37.0;63.1;10.2;'''(Guess yeah ready) ; Leader example and Professional drug between'''
brittany_alvarez_3191;76.0;30.1;37.2;'''Health accept cold; Message lose owner decade Green truth experience magazine'''
richard_bryant_8142;39.0;7.1;88.2;'''(Do) ; Wear drive hard lose glass voice and Rest look its him century'''
stephanie_austin_7107;83.0;94.1;88.2;'''Do; Audience each trouble Fear yard baby'''
yvonne_henderson_4651;96.0;95.1;82.2;'''Every common: Else still gas; Social quickly television shake'''
colleen_jones_5074;24.0;79.1;1.2;'''Lawyer include; Live Vote most month style'''
alex_green_0377;79.0;95.1;23.2;'''Note: Make; then Dog easy not involve offer bar'''
kristin_hoffman_1688;41.0;91.1;70.2;'''Another political go; Staff quality involve available recent Choose business nice'''
jay_cook_6832;18.0;20.1;59.2;'''Improve similar next animal; Project ; Sport'''
james_hinton_1656;35.0;18.1;44.2;'''Wife blue hope between: Woman tend; Happy name court'''
andrew_robinson_0901;100.0;24.1;25.2;'''Life for ok somebody cost beat: Must; Camera candidate age account'''
evelyn_parker_5207;36.0;17.1;30.2;'''Can represent: Amount life tonight month; Of indeed'''
alan_cortez_8179;45.0;31.1;57.2;'''Despite trade source; Drive use eye ; Author new'''
natalie_nelson_4169;93.0;45.1;38.2;'''(Series section truth five level realize) ; Help be and Form everybody last age'''
emily_good_2334;92.0;81.1;56.2;'''Cold I nearly; Peace term despite ; Ever federal senior'''
michaela_williams_1856;19.0;91.1;23.2;'''(Wide hold) ; Wear cultural and Indicate'''
haley_hunter_7927;31.0;41.1;40.2;'''He person: Behind focus; Laugh begin from'''
haley_howell_2718;44.0;54.1;54.2;'''(Allow military rather carry) ; Only only character author and Understand'''
jennifer_scott_5086;26.0;71.1;86.2;'''(Purpose as office summer) ; Body not technology he and Scientist now point'''
