name;total_count;summary
Tracy Mckinney;36.0;"""(Reality remember necessary) ; Else key and Dark law score"""
Andrew Bartlett;25.0;"""Note: Production collection; then Candidate watch national"""
Paul Chang;22.0;"""Article course understand use; Tell art Point office public"""
Kevin Schmidt;92.0;"""Opportunity; But past though Wear individual"""
Lori Kramer;91.0;"""Member south: Accept single; Size surface billion check all"""
Christopher Green;15.0;"""They hand real yourself work none: Knowledge set; Prevent cost base"""
Brian Moon;40.0;"""Owner forget head; Task suggest song ; Fear crime"""
l;95.0;"""Every discover; Moment air much Their human"""
Tanya Phillips;93.0;"""Beyond teacher possible bad: Action kid day seat bill; Again"""
Bradley Grimes;85.0;"""(Inside risk) ; Contain send and It chance nothing myself"""
Morgan Moore;96.0;"""System likely through street exactly it; You relate response ; Can example"""
Mark Ramirez MD;32.0;"""(Professional enough difficult truth after PM) ; Often also and Owner"""
Robert Watson;33.0;"""Establish scene spring quickly field: Care character; Company throw"""
Jeffrey Brooks;92.0;"""Stay newspaper pressure on south color; House unit Child home me under"""
Joseph Foley;79.0;"""(Foreign whom thus) ; Get back chair forget and Lot interesting detail thought ask major"""
Joshua Figueroa;87.0;"""Interesting executive live hand main; Home Cut reach quite myself read"""
Rachael Williams;98.0;"""Professional nature perhaps rest; Population discussion ; Boy again street left worry list black"""
Julie Davis;38.0;"""Reality kitchen value; Also station Magazine"""
Gregory White;2.0;"""(Draw once program inside) ; Home west and Whose share"""
Brian Stanley;78.0;"""Perform behind American himself; Information believe contain ; Agree eight"""
Mr. Ryan Evans PhD;58.0;"""Care alone your would: Detail; Nature dark"""
Lance Oconnor;39.0;"""Dark fear reduce: Easy after court; Attack law total condition"""
Taylor Hawkins;18.0;"""(Do enough spend) ; Everybody expect today social health and Free information grow admit"""
Kimberly Taylor;46.0;"""(Member effort summer) ; Build relate he somebody and Move billion"""
Erika Shaw;60.0;"""Music: Machine bring; Three"""
Caitlin Cruz;;"""Note: Argue; then Feeling of seat offer box"""
Charles Herman;51.0;"""(Five arrive) ; Teacher although arm ok bag say experience and One address mother local your again"""
Sandra Hodge;13.0;"""Similar way: Spring control lead lose; Picture four"""
Lauren Washington;99.0;"""Physical; Laugh end so rather Push near power ahead simply country"""
