# This is a comment line to skip
name;rating;age;summary
Mary Chambers;91.0;51.1;'''Adipisci nam qui laborum; Dolores laudantium accusamus Quis officiis aliquam odit'''
Mr Joshua Edwards;66.0;;'''(Itaque) ; Quisquam dolore and Id'''
Jennifer Cox;51.0;38.1;'''(Similique voluptatibus inventore animi qui rerum) ; Consequatur reprehenderit and Odit'''
Ms Molly Owen;53.0;61.1;'''Quaerat suscipit assumenda dignissimos: Ducimus provident autem; Soluta accusantium delectus'''
Conor Green-Taylor;19.0;34.1;'''(Amet eligendi blanditiis) ; Autem quidem quisquam and Recusandae inventore'''
Miss Eleanor Lawrence;40.0;55.1;'''Voluptatum molestias nesciunt adipisci; Deleniti eveniet corporis ; A ducimus neque hic'''
Timothy Brown;99.0;11.1;'''Note: Nesciunt repellat pariatur occaecati; then Distinctio possimus officiis'''
Jenna Thomas-Morris;;51.1;'''Note: Dolores; then Totam dolore'''
Tracy Coleman;44.0;88.1;'''Neque tempora: Blanditiis porro ratione velit; Eius eius hic'''
Dr Declan Hughes;89.0;92.1;'''Dolor amet quia ea culpa; Cupiditate mollitia Distinctio cumque est'''
Max Williams;88.0;83.1;'''Enim at incidunt; Unde totam eius voluptatum perferendis amet ; Ea sint'''
Shirley Harrison;77.0;60.1;'''(Incidunt architecto) ; Magnam officia magnam magni esse and Maxime debitis repudiandae'''
Dr Andrea Begum;12.0;77.1;'''(Repellendus commodi reiciendis praesentium) ; Exercitationem harum deserunt nisi eum amet and Magni nam eligendi consequuntur id'''
Dr Jonathan Singh;51.0;91.1;'''Quae unde; Accusamus sed ; Aliquid molestias'''
Michael Vaughan;77.0;93.1;'''(Corporis ab) ; Voluptate quas doloremque corporis temporibus and Eos corporis'''
Ruth James;38.0;56.1;'''Note: Deleniti atque aspernatur; then Voluptatibus illum tempora sit'''
Fiona Wilson;9.0;94.1;'''Note: Ipsa deleniti adipisci veritatis; then Earum fugiat iusto provident totam'''
Christian Lewis;44.0;41.1;'''Eligendi; Beatae Ut explicabo consequatur esse ratione quis'''
Conor Allen;7.0;88.1;'''Eum voluptate nulla unde ex: Voluptatem ducimus rem; Sequi soluta excepturi ducimus asperiores vel'''
Bethan Carter;80.0;98.1;'''Note: Ex nulla; then Quas voluptatum minus sint nihil'''
o;79.0;16.1;'''Quo magni dolorem cumque modi a; Repellendus velit reiciendis fugiat ; Corporis alias quidem numquam'''
Lindsey Jackson;4.0;75.1;'''Note: Corporis quibusdam a; then Vitae'''
Amy Rice;44.0;81.1;'''Note: Qui at; then Beatae beatae error'''
Eric Thompson;82.0;27.1;'''Labore eveniet nobis dolore: Porro incidunt corrupti; Corrupti distinctio delectus'''
