name;score;price;review
Dr Martin Norman;82.0;1.1;"""Quisquam velit; Possimus debitis ipsam possimus perspiciatis maxime ; Asperiores minima"""
Janice Richards;79.0;91.1;"""(Maxime iste) ; Aut voluptatum qui possimus commodi minima and Eos vitae sequi est"""
Craig Taylor-Stewart;;38.1;"""(Provident aspernatur natus excepturi eum fugit) ; Ab neque and Quod fugiat consequuntur adipisci"""
Georgia Newton;90.0;88.1;"""Quam eum dolorem laudantium aliquid; Ratione cupiditate atque alias illum Iste doloremque omnis"""
Mrs Hollie Barton;4.0;46.1;"""Quod a: Modi rem ex; Aperiam"""
Diana Morgan-Kent;19.0;29.1;"""Note: Labore illum; then Beatae unde temporibus maxime"""
Clifford Marshall;51.0;72.1;"""Note: At; then Sit minima labore in"""
Brenda Green-Burns;35.0;41.1;"""Ex error officiis ipsam soluta; Iusto explicabo culpa incidunt aut ; Nam delectus"""
Mr Oliver Morgan;69.0;51.1;"""(Porro odit) ; Officiis beatae consequuntur and Similique"""
Conor Wheeler;42.0;69.1;"""Eveniet voluptas et qui: Doloribus sint assumenda neque dolore; Molestias modi cum voluptate"""
Darren Nixon-Edwards;29.0;7.1;"""Note: Nisi voluptatem dignissimos; then Error tenetur"""
Annette Marshall;80.0;55.1;"""(Ab qui nulla culpa libero) ; Totam id labore dolorem odit and Officiis sunt"""
Lindsey Chandler-Pearson;71.0;77.1;"""Id rerum; Vitae a ; Blanditiis consequatur ea unde modi et"""
Jane Murphy;100.0;18.1;"""Ad possimus optio reprehenderit et: Laudantium magni nisi; Vel sunt"""
x;18.0;49.1;"""Magnam sint quas dolorem perspiciatis fuga; Aut Laborum blanditiis incidunt"""
Gemma Ashton;24.0;36.1;"""Dicta fugit aperiam quas; Doloribus quas assumenda dicta similique ; Asperiores animi neque"""
Joe Johnson;83.0;62.1;"""Note: Similique sequi cupiditate; then Qui perspiciatis"""
Benjamin Bailey;37.0;91.1;"""(Quibusdam saepe quaerat) ; Voluptates fugit and Explicabo saepe"""
Mr Dominic Edwards;36.0;7.1;"""Excepturi hic ea: Ea; Odit voluptatum dolores"""
Gavin Bond;85.0;58.1;"""Inventore aliquid unde; Perferendis ; Facere asperiores laudantium nobis explicabo"""
Jade Ball-Jones;5.0;;"""Odio aut rerum rerum quasi; Doloribus officia ; Nam incidunt impedit"""
Barry Chandler;82.0;48.1;"""Nulla nobis quisquam nemo; Harum suscipit repellendus et temporibus temporibus ; Animi odit quae beatae totam culpa"""
Lesley Thompson;55.0;79.1;"""Note: Omnis quam similique natus; then Doloremque veritatis odit blanditiis velit"""
Abigail James;80.0;27.1;"""Temporibus aperiam quis: Labore id; Odio molestiae"""
Clifford Pritchard;69.0;13.1;"""Enim nulla necessitatibus; Repellendus sed ; Odit eius ea"""
Glen Johnson-Cook;83.0;41.1;"""(Explicabo asperiores) ; Suscipit odio and Delectus expedita"""
Miss Geraldine Smith;35.0;88.1;"""Unde voluptatem dignissimos: Praesentium iure eos; Dolorem tenetur impedit totam"""
Brian Pugh-Woodward;8.0;38.1;"""Id; Animi quasi Ipsum et"""
Gordon Smith;64.0;55.1;"""(Aspernatur) ; Qui veritatis and Occaecati voluptate"""
Miss Carolyn Morris;3.0;97.1;"""Culpa error enim fuga saepe; Beatae Deserunt voluptatem tempore eos mollitia"""
Kathryn Thomas-Ahmed;29.0;58.1;"""Note: Hic eligendi voluptatum excepturi consequatur; then Ab occaecati"""
Beth Palmer;9.0;52.1;"""(Doloremque sequi) ; Provident natus odio voluptas quam and Dolores debitis nam"""
Dr Sean Hussain;14.0;35.1;"""Iusto; Vel ; Dolore aliquam at voluptatum"""
Bryan Watson;36.0;15.1;"""Velit natus veritatis culpa; Incidunt natus voluptate Repellendus assumenda maiores"""
Joanna Fowler;30.0;59.1;"""Nesciunt dolores rem; Eum alias ; Tempore eveniet animi sit"""
Louise Bailey;6.0;4.1;"""Iste quos vel; Aut ; Dignissimos doloremque tempora quia veritatis"""
Shannon Smith;46.0;30.1;"""Odio mollitia quas; Nisi perspiciatis quibusdam vel Necessitatibus voluptate"""
Miss Jasmine Robinson;94.0;74.1;"""(Soluta voluptate) ; Suscipit and Ducimus"""
Alison Humphries-Cook;3.0;8.1;"""Nisi provident officiis illum illum; Tempore ducimus Repellat amet"""
Jonathan Parker-Brown;91.0;84.1;"""Perferendis; Ipsa commodi tempore ; Aliquam nostrum numquam"""
Bethany Spencer;100.0;60.1;"""Impedit facere earum dicta assumenda; Suscipit eum ; Accusamus commodi id"""
Richard Robinson;51.0;3.1;"""(Adipisci rem) ; Voluptate possimus and Reiciendis debitis"""
Gerald Reynolds;5.0;35.1;"""Hic iure: Aperiam fugiat possimus ducimus atque sed; Ipsum laudantium"""
Ms Beverley Walters;8.0;57.1;"""Dolore: Modi modi adipisci assumenda quasi eum; Explicabo"""
