# This is a comment line to skip
username	name	age	salary	total_count	remark
deborah_phillips_5345	Deborah Phillips	95.0	74.1	21.2	"""(Situation record certain will) 	 Machine movie and Former scene about song"""
perry_lewis_6450	Perry Lewis	50.0	15.1	72.2	"""Base; Partner discuss fast produce 	 Phone draw hard shoulder"""
mary_solomon_5577	Mary Solomon	72.0	6.1	34.2	"""(Sit) 	 Argue green drop and Television piece"""
christopher_smith_0771	Christopher Smith	60.0	26.1	12.2	"""Note: Put apply common	 then Rate officer"""
frank_harmon_1872	Frank Harmon	28.0	35.1	94.2	"""Everyone me land	 Increase matter Herself several power behind baby page"""
jeffrey_howe_7221	Jeffrey Howe	51.0	13.1	35.2	"""Experience suddenly way; Experience red 	 Across apply"""
kathleen_wilson_4845	Kathleen Wilson	18.0	58.1	53.2	"""Apply get; Foot read 	 Fly boy beyond begin peace"""
michael_kelly_0688	Michael Kelly	25.0	82.1	16.2	"""Name window score	 Number after writer tonight game Right instead two"""
jessica_russell_3150	Jessica Russell	65.0	5.1	49.2	"""Good value short message talk; Rate space investment 	 Safe old tree call"""
brianna_phillips_7631	Brianna Phillips	57.0	66.1		"""Friend; Accept system 	 Data"""
jennifer_macias_9416	Jennifer Macias	42.0	26.1	23.2	"""(Visit specific) 	 Play rock energy kid and Billion Republican five area"""
sonya_jackson_5612	e	81.0	6.1	49.2	"""Drive month by: May red floor	 Fire now beyond politics just"""
bradley_bell_0747	Bradley Bell	95.0	29.1	88.2	"""Note: Firm from provide	 then List test"""
kylie_bennett_8977	Kylie Bennett	58.0	93.1	54.2	"""Soldier race class game	 Team loss many write yourself source Evidence certain"""
kristen_kim_5196	Kristen Kim	17.0	24.1	97.2	"""Note: Catch mention increase teach own	 then Thank major speak"""
lori_page_6506	Lori Page	17.0	40.1	60.2	"""(Movement each) 	 Trade and Record impact"""
angel_palmer_5037	Angel Palmer		46.1	71.2	"""Soldier receive industry election until glass	 Surface Walk consider test"""
joseph_hensley_5434	Joseph Hensley	24.0	32.1	56.2	"""(Rather whatever room) 	 Them final and Decision degree"""
david_douglas_9010	David Douglas	24.0	52.1	23.2	"""Truth value citizen	 Back back Surface"""
kristen_dixon_3549	Kristen Dixon	48.0	76.1	51.2	"""Note: Because kitchen	 then Training data professor quite"""
lawrence_stephens_1479	Lawrence Stephens	59.0	12.1	80.2	"""Learn term: It official reflect put sound	 Same right"""
traci_thomas_7928	Traci Thomas	58.0		19.2	"""On shake bar: Wide many board station	 President term early"""
brenda_md_5372	Brenda Wilson MD	79.0	68.1	26.2	"""(Boy industry) 	 Own and Choice once imagine"""
