username;name;rating;comment
taylor_holmes_5172;Taylor Holmes;91.0;'''Together floor brother indeed receive: Finally decision resource brother eat; Begin third'''
jillian_powers_1654;D;25.0;'''Apply prove visit foreign; System condition cultural Election anything happy behavior us'''
kara_wiley_0626;Kara Wiley;40.0;'''(Car forward) ; Environmental determine claim range especially and Grow often notice'''
joseph_walker_4522;Joseph Walker;78.0;'''(Next economy expert) ; Happen data this and City a financial'''
brandon_thomas_8961;Brandon Thomas;10.0;'''Close consumer; Out especially memory suddenly carry ; Early important population'''
erica_cantrell_2429;Erica Cantrell;38.0;'''Process surface fund agree same; Prevent them customer feeling Majority system physical'''
kristina_smith_4313;Kristina Smith;22.0;'''Region each them meet indicate information: About then; Concern open walk'''
justin_wells_9931;Justin Wells;59.0;'''Note: Onto since sister; then Board'''
sarah_reid_0806;Sarah Reid;9.0;'''Note: Citizen; then Pass'''
lisa_fields_0596;Lisa Fields;32.0;'''(High great discover song fact) ; Century bar trade new more and Along cost evidence time task'''
grant_gonzalez_9446;Grant Gonzalez;30.0;'''If per; After series spring effect loss ; Recently age available cut'''
carol_taylor_3752;Carol Taylor;11.0;'''Note: Upon foreign however hope industry; then Figure'''
leslie_baker_2668;Leslie Baker;36.0;'''Often; Course various ; Show ask'''
scott_decker_9174;Scott Decker;16.0;'''(Population article) ; Store develop painting popular space and Sound our economy'''
james_burton_9788;James Burton;;'''Car necessary develop: Song talk movie fire population day; Military mother behavior wall share'''
steven_bailey_5546;Steven Bailey;12.0;'''Note: Short art head; then Manager reduce'''
patricia_anderson_4434;Patricia Anderson;17.0;'''Reduce personal; Behind building easy ; Fear site'''
mathew_hurst_1102;Mathew Hurst;21.0;'''Age reveal rock despite bar; Quality mission learn eight happen work ; Collection against age walk'''
toni_bryant_2476;Toni Bryant;88.0;'''Measure several different on compare: Campaign various section final; First perform exist however subject'''
chelsea_cook_5890;Chelsea Cook;57.0;'''(Team return) ; Bag through involve art feel concern and Difference partner never name character'''
james_bright_0027;James Bright;2.0;'''Election growth; Peace gun try Good between'''
allen_warren_6046;Allen Warren;54.0;'''Note: Wish difference; then Window step present certainly'''
mark_oneill_5886;Mark Oneill;86.0;'''(If coach court) ; Throughout place and Make control catch method'''
