username;name;age;price;rating;note;description
tony_parry_6622;Tony Parry;41.0;15.1;52.2;"""Nesciunt tempora sequi beatae sapiente; Fugit asperiores voluptatem Voluptates""";"""Similique aliquid repellat asperiores amet; Blanditiis magni eius ; Quos rerum"""
keith_black_7293;Keith Norman-Black;32.0;24.1;52.2;"""Est ratione: Sit maxime perferendis; Corrupti suscipit""";"""Distinctio ullam: Ipsum doloremque harum voluptatem; Harum ex harum aut eum"""
hannah_gilbert_1058;Hannah Gilbert;53.0;56.1;39.2;"""(Eveniet incidunt cum) ; Totam voluptate vitae esse enim and Ut dicta error""";"""Neque quod sequi dignissimos esse: Dolorem in quasi facere illum; Voluptas quibusdam"""
megan_little_4994;Megan Little;37.0;81.1;79.2;"""(Saepe earum) ; Repellendus consequatur ab eos odit and Quo consequatur facere""";"""Note: Voluptatum veniam; then Adipisci"""
timothy_walsh_2935;Timothy Walsh;86.0;68.1;22.2;"""(Sed rerum cupiditate iste) ; Iure necessitatibus ea labore and Quia voluptas accusantium possimus""";"""Commodi: Dolor atque totam consequuntur praesentium; Sed ipsa et at"""
miss_thomson_9973;Miss Alison Thomson;57.0;82.1;60.2;"""(Non cupiditate dolorem velit sequi) ; Pariatur odio adipisci consequuntur and Culpa consectetur""";"""Note: Vero dolore provident aliquam; then Fugiat optio"""
josephine_adams_8011;Josephine Adams;6.0;88.1;61.2;"""(Reiciendis amet neque sunt cum) ; Aut facere sequi and Nesciunt eaque adipisci asperiores itaque""";"""Officia minus; Quas pariatur in ex Adipisci iusto dolorem vero odit fugiat"""
miss_morley_6600;Miss Lynne Morley;27.0;25.1;18.2;"""Est totam; Corrupti eius Voluptatum maxime""";"""Reiciendis impedit; Aliquid eligendi Sapiente sequi quos porro veritatis assumenda"""
ms_mills_9120;Ms Hollie Mills;52.0;80.1;16.2;"""Facilis; Fugit harum velit Placeat hic vel earum vel""";"""Note: Corrupti labore esse soluta; then Incidunt"""
michelle_barker_5545;Michelle Barker;25.0;51.1;;"""(Fugiat) ; Hic est recusandae and Hic ut aliquid""";"""Ipsam quos sunt quisquam unde quo: Ipsum adipisci odio commodi fugit; Deleniti"""
vincent_thomas_0463;Vincent Johnson-Thomas;81.0;81.1;65.2;"""Note: Iusto; then Maxime ut nam""";"""Occaecati totam; Consequatur cum asperiores Expedita quia animi mollitia adipisci"""
gary_wilson_8064;Gary Wilson;32.0;54.1;32.2;"""Provident corporis: Odit non illo facilis omnis aperiam; Similique magnam qui dolor ipsum""";"""(Mollitia laborum) ; Incidunt rem and Dolor neque iusto"""
denis_hyde_7711;Denis Hyde;88.0;39.1;74.2;"""Omnis; Eius incidunt Incidunt ea""";"""(Ad mollitia amet) ; Sed dolorum sunt perferendis omnis and Quo quia aut"""
heather_edwards_9882;Heather Clayton-Edwards;60.0;51.1;36.2;"""Note: Repudiandae; then Nobis""";"""Ullam ea mollitia; Quam vero ; Inventore pariatur nostrum"""
geraldine_james_9370;Geraldine James;80.0;77.1;2.2;"""Facere: Voluptas non; Consequatur consequuntur illo quibusdam""";"""Dolorum officia reiciendis ipsa aliquam: Officia similique; At quod"""
ms_randall_6787;Ms Amber Randall;49.0;24.1;47.2;"""Dolores ut minima: Beatae beatae dolorem; Repellat perspiciatis in expedita impedit""";"""Eligendi ab: Cupiditate quam accusamus harum; Ad minima ducimus dolor deleniti"""
vincent_stephens_2312;Vincent Chambers-Stephens;75.0;59.1;70.2;"""Et deleniti; Quo omnis ; Ut illum voluptatem omnis alias""";"""(Asperiores exercitationem voluptates) ; Atque porro saepe sapiente veritatis and Aliquid ea itaque molestias dolores"""
ms_owen_8308;Ms Frances Owen;71.0;46.1;30.2;"""(Quod iste nostrum) ; Iusto non and Cumque eligendi""";"""Magni: Facilis; Ex sapiente error"""
mr_thomas_5140;Mr Roy Thomas;32.0;29.1;92.2;"""Adipisci quam harum nobis; Minus optio Corrupti culpa dolores tempora reiciendis sequi""";"""Quis laboriosam vel; Architecto dolor Fugiat ex est possimus illo porro"""
stewart_turnbull_4762;Stewart Turnbull;17.0;89.1;13.2;"""Note: Corporis in quam; then Id distinctio illum doloremque voluptates""";"""Rem eius dicta dolorem: Repellendus esse laudantium ea necessitatibus ullam; Reprehenderit soluta"""
neil_kent_1828;Neil Kent;36.0;75.1;67.2;"""Voluptas voluptatum possimus; Reiciendis omnis In dolores necessitatibus temporibus culpa""";"""Sunt laborum; Quis Nihil expedita rerum molestias delectus"""
dr_rice_8803;Dr Kelly Rice;59.0;72.1;36.2;"""Earum cum dolorum libero quos; Voluptate ; Nulla corporis ipsum id nesciunt in""";"""Nobis: Quisquam; Nam nam neque iure saepe dolor"""
diane_davis_4598;Diane Davis;4.0;3.1;80.2;"""Eligendi quis reprehenderit itaque hic; Nihil iusto Aspernatur cupiditate""";"""(Excepturi minus iste fugit ab dolore vel) ; Dolor temporibus harum and Explicabo"""
dr_begum_3805;Dr Irene Begum;69.0;78.1;17.2;"""(Perferendis rerum) ; Perferendis earum quo and Incidunt velit magnam corrupti molestias possimus""";"""Note: Adipisci dolor; then Nobis iusto"""
joseph_robinson_9625;Joseph Robinson;9.0;9.1;29.2;"""Voluptas minus: Hic iusto corrupti eaque ut; Eum""";"""Quaerat quis vero consequuntur: Velit deserunt; Optio quaerat illum cupiditate"""
paula_lewis_7991;Paula Lewis;68.0;12.1;32.2;"""Note: Ipsum aliquam eius eum debitis minus; then Quibusdam expedita aperiam ipsam incidunt""";"""(Architecto rem) ; Nisi nam pariatur asperiores and Molestias velit aspernatur"""
laura_martin_4069;Laura Martin;2.0;15.1;65.2;"""Sapiente cumque similique temporibus commodi; Nobis tenetur atque ; Quibusdam soluta dolorem magni""";"""Dolore ea velit; Voluptate dolorem vitae ; Repellat fugit debitis iusto dolore"""
dr_brooks_7104;Dr Dean Brooks;43.0;100.1;3.2;"""(Rerum earum) ; Sapiente dolorum and Possimus""";"""Facere quia pariatur hic adipisci; Omnis odit Cumque consectetur accusantium"""
amanda_johnson_0742;Amanda Clark-Johnson;65.0;16.1;2.2;"""Esse laudantium similique; Quae Nemo""";"""Tempora quia culpa; Voluptatum iure nihil omnis ; Aspernatur veritatis vitae"""
dr_hopkins_4243;Dr Derek Hopkins;17.0;39.1;99.2;"""Note: Rerum vitae; then Molestiae dolores itaque quibusdam aut""";"""Quos explicabo; Perspiciatis reiciendis corporis harum sapiente ad Voluptates est"""
dominic_hall_3993;Dominic Hall;94.0;59.1;29.2;"""Praesentium necessitatibus ullam tempore distinctio animi: Iste alias; Tempora aperiam quisquam""";"""Ullam praesentium ipsum velit reiciendis; Natus fuga expedita Molestiae eveniet"""
allan_pope_6681;Allan Pope;;32.1;89.2;"""(Et deleniti) ; Similique commodi alias and Libero nulla quaerat autem unde""";"""Tempora inventore facilis: Dolorem necessitatibus doloribus excepturi soluta; Velit commodi nobis veniam iusto"""
joanne_gregory_4137;D;97.0;97.1;58.2;"""(Laudantium ab magni) ; Eos eveniet illum and Doloremque iste vel aliquid""";"""Officia: Ex aut vel; Sequi aut"""
janice_banks_4396;Janice Nicholls-Banks;42.0;54.1;20.2;"""(Laudantium) ; Laboriosam and Commodi laudantium alias dignissimos commodi""";"""(Rerum omnis nostrum officiis delectus) ; Rem deleniti quas and Laborum adipisci"""
roger_vaughan_7717;Roger Vaughan;99.0;5.1;6.2;"""Dignissimos accusantium cumque ipsa; Aut blanditiis qui perspiciatis ; Excepturi quae error itaque""";"""Modi sit doloribus quisquam facilis; Laborum possimus dolor ; Atque quasi"""
bethany_bates_4678;Bethany Scott-Bates;52.0;88.1;13.2;"""(Laboriosam laboriosam) ; A magni reprehenderit and Explicabo delectus eaque""";"""Nulla voluptatibus voluptas; Animi nesciunt Perspiciatis molestiae iure"""
megan_evans_6914;Megan Evans;27.0;21.1;71.2;"""(Exercitationem repudiandae) ; Optio and Maiores""";"""Illum repudiandae nisi; Quae Quaerat ipsa cumque nemo"""
dr_burgess_3479;Dr Paula Burgess;46.0;;55.2;"""(Sunt asperiores cumque) ; Provident eveniet molestiae and Dignissimos""";"""Nihil provident atque; Facilis laboriosam ; Suscipit explicabo perspiciatis illum"""
dr_richards_0814;Dr Martin Richards;59.0;53.1;48.2;"""Note: Autem impedit; then Ut voluptate quos""";"""(Modi iste) ; Mollitia atque rem and Est neque saepe"""
ms_white_4234;Ms Hilary White;27.0;54.1;74.2;"""Nulla assumenda cupiditate; Dolores a Perspiciatis""";"""(Quos libero nisi neque suscipit) ; Ex libero and Corrupti ex quis unde"""
miss_evans_1603;Miss Catherine Evans;5.0;99.1;30.2;"""(Debitis necessitatibus) ; Aperiam autem similique and Expedita nesciunt architecto""";"""Ipsa eligendi; Ipsa facilis natus Minima unde"""
