username;name;salary;price;remark;review
mr_taylor_9583;Mr Tony Taylor;46.0;77.1;"""Id; Eius minus sunt aliquam Reiciendis fuga inventore""";"""Note: Recusandae doloribus voluptates; then Animi reprehenderit officiis"""
ms_pollard_6756;Ms Marian Pollard;7.0;7.1;"""Note: Quisquam sapiente neque reprehenderit aut; then Neque minima""";"""(Est animi ab ad) ; Adipisci tempora consequatur at and Repellendus ipsam"""
frank_morrison_5696;Frank Morrison;13.0;6.1;"""Earum eum perspiciatis; Nobis repellendus nobis ; Maiores""";"""Est eos similique; Dolorem sequi Iure quidem eaque"""
alex_hayes_9583;Alex Hayes;85.0;8.1;"""Note: Voluptatibus quod consequatur; then Magni quisquam""";"""Vitae aliquam architecto: Autem odit corporis; Quibusdam quibusdam ipsam cumque"""
georgia_morris_4455;Georgia Morris;95.0;52.1;"""Facere minus voluptatibus mollitia: Beatae dolorem; Qui mollitia""";"""Tempora dolore dolore sapiente fuga; Mollitia occaecati porro Facere et provident"""
stanley_taylor_7747;Stanley Miller-Taylor;95.0;41.1;"""Ipsum vitae aliquid dolor; Sit Perspiciatis numquam quos""";"""Ducimus eius: Soluta occaecati; Sapiente"""
sharon_roberts_7740;Sharon Roberts;6.0;;"""Quidem aliquam ipsam animi natus id: Tempora esse; Quibusdam voluptatibus""";"""Veritatis excepturi animi magni; Quam ; Est facere"""
john_walker_0468;John Walker;59.0;88.1;"""(Dolorum ipsam reiciendis) ; Harum provident quod illo ipsum and Adipisci consequuntur sequi""";"""Note: Quis veniam asperiores nobis asperiores; then Recusandae"""
leon_cox_8797;x;27.0;66.1;"""Note: Dolorem atque; then Officia sunt""";"""Reiciendis earum voluptatem dolorum sequi; Dolores culpa Similique cupiditate totam quia doloribus"""
josephine_bruce_8718;Josephine Sykes-Bruce;;34.1;"""Explicabo id quo; Id Dolorum alias""";"""Note: Voluptates fugiat expedita deserunt; then Quia aspernatur"""
alexandra_todd_8898;Alexandra Fowler-Todd;45.0;47.1;"""(Laborum molestias) ; Amet quia et quae incidunt and Expedita cumque perspiciatis optio""";"""Note: In voluptate quo expedita rem; then Quis perspiciatis"""
mr_taylor_7496;Mr Ronald Taylor;27.0;81.1;"""Note: At amet ullam; then Delectus error porro""";"""Recusandae voluptatem animi; Quibusdam error tempora cum odit ; Distinctio ipsam ab"""
keith_doherty_0393;Keith Moss-Doherty;88.0;65.1;"""Minima necessitatibus; Temporibus molestiae laboriosam Veritatis""";"""Note: Eveniet fugit; then Placeat laborum incidunt eligendi voluptates"""
joel_fisher_1439;Joel Fisher;24.0;78.1;"""Est: Occaecati sed veritatis qui; Tempore""";"""Sunt deleniti; Voluptate Earum quaerat"""
dylan_moore_5644;Dylan Moore;78.0;96.1;"""(Asperiores quia deleniti ut) ; Eos and Corrupti delectus adipisci""";"""(Harum explicabo) ; Iusto animi and Repudiandae"""
alice_wright_7939;Alice Wright;50.0;52.1;"""Eum necessitatibus: Et occaecati; Rem pariatur dicta""";"""Omnis quia: Unde ipsam aperiam amet; Magni repudiandae doloremque"""
dr_price_3095;Dr Eileen Price;28.0;93.1;"""Quis neque; Repudiandae Vitae ipsa""";"""Note: Enim voluptates; then Quidem explicabo doloremque"""
conor_shaw_9617;Conor Shaw;100.0;17.1;"""Sunt maxime sequi quam dolores; Quisquam quisquam Omnis quaerat incidunt""";"""Accusamus minus; Vero neque eveniet in praesentium error ; Eius ducimus quis voluptatibus"""
dr_oliver_2067;Dr Connor Oliver;4.0;18.1;"""Quidem velit dolorum culpa sunt explicabo; Maxime expedita blanditiis blanditiis illum Rerum provident aperiam esse""";"""Consequuntur autem adipisci; Debitis explicabo Voluptatibus illum ab optio"""
dr_nicholson_6457;Dr Matthew Nicholson;81.0;56.1;"""(Suscipit illum) ; Sequi reiciendis id and Asperiores nihil vitae""";"""Dignissimos asperiores illo labore debitis exercitationem; Alias quo ; Nobis non doloribus necessitatibus"""
mr_miah_5753;Mr Charles Miah;70.0;14.1;"""Illo nobis eveniet: Repellendus nostrum; Vel commodi""";"""At nam facilis; Nemo repellendus Ab esse fugit"""
natalie_harrison_9739;Natalie Evans-Harrison;61.0;71.1;"""Magnam dolor enim culpa nihil: Eaque consectetur reiciendis; Quas alias laborum dicta cupiditate""";"""Note: Nihil provident; then Veritatis laborum"""
