# This is a comment line to skip
username;name;score;salary;review;note
karen_md_9517;x;27.0;2.1;"""Chance at likely central; Similar evening everything ; Take benefit""";"""Note: Suffer whom question; then Camera point"""
emily_moss_7668;Emily Moss;68.0;;"""Truth heavy last administration: Close cell; Us yard all""";"""Environment; Let After evidence"""
connie_klein_4252;Connie Klein;19.0;95.1;"""(Series hand) ; Late strategy and Somebody medical or""";"""Woman myself score may: Once; Exactly that say ability"""
jennifer_harrison_9134;Jennifer Harrison;47.0;17.1;"""Machine among paper animal amount; Say development Notice during history Democrat""";"""(Return scientist music either receive each) ; Me south building and New"""
samantha_atkins_5067;Samantha Atkins;72.0;47.1;"""(Front paper ever instead) ; Stock majority and Base detail brother miss""";"""Seek study; Generation contain man tend ; Very travel attack tree employee"""
david_schneider_0571;David Schneider;67.0;94.1;"""Mrs yeah: Toward write room court; Because simply low four""";"""Without boy: Something west shake trouble moment individual; Move our top"""
john_thomas_4739;John Thomas;27.0;4.1;"""Majority writer with: Choose marriage investment; Drop new""";"""Computer; Party environment Back election"""
lisa_jones_4146;Lisa Jones;36.0;40.1;"""Might avoid upon Mrs decide: Region; Everything network hot new""";"""Alone: Year reflect; Point many"""
john_martinez_5996;John Martinez;31.0;33.1;"""Matter score water; Take Long appear debate""";"""Create; His process international question southern they ; Pull happy start conference"""
jacqueline_myers_1614;Jacqueline Myers;24.0;18.1;"""(Since boy base current) ; Each and Up suffer""";"""Way activity nothing knowledge; Than seat simple attack necessary begin Great next single member"""
erin_mayo_8275;Erin Mayo;61.0;65.1;"""Note: Compare sport happen notice; then Activity structure whole across commercial peace""";"""Laugh light; Somebody drug Republican interesting fine"""
george_baker_6441;George Baker;7.0;82.1;"""Face; Focus manager memory ; Business""";"""Attack parent sit; Network Mr add ; Figure happy"""
emily_arnold_5974;Emily Arnold;44.0;18.1;"""Cause along everything; Able bring center Structure soldier""";"""Name current agree sea; Quite spring hotel camera keep ; Chance fish have full"""
christopher_cook_6307;Christopher Cook;;88.1;"""Light young goal we; His base ; Card parent""";"""Affect: Foot area imagine director its; Who investment"""
jessica_wallace_7269;Jessica Wallace;81.0;54.1;"""Note: Short perform; then Thought ago""";"""Note: Claim trip relationship; then Already education"""
debra_johnson_3584;Debra Johnson;31.0;25.1;"""Note: Could rock address; then Must outside""";"""Investment; Now charge information everyone that although Visit cell"""
elizabeth_goodman_5096;Elizabeth Goodman;98.0;3.1;"""Manager whose raise; Dark spring dark International""";"""Exist form red after country; Catch who of Up some"""
sarah_young_1456;Sarah Young;47.0;87.1;"""Clear station however truth; Hand body whose ; Son bill""";"""Note: Against increase newspaper compare; then Story great piece front"""
donna_mitchell_2094;Donna Mitchell;35.0;17.1;"""Sea writer well state; Beat perhaps serve ; Picture item anyone whom""";"""Seek space; Herself claim ; Hit certain understand"""
frederick_murphy_5952;Frederick Murphy;69.0;25.1;"""Under; Of Security business""";"""Sit debate: Then music; Safe study why team become"""
victor_harvey_5097;Victor Harvey;69.0;44.1;"""General herself training painting: Choose parent; Item explain""";"""Public use indeed; Trial story letter practice ; Democrat east material"""
vanessa_rodriguez_3493;Vanessa Rodriguez;13.0;41.1;"""Pay summer skill; Others ; To town yard fine per""";"""Around us show serious; Million still understand Avoid"""
virginia_md_0582;Virginia Green MD;86.0;87.1;"""Note: Across read; then Smile along old""";"""Clearly: Sign require fall forget; Will"""
edward_morales_0225;Edward Morales;46.0;97.1;"""Interest: Discuss test; Clearly return""";"""Note: Large consider evidence; then Letter responsibility let explain never nation"""
