name;salary;rating;description;summary
Bernard Harris-Perry;49.0;91.1;"""Note: Qui debitis; then Eaque labore ipsam labore quo""";"""Note: Atque cumque; then Sint nihil voluptatem pariatur ducimus"""
Lauren Holland-Johnson;72.0;43.1;"""Aspernatur voluptas provident voluptas; Quas delectus quidem corrupti enim Atque quia velit atque impedit""";"""Excepturi odit sequi; Ut Magni nostrum maiores aperiam"""
Mrs Sian Richardson;;14.1;"""(Delectus maiores soluta) ; Officiis laboriosam minus illo numquam and Sunt labore consectetur""";"""Note: Alias corporis similique; then Quaerat aspernatur occaecati"""
Miss Jodie Fox;90.0;26.1;"""Esse sed vero; Libero ; Maxime facere""";"""Note: In neque; then Cupiditate"""
Darren Phillips;28.0;21.1;"""Nam occaecati asperiores: Et aut explicabo mollitia; Omnis praesentium illum""";"""Inventore voluptate voluptas; Harum quam Facilis perspiciatis error reiciendis"""
Henry Ford;69.0;76.1;"""(Necessitatibus neque aperiam dolore minus) ; Autem and Maiores""";"""(Autem dignissimos earum excepturi) ; Libero veniam necessitatibus and Ipsa"""
Dr Mitchell Roberts;52.0;51.1;"""Impedit praesentium odio: Repudiandae laborum ratione ab; Laborum laboriosam consequatur impedit sint""";"""Note: Alias nostrum; then Quaerat eius quibusdam sapiente blanditiis"""
Miss Clare Bennett;84.0;66.1;"""Architecto nam ab saepe: Nesciunt soluta; Quidem libero consequatur quo""";"""Note: Quam voluptatem voluptates; then Voluptatem"""
Mrs Kayleigh Hall;7.0;69.1;"""(Magnam) ; Aliquam cum and Repellat""";"""Minima tempora quidem: Omnis deserunt veniam; Omnis consequuntur fugiat ducimus"""
Iain Green;11.0;26.1;"""(Natus) ; Voluptas corrupti and Quasi cum""";"""Dolore accusamus reiciendis eaque repellendus; Suscipit excepturi Eligendi unde"""
Leon Willis;10.0;80.1;"""Note: Minus omnis; then Facere quae""";"""Ab asperiores; Porro fuga ; Ab"""
Wendy Watson;53.0;2.1;"""Nemo; Officia animi beatae id eius unde Ab incidunt""";"""Note: Voluptates commodi adipisci; then Explicabo temporibus eius"""
Mr Brian Chamberlain;58.0;19.1;"""Magni modi quod magni; Consectetur odio commodi Voluptatem quod eos""";"""Molestias rem reprehenderit dolores tempora accusantium: Aliquid totam dignissimos; Magni earum"""
Clive Pritchard;56.0;76.1;"""Note: Nisi rem; then Tempore aspernatur""";"""Note: Eos aliquam nihil eaque recusandae perferendis; then Repellat asperiores sapiente est praesentium ipsam"""
