name	score	salary	comment
Tyler Simmons	41.0	54.1	"""Could leave special	 Color especially effort spend Of yes model body"""
Kristen Gilbert		96.1	"""(Part response identify shoulder) 	 It let PM under little and Bring page bring good soon place"""
Michael Smith	39.0	2.1	"""Born	 Apply sort several three teach off put Soon environment employee a without"""
Christine Miranda	10.0	12.1	"""Game artist; Simply likely 	 Who ahead"""
James Harris	27.0	73.1	"""(Difficult serious) 	 Mean community model thought environment we and Look thousand"""
Melissa Porter	59.0	29.1	"""Young treatment; Lose build high option race 	 Which third say management perhaps"""
Joel Hamilton	92.0	81.1	"""Book picture ball	 Say large painting Young entire school"""
Tracey Mcdonald	85.0	28.1	"""(East well) 	 Far sense think and Approach game second"""
Jose Caldwell	41.0	30.1	"""Man; Prove method 	 Here once everything"""
James Edwards	86.0	95.1	"""(Leg) 	 Discussion fear wide can let chance and Agree"""
Patrick Peterson	33.0	40.1	"""Case whose picture man	 Effect will edge Compare"""
Hannah Brown	57.0	69.1	"""Note: Management seat executive compare	 then Enough voice candidate magazine"""
Michael Wright	84.0	5.1	"""(Teach physical number eight) 	 Appear close not man pull and Reality no trouble baby difficult"""
Jake Smith	34.0	3.1	"""Technology: Believe	 Service"""
x	27.0	63.1	"""(Camera people) 	 Join meeting and Knowledge"""
Kelly Ball	85.0	27.1	"""Eight east: Become central	 Social"""
Andrea Sanchez	99.0	36.1	"""Western realize: Get	 Different themselves TV"""
Tonya Henderson	21.0	89.1	"""(Class white skill next pressure) 	 Community avoid less public and Season probably car fund"""
Linda Stewart	97.0	52.1	"""(Easy pick country next star) 	 Rate woman and West street"""
Cindy Valdez	43.0	35.1	"""Note: Course believe federal	 then About mean"""
Justin Alvarez	25.0		"""Certainly thing mouth upon low second	 Simply staff prove sister Record authority per collection"""
