# This is a comment line to skip
name;rating;salary;comment
Shannon Mckee;68.0;46.1;'''Lawyer produce issue more; Fear ; Make'''
Adam Miller;16.0;62.1;'''Note: Anything show through; then Deal health'''
Gabriel Blackwell;71.0;66.1;'''International eye these; Allow ; Recognize story its'''
James Bradshaw;65.0;8.1;'''Peace young while situation heavy data; Manager land plan opportunity ; Citizen public sometimes even'''
Sean Johnson;93.0;38.1;'''Note: Kid value sound; then Win somebody'''
Nicholas Williams;84.0;2.1;'''Week mother response: Good how brother; Human security trade'''
Dr. Randy Green II;27.0;19.1;'''(Else recently) ; Simply respond your president and Author city stage'''
Veronica Tucker;80.0;10.1;'''(Act base sister glass TV) ; Pull raise they and Pretty have pressure far believe talk action'''
Barbara Martinez;61.0;41.1;'''Check guess trip risk; Main ready ; Necessary'''
Philip Ward MD;58.0;74.1;'''Nice: Accept because; Likely foot tell state'''
Regina Smith;82.0;62.1;'''Whom: Hit; Paper'''
Melissa Simpson;77.0;58.1;'''Fight: New where difference; Than policy report fire'''
Miguel Wilson;87.0;;'''Note: Far produce student; then If after'''
Dennis Tate;91.0;36.1;'''(Number strong four over spend) ; Deal member upon and Situation single card'''
A;47.0;27.1;'''Note: Something computer; then Should teacher your store summer'''
James Rios;82.0;1.1;'''Drug evening; On indeed behind Center worry remember'''
Patrick Davis;74.0;17.1;'''Visit; Middle ; Say'''
Lauren Burke;58.0;99.1;'''(Seat economy morning) ; Although you where story letter and Remember health campaign follow'''
Rodney Shaw;60.0;74.1;'''Against dog; Contain activity forget ; Foot close also industry create'''
Ricky Peterson;27.0;16.1;'''Note: Take my structure blue identify before; then Operation around'''
Kevin Nixon;87.0;95.1;'''Find score chair I performance; Happen act human Owner than approach police specific'''
Michelle Mclean;43.0;88.1;'''See attorney keep smile music: Less character; Factor success'''
Jacob Simmons;1.0;1.1;'''Note: Write free push; then Join alone card nothing cause'''
Ronald Morgan;97.0;91.1;'''Or yet house leader try; Away born PM argue ; Security fund himself require'''
Jamie Beck;94.0;51.1;'''(Behavior) ; Deep choice certainly and Note team speech couple'''
Johnny Miranda;89.0;34.1;'''Themselves; Section ; Woman owner night business'''
Douglas Mann;76.0;21.1;'''(Everybody) ; Detail international food begin prove and Catch possible plan room'''
Hailey Gardner MD;13.0;2.1;'''Mind direction this station: Including parent; Phone art very wait they me'''
Nathan Hernandez;24.0;83.1;'''Successful most; Choice doctor front Individual next wall cultural'''
Jean Lindsey;68.0;8.1;'''Full night newspaper; Add reveal station ; Another book see me daughter staff'''
Sarah Bryan;42.0;55.1;'''He Congress; Top ball Forget consumer real what'''
Grace Gonzalez;20.0;10.1;'''(Forward fight campaign common side) ; Trial remain and Action offer likely'''
Brent Lloyd;63.0;91.1;'''Book much range admit police: Risk although animal; Party report yard'''
Daniel Parker;75.0;67.1;'''Here only write teacher institution; Hold Member'''
Cathy Faulkner;85.0;55.1;'''Note: Research already check film chair; then Dinner part after take'''
Melissa Leblanc;87.0;39.1;'''(Stay) ; Big agree and House half statement'''
James Brewer;37.0;85.1;'''(Join letter) ; Yes support yeah and Fall business week'''
Rachel Beck;13.0;47.1;'''East even owner rule; Similar blood leave story ; Issue south even prepare strategy'''
Mark Aguilar;94.0;1.1;'''Make current; Force Trip door program piece need something'''
Claudia Spence;5.0;24.1;'''Property: Market south treatment yet; Process budget back'''
Amanda Baker;;25.1;'''Note: Measure smile; then Ability then radio'''
Michael Garcia;25.0;96.1;'''International too arrive today development; Figure individual Around still'''
