# This is a comment line to skip
username	name	total_count	price	description
samuel_ferguson_6404	x	3.0	10.1	'''(Ground rule) 	 Writer environment process treat capital and Get'''
dr_evans_0793	Dr. Alexander Evans	47.0	85.1	'''Use resource; Write choose 	 Page edge president'''
maria_lee_6415	Maria Lee	6.0	62.1	'''Note: Five watch goal	 then Thus hour'''
cindy_nichols_1313	Cindy Nichols	30.0	19.1	'''General energy two push fight; Blue happy assume 	 Realize write start happy manager'''
jennifer_wilkinson_8166	Jennifer Wilkinson	71.0	64.1	'''Per middle: Lawyer nothing yes issue	 Traditional heart'''
aaron_crawford_4260	Aaron Crawford	44.0	43.1	'''(Early simply style color) 	 Money large brother just six especially and Through'''
levi_deleon_3953	Levi Deleon	88.0	74.1	'''Nothing fight kid	 However own sense set Laugh paper late almost'''
karen_brooks_9800	Karen Brooks	14.0	3.1	'''Rich street eat; Might activity daughter 	 Hair article'''
fred_weaver_0731	Fred Weaver	46.0		'''Approach so us: Others expect model send	 American'''
tina_king_5975	Tina King	61.0	1.1	'''Economy mouth run	 Walk decide business crime Seek sister policy white nearly'''
suzanne_brown_0276	Suzanne Brown	66.0	44.1	'''Serve same might police; Design half 	 Add third recently past left'''
steven_goodman_8556	Steven Goodman		60.1	'''Note: Should apply issue	 then Moment result'''
cameron_miller_8769	Cameron Miller	84.0	90.1	'''North: Hundred executive on often	 Before last'''
michele_miles_2574	Michele Miles	25.0	67.1	'''City range natural quite right heavy: Suddenly whose	 Teach professor'''
sharon_evans_7373	Sharon Evans	95.0	50.1	'''(Spring hand writer direction method) 	 Recognize and When meet region treatment'''
kristin_reynolds_2916	Kristin Reynolds	35.0	20.1	'''Note: Result how head	 then Air'''
john_sanders_8457	John Sanders	17.0	14.1	'''Note: Bring	 then Civil brother'''
christian_kennedy_0485	Christian Kennedy	100.0	12.1	'''Note: Politics fine fill	 then Concern no human'''
shelly_smith_7201	Shelly Smith	60.0	18.1	'''Wrong technology; Movie effort sit card 	 Subject'''
tiffany_carr_8880	Tiffany Carr	58.0	4.1	'''Note: Protect market future	 then Thousand arrive difficult order'''
michelle_bailey_5156	Michelle Bailey	7.0	16.1	'''Material develop: Your challenge machine	 Discussion structure'''
connor_phelps_8589	Connor Phelps	32.0	54.1	'''Nothing left; Though each 	 Peace argue nothing'''
melanie_bennett_8995	Melanie Bennett	98.0	73.1	'''(Drop show) 	 Community sport on economy and Star military suffer'''
haley_duncan_0510	Haley Duncan	11.0	39.1	'''(Hold feeling art) 	 Price and Affect couple civil'''
mikayla_dds_7955	Mikayla Ball DDS	72.0	43.1	'''Note: Those time	 then Simple reality charge budget'''
edward_soto_3229	Edward Soto	86.0	89.1	'''(There indeed bring) 	 Water gas image rise spring and Region song under choose everyone'''
samantha_page_7724	Samantha Page	22.0	60.1	'''Key though; Maybe war base sea agreement 	 Difference happen'''
alexandra_white_1668	Alexandra White	14.0	29.1	'''Owner; Hand 	 White without south'''
jennifer_harris_8398	Jennifer Harris	56.0	64.1	'''Memory between	 Consider respond Make soon my bill stop'''
timothy_joyce_0388	Timothy Joyce	86.0	76.1	'''Note: Item three sit	 then Across something result pattern'''
