# This is a comment line to skip
name;age;total_count;review
Amanda Hill;12.0;61.1;'''Note: Mother southern hit career; then Give bit off'''
Anthony Jenkins;74.0;81.1;'''Resource blue film program: Science enter various some; Operation color'''
Sherry King;59.0;;'''Last business; Board central information machine ability ; Thus city media state'''
Lauren Watts;53.0;83.1;'''(Ball) ; Deal road executive and Offer'''
Richard Owen;14.0;52.1;'''Note: Floor girl loss; then Student card conference full'''
Ryan Green;55.0;28.1;'''(Media year) ; Heavy against and Seven place man'''
Mrs. Lisa Jenkins DVM;25.0;52.1;'''Agreement often; Can audience production ; Your window'''
Scott Grant;68.0;78.1;'''Son tend; Civil ; These worry his situation'''
Amber Wiggins;64.0;94.1;'''(Pull account) ; Most forget and Month whom business heavy between both necessary'''
Garrett Atkinson;60.0;6.1;'''Same: Difference develop radio; Laugh network'''
Daniel Cruz;96.0;79.1;'''(Make size action knowledge pick) ; Nearly act interview amount and Same beat much share'''
Michael Hall;47.0;88.1;'''Page light whole thousand it training: Defense scientist reality; Friend foot must talk'''
Allison Robinson;88.0;9.1;'''(Carry security blue admit) ; Myself event argue occur and Place piece current walk Congress'''
Christina Jones;91.0;19.1;'''Stage expect: Trouble growth cover yet especially; Rich condition throughout bad'''
Anita Cameron;44.0;47.1;'''West executive protect; Second Stage every defense'''
Edwin Johnson;46.0;41.1;'''Attention professor; Far just go Their whether collection'''
Laura Jackson;76.0;1.1;'''Back school guess; Air city lead run protect Alone space with'''
Victoria Campbell;96.0;1.1;'''Song our system prevent over: Ten amount leader when employee; Pm group'''
Tina Gutierrez;;15.1;'''Fish seat catch performance; Party politics ; Also'''
Christopher Carter;34.0;74.1;'''Condition: Peace under; View carry'''
James Bishop;2.0;84.1;'''Clear dog memory term building: Nation parent similar; Now'''
l;54.0;20.1;'''Test worry picture affect across: Week; Stop church blood policy'''
Cameron Hudson;95.0;17.1;'''Note: Difference will meeting; then Environmental production president'''
Ryan Leon;43.0;61.1;'''Note: Social hard about popular; then Beautiful writer live'''
Matthew Riddle;50.0;24.1;'''Manage federal wind job campaign people; Benefit increase imagine hand Religious laugh'''
Casey Elliott;61.0;10.1;'''Two with live play manage need teacher; Behind fire including ; At police'''
