name;username;score;rating;summary;remark
Eleanor Baxter;eleanor_baxter_2512;43.0;87.1;"""Modi libero voluptatum sunt; Sit repellendus minus doloremque Iste harum dolorum""";"""(Odit autem ex) ; Eum sunt est maiores cupiditate veritatis and Adipisci ipsa modi illo"""
William Thomas;william_thomas_7795;5.0;44.1;"""Dolorem perferendis; Itaque ; Qui aliquam fuga distinctio""";"""(Modi ipsam) ; Unde and Asperiores commodi quis fugit"""
Nicholas Rogers-Smith;nicholas_smith_7672;97.0;96.1;"""Praesentium veniam beatae recusandae: Illo; Tenetur repudiandae nemo ea minus sint""";"""Note: Et ipsa; then Tempora fugit"""
Mrs Michelle Scott;mrs_scott_7593;69.0;91.1;"""Quo numquam perferendis; Praesentium ; Nulla corrupti deserunt""";"""Libero aut facilis ullam necessitatibus ad; Nisi rem accusamus Dignissimos labore numquam"""
Donald Nolan;donald_nolan_1367;33.0;33.1;"""Ipsam: Vitae asperiores; Cum soluta esse quia id""";"""Note: Voluptatibus vitae rerum; then Iusto modi ipsa dolorem"""
Glenn Richards;glenn_richards_3950;56.0;;"""Impedit a: Mollitia est pariatur; Quod maiores perspiciatis occaecati nesciunt ab""";"""Note: Molestiae eligendi; then Laboriosam earum"""
Dr Mandy Shaw;dr_shaw_3875;45.0;65.1;"""Note: Molestias eos; then Illo reiciendis modi deleniti""";"""Note: Reprehenderit ipsam; then Debitis vel esse delectus"""
Ms Rosie Farmer;ms_farmer_5568;86.0;67.1;"""(Error corporis recusandae) ; Voluptas sint and Aperiam voluptatem amet""";"""Recusandae; Dolor ; Ipsam"""
Miss Karen Graham;miss_graham_7912;34.0;27.1;"""Repellendus quod nesciunt expedita: Eum corrupti aliquid quod; Impedit possimus saepe""";"""Note: Dolor natus; then Aperiam impedit provident voluptate"""
Katherine Chan;katherine_chan_5764;23.0;90.1;"""Saepe vel; Aliquam quasi veritatis ; Neque""";"""Illo; Debitis hic Repellat quo asperiores quibusdam"""
Stacey Thomas;stacey_thomas_6155;32.0;61.1;"""Note: Animi iusto; then Debitis iusto ex ipsum vitae""";"""Note: Eos commodi; then Assumenda aspernatur facere"""
Hazel Wilson;hazel_wilson_8655;19.0;75.1;"""Maiores quidem perspiciatis; Sed Impedit pariatur velit quaerat suscipit""";"""Nam adipisci dolores rerum beatae at: Earum atque; Praesentium"""
Leon Davey;leon_davey_3733;77.0;48.1;"""(Harum illum quo) ; Quibusdam and Necessitatibus consequatur""";"""Quod dolores; Sequi voluptatem fugiat Doloremque quibusdam quia reiciendis"""
Marcus Hodgson;marcus_hodgson_1745;25.0;1.1;"""Note: Beatae voluptatem nobis tenetur repellendus nulla; then Fugit enim nemo temporibus eum autem""";"""(Quidem ab) ; Harum sit and Necessitatibus veritatis omnis"""
Mrs Kathryn Pritchard;mrs_pritchard_7472;;35.1;"""Magnam delectus enim; Maiores tenetur impedit ; Facilis quis occaecati""";"""Ut eos: Voluptatem distinctio mollitia consequatur; Sunt fugiat"""
Dr Frank Khan;dr_khan_2826;60.0;87.1;"""Nostrum exercitationem quasi; Quia ; Sapiente veniam neque dolor nulla""";"""(Unde et ex) ; Inventore omnis cumque and Enim maiores mollitia dicta asperiores"""
Janice Davis;janice_davis_3201;20.0;40.1;"""Mollitia ea; Magni itaque Assumenda ut saepe""";"""Note: Aperiam temporibus; then Quos doloribus"""
e;rosie_hale_1412;97.0;73.1;"""(Aliquam aliquid soluta ipsa) ; Dolores and Maiores""";"""Explicabo; Optio dolorum Quia"""
Wayne Robertson;wayne_robertson_7312;96.0;27.1;"""Note: Dolore praesentium iure; then Tenetur nesciunt""";"""Dignissimos debitis; Quibusdam quod eius Error debitis nihil vitae"""
Maurice Clayton;maurice_clayton_6900;44.0;27.1;"""Beatae: A saepe; Atque quam""";"""Autem quisquam: Nesciunt nisi quo sint; Nulla"""
Julian Begum;julian_begum_7339;43.0;68.1;"""Nam; Perferendis veritatis impedit sunt ; Quae ipsa unde""";"""Sunt; Odit voluptatem voluptatibus ; Voluptatem eos sapiente harum"""
Dr Derek Parker;dr_parker_9769;74.0;90.1;"""Note: Quibusdam modi omnis; then Quisquam quaerat aperiam id""";"""Voluptatum eligendi a; Error Accusantium"""
Kenneth Nelson;kenneth_nelson_7625;47.0;33.1;"""Occaecati rem odio accusamus culpa: Eius laudantium; Nobis iusto soluta""";"""Distinctio a laborum; Aut modi qui inventore Est aliquid provident debitis dolorem"""
