username	score	salary	comment	summary
geraldine_fisher_3089	36.0	48.1	"""(In) 	 Consequatur rem pariatur and Excepturi minus"""	"""Note: Cum	 then Porro quas"""
harriet_hart_5390	91.0	78.1	"""Praesentium; Eligendi quasi iure 	 Facere ratione beatae"""	"""Harum reprehenderit	 Iure facilis Laborum sit eius"""
dr_wilson_0462	85.0	90.1	"""Maxime	 Quod non Explicabo numquam laborum officiis quae possimus explicabo"""	"""Architecto: Excepturi	 Rem"""
miss_anderson_8469	50.0	52.1	"""Et accusantium; Aliquid quas 	 Maiores"""	"""Note: Aliquid	 then Dignissimos at pariatur"""
mohammad_barker_2744	31.0	25.1	"""Eos voluptate sint: Error cumque itaque tenetur	 Beatae ipsam laborum eligendi"""	"""Note: Nemo molestias eligendi	 then Ipsam voluptate"""
paige_ball_1876	54.0	22.1	"""Note: Assumenda sunt optio nesciunt tempore	 then Ab occaecati"""	"""(Facilis nihil expedita ipsam aut aut) 	 Impedit velit consectetur omnis and Fugiat adipisci vitae quae"""
dr_reed_2999	35.0	17.1	"""(Voluptatibus ex deleniti sit beatae eum) 	 Cum a voluptatibus maxime animi repellat and Amet saepe numquam"""	"""Harum aliquam voluptatum; Molestias recusandae rerum impedit consectetur 	 Recusandae provident maiores repudiandae"""
dr_lawson_1187	78.0	28.1	"""Note: Aut veritatis	 then Nostrum esse"""	"""Note: Adipisci ut magni	 then Officia placeat"""
mr_dixon_1147	48.0	55.1	"""Assumenda iusto	 Eius Reiciendis"""	"""Note: Officia quisquam	 then Qui ad voluptatum"""
leon_holland_5749	29.0	71.1	"""(Id quisquam perspiciatis corrupti) 	 Blanditiis mollitia quae a and Iure consectetur voluptatum quaerat quos totam"""	"""Note: Quisquam sit doloribus	 then Perspiciatis doloribus nemo"""
ms_jarvis_7628	18.0	72.1	"""(Hic blanditiis) 	 Voluptatibus aspernatur and Impedit"""	"""Blanditiis	 Unde maxime ea Repellat doloribus"""
megan_brown_0344	93.0	85.1	"""Ullam est soluta: Quaerat nisi voluptatem	 Amet placeat debitis fuga"""	"""Note: Unde enim	 then Et dicta"""
dr_graham_8995	70.0	1.1	"""Perferendis aperiam aperiam vitae	 Distinctio fuga doloremque aliquid Cupiditate libero numquam"""	"""(Temporibus voluptatem temporibus fuga error quos) 	 Id cupiditate odit similique quas and Ut nemo reiciendis expedita tenetur atque"""
jill_sutton_8564	31.0	45.1	"""Et odit iusto	 Assumenda nobis eius eius vel Provident placeat dignissimos quidem possimus"""	"""Numquam; Dolorem animi impedit 	 Sed repellendus doloremque"""
mr_sullivan_4078	29.0	1.1	"""Nostrum rerum necessitatibus	 Aut nihil Facere hic molestiae provident quibusdam corporis"""	"""Cumque nesciunt sint; Nisi consequatur tenetur maiores nesciunt 	 Fuga voluptas facilis"""
marc_bull_2272	23.0	93.1	"""Amet sequi; Excepturi maiores earum 	 Sapiente explicabo quae"""	"""(Vitae illum optio minus) 	 Hic ex aspernatur earum earum and Officia excepturi sint tenetur quos commodi"""
miss_martin_7940	13.0		"""Sint; Mollitia nulla 	 Repellendus impedit"""	"""Quisquam sapiente nemo: Cupiditate cupiditate tempore rem	 Sapiente repellendus assumenda at eius"""
amanda_greenwood_0646		29.1	"""Amet voluptatibus	 Porro numquam Itaque tempora doloremque quia possimus"""	"""(Velit sed) 	 Veritatis error and Accusantium maiores magnam nam"""
tom_williams_9771	19.0	81.1	"""(Ducimus error illo) 	 Animi rem and Deleniti optio ab esse"""	"""(Est reiciendis iusto placeat) 	 Neque dicta veniam and Blanditiis molestiae ab perferendis totam"""
neil_johnson_8929	34.0	39.1	"""(Quo accusamus nesciunt error) 	 Illum and Accusamus repellat sunt dolor nisi"""	"""Beatae reprehenderit culpa praesentium aut	 Beatae doloremque eius Consequuntur"""
mr_barton_1167	96.0	78.1	"""Note: Qui magnam	 then Quos beatae"""	"""Similique doloribus: Enim quod	 Laborum quo laborum"""
katie_jones_8102	37.0	95.1	"""Perspiciatis dolorum nisi excepturi quo iusto	 Ad Nam voluptas cupiditate asperiores eaque ad"""	"""(Odit minus voluptate) 	 Ea quidem and Eligendi odit"""
mr_andrews_3311	50.0	24.1	"""Soluta consequatur error odit eos	 Provident nemo Aliquam"""	"""Minima debitis nesciunt; Ex consectetur 	 Maiores"""
carol_jones_8386	85.0	90.1	"""Aliquam doloremque expedita; Maxime eveniet natus 	 Sint quaerat optio"""	"""Magnam sequi vel ea ipsum: Necessitatibus nobis sit	 Praesentium ea aut"""
geraldine_khan_5671	70.0	52.1	"""Vitae	 Dolorum ullam Omnis totam tenetur"""	"""Note: Vel	 then Debitis tenetur nihil"""
mr_hunt_9627	8.0	39.1	"""Note: Explicabo laborum nisi officia molestias commodi	 then Officia alias"""	"""Minus voluptatum; Incidunt aspernatur minus 	 Inventore tempore dolor ullam magnam"""
wendy_turner_1929	68.0	48.1	"""Note: Tempore veritatis id	 then Magnam"""	"""Placeat; Omnis dolores quam eligendi 	 Quibusdam dicta nostrum iusto"""
lesley_richards_7543	56.0	67.1	"""Ut aut; Occaecati facilis nobis 	 Enim in voluptas"""	"""Provident culpa officia maxime incidunt iste: Eveniet natus voluptatum non commodi	 Quod eum consequatur nulla"""
keith_harris_3875	39.0	3.1	"""Dolor corporis	 Dicta officiis aliquid repellendus beatae quam Reprehenderit vel ex"""	"""Note: Ipsa ea	 then Mollitia praesentium sint qui tempore"""
jemma_evans_3243	74.0	81.1	"""Dolore; Inventore 	 Quis quae magnam at necessitatibus assumenda"""	"""Vero numquam illo quos; Iste at doloribus assumenda 	 Tempora minus dignissimos tenetur possimus"""
eleanor_arnold_1778	24.0	99.1	"""Commodi molestiae quis	 Corrupti Blanditiis maiores"""	"""Note: Consequatur unde delectus accusamus	 then Ratione dolore aspernatur consequatur totam voluptatum"""
josephine_davison_2568	50.0	57.1	"""Quisquam officia laudantium; Nobis ratione a itaque 	 Amet officia"""	"""Culpa doloremque quos: Mollitia doloribus asperiores	 Nisi doloribus minima"""
