username	name	rating	price	description
jayne_thomas_1559	Jayne Thomas	45.0	91.1	"""Eos: Laboriosam earum earum	 Repellat"""
amelia_jones_8762	Amelia Jones	73.0	64.1	"""Note: Veritatis illum quae autem ex maxime	 then Quis"""
geraldine_white_1820	Geraldine White	43.0	37.1	"""Cumque esse cupiditate	 Dignissimos ad dignissimos Officia et"""
mr_sutton_4398	Mr Donald Sutton	88.0	10.1	"""Debitis dolore vel illum consequatur labore; Quod eos 	 Iure molestias nobis"""
ashley_butler_1914	Ashley Butler	89.0		"""Note: Sapiente suscipit expedita	 then Rerum a repellat"""
sheila_cook_7796	Sheila Cook	93.0	47.1	"""Note: Eius tenetur quae unde	 then Impedit nihil nisi similique"""
mr_anderson_5162	Mr George Anderson	9.0	53.1	"""(Ducimus accusantium sit distinctio in earum) 	 Quibusdam pariatur and Amet illo nesciunt accusamus"""
dr_barlow_6102	Dr Leah Barlow	69.0	29.1	"""Et et: Sunt error	 At"""
dr_harris_0405	Dr Lydia Harris	59.0	36.1	"""(Fugiat eligendi similique) 	 Laborum magni voluptas perspiciatis quisquam and Quam dolorum"""
alexandra_ross_6707	 	50.0	15.1	"""Note: Corporis	 then Facere fuga"""
dr_smith_4139	Dr Darren Smith	84.0	25.1	"""Nulla expedita accusantium temporibus: Quia fugiat	 Minus atque non placeat"""
gregory_bishop_8838	Gregory Bishop		72.1	"""Note: Eveniet molestias	 then Officia maxime"""
jack_shaw_2561	Jack Shaw	55.0	58.1	"""Harum; Itaque natus dolore 	 Voluptas expedita ratione ratione iure itaque"""
darren_gibson_3912	Darren Gibson	39.0	96.1	"""Note: Doloribus placeat	 then Laudantium neque reiciendis"""
lauren_watts_0907	Lauren Parry-Watts	63.0	28.1	"""Corporis consectetur ratione; Aperiam neque nemo 	 Occaecati"""
dr_burns_9223	Dr Colin Burns	29.0	84.1	"""Amet minus voluptatem; Quod 	 Consectetur quod"""
dr_blake_9840	Dr Ross Blake	56.0	55.1	"""Similique illum accusamus aliquid ipsa; Laborum laboriosam pariatur 	 At quidem"""
debra_hicks_3353	Debra Thomas-Hicks	8.0	77.1	"""Deleniti eum eligendi; Veritatis quod provident 	 Quod"""
keith_day_2826	Keith Gill-Day	15.0	13.1	"""(Eaque praesentium) 	 Asperiores quibusdam and Atque laboriosam"""
henry_lloyd_5980	Henry Lloyd	74.0	21.1	"""At temporibus error beatae inventore dolorem	 Fuga illo eos Deserunt exercitationem at illum voluptatem"""
kieran_wells_7403	Kieran Wells	19.0	90.1	"""Note: Ullam officiis non tenetur	 then Autem voluptatem et"""
ashley_jenkins_5459	Ashley Jenkins	37.0	96.1	"""A fuga; Reprehenderit commodi 	 Dicta totam maxime mollitia"""
