# This is a comment line to skip
name	rating	age	score	message
Dan Howe	73.0	12.1	18.2	'''Accept run sense police: Fine performance before	 You threat power'''
Darryl Sharp	72.0	55.1	54.2	'''Reason evening apply billion six: While rather child imagine	 Surface happen season'''
Monica Grant	85.0	81.1	66.2	'''National activity value about know; Other whether enough reflect 	 Real cultural within effort hotel stage'''
Destiny Vance		42.1	46.2	'''Threat Congress sound	 Money wide recent Oil production'''
Veronica Cooper	79.0	62.1	74.2	'''(Democratic) 	 Wear and Order sing situation weight'''
Trevor Acosta	52.0	92.1	10.2	'''Big popular down involve no within: Clearly small might head speak	 Church note record model of occur'''
David Hughes	61.0	40.1	51.2	'''Book within: Claim finally	 Join land'''
Valerie Lara	99.0	30.1	81.2	'''Collection sort develop	 Sense into ability Than family'''
Walter Gilbert	38.0	67.1	62.2	'''Note: Young manage	 then Test much look start believe'''
Sheila Hood	61.0	5.1	87.2	'''Third shoulder: For large	 Final amount teach'''
Mark Woods	10.0	51.1	91.2	'''Sort laugh about writer option up	 These away it foreign Them travel'''
Teresa Wilson	1.0	60.1	98.2	'''Smile deal: Admit note	 Black car buy work'''
Brandy Schneider	19.0	99.1	50.2	'''(Theory) 	 Ever south and Authority'''
Isabella Martinez	72.0	25.1		'''(Marriage price question) 	 Serve whatever and Top on reveal radio imagine'''
Eric Mitchell	81.0	1.1	80.2	'''Main your analysis down media significant: Student popular artist break	 Exist sign sense look'''
Megan Wilson	77.0	29.1	74.2	'''National few: Design occur	 Popular executive'''
Jennifer Mckay	39.0	21.1	17.2	'''Note: Security factor billion	 then Marriage speak'''
James Winters	64.0	79.1	42.2	'''(White) 	 Race charge and About school'''
Jennifer Wilson	62.0	77.1	65.2	'''Note: Happen chance policy public fear	 then Expect Mrs high difference'''
Kimberly Powell	23.0	74.1	19.2	'''Black list energy item star set worry: Whether	 Country'''
Gary Mitchell	85.0	58.1	45.2	'''Note: Plant everyone reduce raise upon	 then Place sport away past'''
Scott Marshall	80.0	65.1	33.2	'''Training leave start; Worry language 	 Good site cultural'''
Willie Valdez	40.0	92.1	61.2	'''Note: Happen	 then Glass would'''
Daniel Ramsey	26.0	14.1	37.2	'''Skill together	 Town chance Candidate reason information second'''
Kevin Taylor	22.0	36.1	89.2	'''Note: Party skill money hand everyone	 then Carry own because free'''
Katherine Hernandez	28.0	64.1	52.2	'''Important walk line	 Away mouth cut Again understand'''
Kristin Morris	56.0	10.1	81.2	'''Reason also fish: But song	 Interesting industry'''
David Robinson	67.0	73.1	5.2	'''(Nature its and) 	 Accept interview community and Letter assume will pay'''
Jennifer Lozano	33.0	23.1	23.2	'''Job hit: Process type	 Hospital space enter southern together'''
Teresa Wolf	36.0	49.1	18.2	'''Note: Lawyer her company	 then Able turn hit'''
Kristin Wiley	94.0	96.1	93.2	'''Why next: Central chance though nature	 Throughout'''
Allen Walker	49.0		45.2	'''Note: Happy explain	 then Campaign'''
Robert Mcintyre	43.0	33.1	74.2	'''Same debate; Wife quite only 	 Wrong huge this current'''
Miss Nina Mooney	18.0	89.1	100.2	'''First property strong: Key policy	 Buy look stock capital better'''
A	44.0	9.1	11.2	'''Thus over lawyer money	 Step charge suggest world receive Policy mission door'''
Dr. Shirley Mejia	66.0	40.1	19.2	'''(Guy ground standard lead rate) 	 Page office those training and Along gun kitchen old'''
Anne Scott MD	87.0	52.1	60.2	'''Season very leg	 From Work different'''
Jonathon Garcia	39.0	43.1	15.2	'''Thank: Though major	 Something another likely true'''
Tamara Ruiz	32.0	79.1	25.2	'''(Detail create) 	 Bring ready and With peace space per officer exist'''
Diana Sanchez	17.0	84.1	62.2	'''Resource authority: Fast us black good could shoulder	 Car speech fear wait thus recent'''
Erin Barker	91.0	80.1	19.2	'''Your visit enjoy nice better: Decide medical	 Play poor'''
