username	name	score	total_count	comment
jade_green_2966	Jade Green		31.1	'''Omnis aliquam minus saepe explicabo earum	 Assumenda unde inventore commodi sunt Pariatur libero'''
miss_mckenzie_6389	Miss Lindsey McKenzie	97.0	83.1	'''Qui iste voluptatibus nesciunt corrupti: Expedita quibusdam eaque	 Aliquam mollitia'''
sylvia_kemp_6739	Sylvia Moore-Kemp	78.0	50.1	'''Magnam delectus nostrum sed	 Veniam quisquam cumque Dignissimos consequuntur'''
shaun_hill_0923	Shaun Hill	15.0	38.1	'''(Rerum blanditiis) 	 Similique accusantium veniam quos and Vitae nam enim quasi'''
mark_jones_5965	Mark Jones	7.0	6.1	'''Note: Consequuntur repellendus odio	 then Pariatur'''
max_hammond_4096	Max Hammond	92.0	62.1	'''Ad asperiores odio earum odit ut: Quas excepturi culpa enim	 Cupiditate veniam distinctio exercitationem'''
jonathan_turner_8182	Jonathan Turner	40.0	39.1	'''(Ullam) 	 Officiis occaecati esse and Accusamus reprehenderit recusandae'''
mohammad_hunt_5672	Mohammad Hunt	32.0	25.1	'''Note: Molestiae ipsa voluptas	 then Ut quibusdam'''
daniel_bates_1980	Daniel Bates	83.0	37.1	'''Eum	 Quae Nisi tempore dolores veniam'''
miss_hooper_8326	Miss Judith Hooper	93.0		'''(Distinctio nostrum) 	 Nam ea consectetur and Nisi natus laborum perferendis'''
howard_harrison_7562	Howard Harrison	81.0	47.1	'''Temporibus accusantium facere maxime: Dolore	 Culpa molestias quisquam voluptatum'''
vincent_hussain_9145	Vincent Hussain	63.0	9.1	'''(Voluptates) 	 Ratione illo and Voluptas ipsam'''
jay_jenkins_1224	Jay Jenkins	87.0	5.1	'''In occaecati itaque aut quis	 Quisquam ea est Similique nostrum repellat minima'''
miss_mason_2125	Miss Josephine Mason	70.0	42.1	'''Cumque: Optio ipsa necessitatibus minus numquam	 Blanditiis'''
dr_smith_9161	Dr Howard Smith	27.0	95.1	'''Note: Dignissimos officiis	 then Fugiat esse nulla ducimus eos'''
angela_ball_9709	Angela Ball	79.0	41.1	'''Commodi	 Natus pariatur doloremque Repellat'''
glen_reed_0035	Glen Reed	66.0	35.1	'''Labore	 Fugit A nesciunt eaque'''
emily_holt_5558	Emily Holt	16.0	81.1	'''(Atque reprehenderit) 	 Eaque and Culpa consequuntur adipisci iure'''
jade_bird_4285	Jade Bird	5.0	21.1	'''Ex; Earum nihil fuga 	 Quis dolorem quo culpa'''
ms_doyle_1396	Ms Fiona Doyle	88.0	90.1	'''(Quos fugiat) 	 Necessitatibus harum and Doloribus id'''
ms_johnson_8466	A	68.0	41.1	'''Quos: Animi commodi sed nobis pariatur	 Atque numquam maiores illo'''
patrick_reed_7713	Patrick Houghton-Reed	85.0	59.1	'''Quod odit assumenda soluta; Laborum repudiandae 	 Est molestias suscipit'''
jordan_ball_8052	Jordan Fox-Ball	62.0	84.1	'''Note: Labore voluptatem at a rem	 then Consequuntur nesciunt vel'''
ms_webb_8057	Ms Danielle Webb	31.0	86.1	'''Facilis assumenda: Possimus natus quasi illum	 Voluptatibus ex excepturi eligendi'''
lorraine_little_3314	Lorraine Little	36.0	52.1	'''Note: Cumque	 then Fugit fuga possimus sint'''
mr_bryant_7089	Mr Frank Bryant	2.0	39.1	'''Note: Culpa neque	 then Sunt eaque aliquam'''
mr_watkins_1226	Mr Roger Watkins	75.0	100.1	'''Note: Placeat repellat ad	 then Pariatur sapiente sapiente'''
william_evans_4418	William Evans	99.0	60.1	'''Eveniet quisquam magni; Facere occaecati nam deserunt beatae porro 	 Velit'''
dr_read_0655	Dr Terry Read	36.0	100.1	'''(Quaerat enim) 	 Tenetur voluptas qui nulla and Rerum'''
dr_hill_3893	Dr Victoria Hill	40.0	100.1	'''Note: Praesentium placeat occaecati consequuntur	 then Sunt excepturi inventore'''
