name;total_count;note
Mr. Richard Manning;8.0;'''Job meeting section: Evening central rest; Owner treat'''
Charles Briggs;36.0;'''Move heavy appear why; Four president ; Environmental way foreign'''
Joe Davis;48.0;'''Law look response; Know develop including Measure pick create help director'''
William Payne;35.0;'''Style officer significant; Model fight Only find couple'''
Juan Hernandez;74.0;'''Walk response: Wait build; Win'''
Jean Patrick;12.0;'''(Manager impact girl mother) ; Base and Field and wonder check'''
Trevor Reyes;44.0;'''Even fly performance; World work condition security this general Congress room much'''
Tonya Warren;78.0;'''Significant; Rate candidate social Hit west'''
Robert Hartman;17.0;'''(He how ball tend) ; Resource just computer wait and Tv government child'''
Brenda Garcia;91.0;'''(Less current) ; Great dark tough foot white cold and Southern this thus part'''
Maria Valencia;71.0;'''Same too beat him: Benefit identify he; Thing century measure sing likely'''
Rebecca Davis;40.0;'''History: Whom owner; Network draw leader account hear'''
Amy Bryant;33.0;'''Management very dark happen tell: School today season Mr; Issue assume'''
Briana Miller;80.0;'''Cold better: Of operation from upon section; Lead successful'''
Christy Harrison;75.0;'''Note: Nor support; then Process rule loss inside'''
Robert Neal;45.0;'''Speech including natural parent: Discover; Debate hotel her'''
Timothy Rush;34.0;'''Note: Church store question; then Wait fast'''
Miguel Smith;40.0;'''(Since your south) ; Collection hour blue and Before cost traditional everybody lawyer play'''
Matthew Lozano;29.0;'''Whom: Yeah; Throw during official'''
Lance Goodwin;70.0;'''Whom pass past remain; Size necessary ; Show per bill look development decade'''
David Flynn;;'''Center hear which American: Machine all you treatment ever; Network community impact'''
Alexander Brown;90.0;'''Stuff picture: After more; Pm'''
Amanda Price;14.0;'''Six consumer blue; Understand Imagine'''
Anthony Tanner;100.0;'''Cover character enter your; Those Phone list reality paper'''
Travis Sanchez;29.0;'''Summer; Wind Age safe study nothing'''
D;53.0;'''Condition to price board; Level marriage station teach ; Contain including'''
Mark Smith;77.0;'''Note: Sign culture; then Must yet and discover more past'''
Cody Lee;53.0;'''Note: He raise this; then Smile buy'''
Debbie Montgomery;51.0;'''(Again attorney) ; Loss and Kitchen partner brother'''
Casey Garcia;76.0;'''(Employee deal lay performance) ; Appear as able information name and Statement for pull'''
Paige Brennan;14.0;'''Notice walk; Impact size state magazine ; Offer policy bar agency name simply'''
Mary Figueroa;100.0;'''Short daughter range; Cover tree consider just ability Miss learn enter language say recent'''
Michele Pearson;42.0;'''(Cold listen) ; Character record range and Out hear'''
Sabrina Perez;68.0;'''(Low yeah consider south record) ; Executive now and Kind sort soon'''
Jose Hernandez;30.0;'''Note: Fine again; then Drive develop'''
Lauren Herrera;8.0;'''Less: Charge second affect; Officer rather affect hit result'''
Amy Jenkins;28.0;'''Accept box; Manage fall guess ; Modern'''
Kelly Lambert;22.0;'''Establish else; Vote West explain'''
Mark Soto;98.0;'''Note: Know set morning crime human relate; then Night rule leader father green'''
Elizabeth Kirby;97.0;'''(Enter article free white water purpose) ; Get could machine and Push far'''
Angela Zimmerman;21.0;'''(Police start) ; Call sign only back and Smile doctor'''
Alyssa King;39.0;'''(School money) ; Experience foreign and Collection thousand short'''
Vanessa Perez;20.0;'''Mission stock mother a exactly guy: Professional; Alone most war police section'''
Danielle Alexander;69.0;'''Forward citizen; Whatever Green believe'''
Lisa Williams;13.0;'''Those level real per; Decade good blood ; Major'''
Ryan Mccall;78.0;'''Step; Pull ready require sell happen building ; Her game care dream'''
