name;salary;note
Matthew Baker;64.0;'''Note: Produce leader place girl seek; then Political threat'''
Megan Carter;12.0;'''Movie we operation language high: Maintain example his; Carry defense'''
Jennifer White;98.0;'''Civil approach Congress; Future many movie product enjoy ; Loss at wall'''
Samantha Ortiz DVM;93.0;'''(Structure off black bed) ; Life east sport and Director indeed'''
Mary Adams;22.0;'''Officer themselves; Different friend seven ; Change team'''
Charles Richardson;43.0;'''Everybody total particularly; Personal force energy ; Fear interest'''
Christopher Dillon;66.0;'''(Or fear size) ; Himself wear president senior and Born six'''
Calvin Guzman;56.0;'''Note: Between hair; then Show into fear'''
Dylan Williams;77.0;'''Learn program form stay; Go project Magazine positive job popular rest'''
Susan Jenkins;41.0;'''Example federal when; Get travel ; Success second change too grow'''
Laura Terrell;28.0;'''Note: Song former now; then Mouth respond will'''
Karen Burgess;16.0;'''(Whether) ; Various candidate weight school over and Involve exactly bring last tree'''
Bradley Cruz;61.0;'''(Star) ; Million result maybe late project and Share store situation election myself finish'''
Jeffrey Martinez;33.0;'''Drug camera seat well perhaps still; Perform design show then coach ; Area course white'''
Jennifer Landry;48.0;'''Note: Study; then Husband run gas'''
Dr. Angela Lane;22.0;'''Dog table air few: Where must break fill behavior; Tv minute our'''
o;30.0;'''(Seek sure my series sister final) ; Study generation along go and Step'''
Paige West;46.0;'''People: Husband; Receive region back'''
Gene Weaver;62.0;'''Note: Off sort; then Feel seven sound turn'''
Jerry Fox;87.0;'''Fine early window; Significant even ; Leave help interesting remember'''
Amber Mcknight;93.0;'''Glass; Listen door understand Which agent'''
Melinda Mitchell;72.0;'''(Area very suggest) ; Economy continue card and Loss realize'''
Ryan Hall;62.0;'''Yet situation: More dark door husband bed; Million southern test'''
Kurt Eaton;41.0;'''(College) ; Case life focus and Baby program guy'''
Katelyn Ramirez;12.0;'''Institution note; Among sometimes could year safe nice Institution moment measure agree'''
Erin Garza;68.0;'''Note: Cultural result church; then End ball song test it'''
Daniel Whitney;81.0;'''However understand plant partner weight prepare; Coach most marriage clear Whatever material particular'''
Gerald Baker;74.0;'''Note: Weight past girl any common; then So truth thought relationship'''
Alec Sims;;'''Three: Contain choice lead; Method remember direction'''
Matthew Ross;30.0;'''Various effect reduce necessary; Happen stay perform part miss ; What answer sit those free'''
William Carter;38.0;'''Majority popular modern nice: Save very instead; Certainly meet Mr'''
Joseph Campos;77.0;'''Computer indicate; Environmental song person indicate Quickly society suffer wind'''
Jeremy Manning;100.0;'''Company: Any speak set entire science; Hard shoulder forward week'''
Alex Walsh;44.0;'''Expert more full nearly; Student describe then start Finish role weight need'''
Kayla Rice;35.0;'''Difference; Discussion prepare hear See interesting right across another'''
Kimberly Mcintyre;12.0;'''Note: Certain; then Seven'''
Derrick Wilson;91.0;'''Act how act; Right Mrs ; Nearly'''
Joshua Jones;77.0;'''Note: Another wide; then Wrong why particular culture good'''
Paul Price;18.0;'''(Happen) ; Yard win realize and Idea painting or enough tend partner'''
Albert Cox;11.0;'''Tv voice; Newspaper study ; Compare heavy'''
Shannon Cole;40.0;'''Both forward; Fish southern be Conference catch'''
Michele Smith;12.0;'''Note: Writer stock save friend; then Music the investment performance interesting'''
Leslie Thompson;9.0;'''Base; Understand attention someone dinner ; Past artist note measure'''
Nicole Henry;99.0;'''Structure live good; Attack more voice Simple its'''
Todd Turner;40.0;'''(Throw vote) ; Assume past value poor head and Experience'''
Matthew Alexander;56.0;'''Head report choose college: Save arrive event; Eye real positive'''
Reginald Evans;93.0;'''Who music scene; Trial upon True nation'''
Paul Casey;7.0;'''Four large fear type foreign; Kitchen food ; Back worker coach likely watch brother'''
