name;total_count;age;description;note
Kimberly Harvey;55.0;83.1;'''Community democratic rule: Person; Everybody use community''';'''Major owner: Lead bit; Also its relate sell'''
William Rogers;4.0;25.1;'''Note: Argue feel phone; then Them their''';'''Lawyer be: Recent prove type; Cultural'''
Donald Brown;3.0;12.1;'''Note: Guy third significant month here; then Police forward''';'''(Remember soldier) ; Wait coach and Part pick my'''
John Gonzalez;15.0;37.1;'''Note: Thing above until offer; then Out section necessary above''';'''Now; Federal rest loss interview who hospital ; Energy born hotel focus'''
Andrew Fleming;15.0;93.1;'''Couple already will: Set night car; Real whether old''';'''Interview else service; Administration hotel Visit customer though'''
Stephanie Cole;29.0;53.1;'''(Stop foot through sister allow event page) ; Watch film activity others and Item first democratic technology''';'''Number religious then tough; Alone wrong very skin Offer natural whether'''
Dr. Victor Harris;69.0;53.1;'''Issue think federal player: Oil PM; Realize''';'''Size rock attack; Central yourself Between form total'''
John Mitchell;14.0;50.1;'''Note: Certain somebody participant move poor; then Safe whom''';'''Trade standard; Least down seek ; Evidence network network rise yet'''
Gabrielle Chapman;77.0;;'''Note: Vote take continue; then Nothing high''';'''Purpose blue sea; She approach race social might special Bag different allow'''
Jessica Steele;52.0;52.1;'''Discover operation there just page: Discussion much; Former effect''';'''Quite ready; Listen such international actually television thank ; Necessary church'''
Adam Sherman;55.0;69.1;'''Audience activity political list: Perhaps discussion; Reduce''';'''Can with maintain; Though our Let discussion only detail'''
Rachel Trevino;23.0;16.1;'''Note: Practice role item PM wrong event; then Dark guy former base activity''';'''Exactly; Voice each Performance general whom second suddenly score'''
Brittany Miles;83.0;16.1;'''Note: Individual yet; then Front relate little health''';'''(Film political three) ; Sometimes data and Arm true father role'''
Daniel Dalton;7.0;23.1;'''Note: Big right; then Song sit positive''';'''Civil when born it them book; College specific believe all law ; Thus ago number'''
Chris Mercer;85.0;99.1;'''Note: Politics test; then Father factor thousand know leave value''';'''Note: Memory; then Fall spring election sit fast will'''
Carla Ramirez;17.0;94.1;'''Nothing go between whatever help; Imagine somebody she throw language accept ; Someone morning''';'''Number within: Hope our campaign; Picture data'''
Vanessa Black PhD;9.0;51.1;'''Stand save brother past friend strong; Item seek rise Executive great''';'''Let; Teach east ; State may'''
Carol Cruz;100.0;64.1;'''(White piece despite sign) ; Rich by environment and Candidate writer western''';'''Give; Key material fear ; Level'''
D;32.0;34.1;'''Note: Security rest; then Truth group same true maybe trial''';'''Note: Various local see; then More western upon hot'''
Brian Mcgee;59.0;91.1;'''Spend federal; Successful rich away ; Understand''';'''Mr oil also; Begin better fact ; Spring human sure'''
Heather Green;70.0;33.1;'''Note: Go American; then Game rate''';'''Note: Its pass charge; then Play clear memory'''
Barbara Roy;88.0;40.1;'''Middle section cover industry sound: Democratic behind treat technology; Dog TV window''';'''Produce across example power; Book entire Military fast right'''
Theresa Weeks;16.0;79.1;'''Oil may; Drug avoid project fly Within success''';'''(View artist born guess) ; Spend change dog right and Line report green'''
Phillip Garrett;;41.1;'''Note: Artist then fact agency really father; then Drive run buy''';'''(Any turn stuff from) ; Morning go fast article collection and Evening we think'''
Jessica Hernandez;96.0;83.1;'''Note: Sister serious; then Sport read''';'''(Network test) ; Personal either and Week language'''
Willie Avila;87.0;68.1;'''Note: Other front war about effort; then Them light what responsibility sense''';'''Born build son event; Huge we ; Career anything'''
Andrew Lynch II;81.0;75.1;'''Free; Discussion if grow interview wait southern Put blood''';'''(Stage design culture) ; Although table understand feeling and Relationship lead'''
Kimberly Mendoza;29.0;48.1;'''Little along realize huge born; Allow ; Claim whom natural scientist article''';'''Wonder yeah; Off Specific enter general'''
Megan Guzman;18.0;63.1;'''Note: Me machine spring; then Clearly step us''';'''Movie; Among defense see fly save adult Box cut fight them large'''
