username;name;age;score;rating;note
andrew_bennett_7181;Andrew Bennett;31.0;76.1;60.2;'''Hot small middle establish too; Never Democratic mean magazine run record rise'''
christina_ramirez_3434;Christina Ramirez;;68.1;24.2;'''Paper American under; Best resource ; Why ground bag join concern'''
dustin_gray_8448;Dustin Gray;72.0;89.1;36.2;'''Receive human either: Enough science break me leader half; Reach bad environmental'''
rita_holder_6478;Rita Holder;34.0;43.1;16.2;'''Note: Medical; then Anyone room government'''
cynthia_clark_1442;Cynthia Clark;32.0;41.1;4.2;'''Interview; Age right ago any poor time ; Early set product'''
tiffany_zuniga_0583;Tiffany Zuniga;86.0;44.1;58.2;'''Tree day: Music huge whatever common newspaper; Under include listen'''
michael_keller_7192;Michael Keller;96.0;90.1;8.2;'''Foreign land that; Hard ; Strong'''
richard_smith_4062;Richard Smith;75.0;67.1;65.2;'''None more; Night defense paper environmental ; Leg case community'''
stanley_mccarty_6550;Stanley Mccarty;21.0;22.1;57.2;'''Sister glass religious idea author; Clear compare upon work cover strategy ; Industry'''
bruce_contreras_5306;Bruce Contreras;70.0;100.1;89.2;'''(Body fine least force) ; Evening sure conference and Girl choose'''
shannon_williams_8962;Shannon Williams;28.0;77.1;57.2;'''Per: Book story; Parent learn'''
nicholas_pena_9079;Nicholas Pena;92.0;65.1;15.2;'''Show everybody: Different Congress energy; Hour read'''
brooke_howard_0731;Brooke Howard;52.0;97.1;58.2;'''Become red; Away life character ; Me most film attack find'''
leah_alvarez_7830;Leah Alvarez;41.0;51.1;1.2;'''(Recognize old agree) ; Right possible do book history and Sea long night that card network'''
william_jackson_6176;William Jackson;60.0;92.1;61.2;'''(Thought feel country among performance protect) ; Forward my feel father pull moment and Give'''
megan_bradshaw_9180;Megan Bradshaw;28.0;37.1;66.2;'''(Open near serve) ; Usually successful understand find produce and Serious fine PM'''
heather_clark_1483;Heather Clark;87.0;37.1;66.2;'''Note: Television start their air evidence; then Like'''
wendy_ward_9440;Wendy Ward;1.0;54.1;;'''Note: Best never we floor; then Baby care no so'''
dustin_holland_1803;Dustin Holland;62.0;89.1;20.2;'''(Part) ; Reduce card wide professional purpose and Fall eight series type price bit'''
david_nolan_4899;David Nolan;79.0;34.1;7.2;'''Region so field wrong be: Than kid dog; Relationship must Republican grow'''
megan_vaughn_4371;Megan Vaughn;48.0;51.1;67.2;'''Note: Parent prove; then Per phone shake'''
brian_fuller_3117;Brian Fuller;27.0;31.1;64.2;'''(Job) ; Issue four and Them they stand apply'''
mitchell_pearson_7333;Mitchell Pearson;86.0;47.1;5.2;'''(Prove voice represent spend) ; Recognize third investment and Senior tell only population anything under'''
michael_chan_5803;Michael Chan;80.0;92.1;55.2;'''Drive Mrs: Possible scene yes loss nor hope; Vote'''
randy_adams_2853;Randy Adams;97.0;72.1;10.2;'''Speech buy; Future your material gun ; Issue'''
steven_shields_7014;Steven Shields;67.0;81.1;94.2;'''Note: Administration environment; then Listen miss option scientist live interview'''
martin_henry_3364;Martin Henry;11.0;18.1;64.2;'''Popular every total mission; Day wonder region ; Foot like agreement role'''
yvonne_macdonald_6240;Yvonne Macdonald;98.0;72.1;55.2;'''(Mr bill section but) ; Yet lot morning week concern doctor and Such amount popular get'''
daniel_flores_4644;Daniel Flores;49.0;48.1;68.2;'''Sing couple: Meet share; Worry none much'''
jennifer_gross_9501;Jennifer Gross;61.0;26.1;44.2;'''Note: Time; then About'''
thomas_harrison_7753;e;3.0;;54.2;'''Note: Test common measure; then Happy stuff material different down'''
