name,rating,price,salary,summary
Miss Sheila Kent,5.0,33.1,16.2,'''Note: Et quasi laborum, then Excepturi laudantium'''
Ruth Marsden,83.0,95.1,91.2,'''Note: Esse quas, then Ipsa omnis'''
Grace Hughes,87.0,74.1,68.2,'''Debitis omnis, Asperiores atque fugit Eligendi dolor iusto'''
Georgia Davies-Anderson,89.0,17.1,23.2,'''Dicta in assumenda placeat voluptatum quasi, Accusamus magni Porro'''
Francis Jones,17.0,34.1,78.2,'''Vitae rerum: Velit sequi, Pariatur doloribus consequuntur incidunt'''
Mr Matthew Robinson,6.0,93.1,74.2,'''(Impedit quasi) , Vitae blanditiis and Earum'''
e,60.0,8.1,66.2,'''Doloremque labore; Quos culpa molestias expedita cum , Repellat a'''
Olivia Wood,18.0,71.1,8.2,'''(Quis nihil temporibus dolor reprehenderit aperiam) , Iusto voluptatibus animi fuga iste placeat and Velit accusantium magnam aperiam'''
Paige Jones,60.0,10.1,8.2,'''Hic expedita, Repellendus accusantium minima ipsam autem Ratione debitis ea'''
Billy Foster,99.0,,68.2,'''Mollitia eligendi numquam iusto consectetur, Voluptas facere fuga sed doloribus Porro vero esse'''
Andrew Gardiner,21.0,32.1,17.2,'''(Commodi iste) , Esse cum dolores and Veniam corrupti'''
Leslie Mann,19.0,40.1,41.2,'''Note: Voluptatibus id, then Excepturi'''
Mrs Rosie Owen,46.0,14.1,26.2,'''Dolores esse; Quas consectetur , Quae'''
Ashleigh Bradley,40.0,84.1,15.2,'''Ea quaerat: Minima, Officiis neque'''
Ms Lucy Davis,6.0,92.1,97.2,'''Soluta, Harum sunt dolorum Praesentium et'''
Kevin Harris,52.0,75.1,4.2,'''Note: Distinctio, then Necessitatibus'''
Kevin Morris,3.0,99.1,66.2,'''Ex non dolore optio: Quod amet, Dolorem iste cupiditate est distinctio nesciunt'''
Bruce Daly,,61.1,32.2,'''Note: Porro rem, then Illo labore'''
William Hyde,69.0,26.1,26.2,'''A temporibus non iste odio culpa; Dolore laudantium fuga velit , Sint nihil hic esse'''
Mr Joseph Richardson,73.0,42.1,65.2,'''Unde vitae, Incidunt consectetur ducimus Fugit ipsa'''
Joe Lawrence,99.0,80.1,55.2,'''Note: Assumenda, then Dolorum iste'''
Christian Jones-White,51.0,97.1,92.2,'''Aspernatur minus tempora, Molestiae blanditiis Doloremque labore'''
Miss Pauline Potts,38.0,47.1,,'''Perferendis: Impedit at, Ab ad quaerat aperiam'''
Francis Brown,89.0,39.1,8.2,'''Note: Praesentium, then Numquam tempora autem fuga quibusdam'''
Craig Ryan,93.0,32.1,88.2,'''Note: Fugit numquam veritatis minima alias perspiciatis, then Tempore soluta'''
Guy Price-Robertson,60.0,67.1,71.2,'''(Recusandae dicta) , Doloribus porro mollitia quam distinctio magni and Facilis ducimus natus ratione voluptatem doloribus'''
