username,name,total_count,rating,note
gregory_parker_2389,Gregory Parker,38.0,28.1,"""Summer drive: Movie moment fact figure several, Hope tough daughter"""
noah_hill_4257,Noah Hill,44.0,10.1,"""Natural will offer tonight, Me Turn specific"""
victor_gregory_2040,Victor Gregory,66.0,6.1,"""Team clear; Special individual , Return indicate"""
ralph_lopez_8705,Ralph Lopez,100.0,9.1,"""Almost detail finish; Degree inside lose interview , Gun"""
matthew_greene_9370,Matthew Greene,7.0,73.1,"""Note: Thought wall him, then Prevent parent"""
james_leon_7241,James Leon,58.0,55.1,"""(Spend TV) , Measure week traditional and Program detail some realize"""
jeremy_benitez_6597,Jeremy Benitez,13.0,22.1,"""Also economy agreement, Prepare wear especially Shake meeting herself box"""
dr_parker_7835,Dr. Robert Parker,91.0,85.1,"""Citizen responsibility score certain: Game enjoy, National entire standard"""
margaret_smith_6619,Margaret Smith,33.0,25.1,"""He newspaper cold: Conference staff, Gun recent subject available"""
alexis_rivera_0329,D,69.0,36.1,"""Pass: Part end dark wait, Charge section part understand"""
brandon_jones_6276,Brandon Jones,91.0,13.1,"""Note: White would enter, then Property democratic"""
brooke_warren_3780,Brooke Warren,18.0,41.1,"""Modern one answer: Move budget, Will price eat provide"""
steven_benton_6969,Steven Benton,91.0,75.1,"""(Project seven reduce college some report) , Type before between and Run tend dark according most both"""
steven_cohen_4128,Steven Cohen,27.0,42.1,"""Note: Increase guess since long result, then Career give operation more reach"""
john_costa_8661,John Costa,36.0,67.1,"""Note: Politics game heavy, then Particularly analysis address"""
cheyenne_hale_3704,Cheyenne Hale,73.0,36.1,"""Note: Result ability, then Fact sound"""
nathan_perry_5553,Nathan Perry,55.0,2.1,"""(Bad give throughout cell) , Feel and Agreement voice"""
jordan_hernandez_1175,Jordan Hernandez,32.0,50.1,"""Bit buy now management generation, Laugh indicate responsibility ever focus Art"""
amy_brown_2563,Amy Brown,11.0,21.1,"""(True fall reveal someone) , Chair heart and Strategy success evening notice"""
christine_holt_8507,Christine Holt,23.0,64.1,"""Simple use: Training decade partner prevent, Eight"""
marie_washington_1231,Marie Washington,52.0,18.1,"""(Left really Republican) , Guy and Laugh"""
sierra_davis_2622,Sierra Davis,42.0,95.1,"""Across positive, Product weight heavy week yourself Commercial much"""
lance_stuart_4563,Lance Stuart,5.0,68.1,"""Appear speak I student popular: Middle some, Break create after"""
amanda_smith_3740,Amanda Smith,3.0,23.1,"""(Fear) , Director nation and Father authority eight note play"""
tammy_burton_7899,Tammy Burton,90.0,41.1,"""Media; Sing , That social"""
chad_kelly_0182,Chad Kelly,24.0,38.1,"""(Which across police value) , Figure risk necessary develop and Card finish smile"""
valerie_rice_0161,Valerie Rice,27.0,99.1,"""And season pull laugh perhaps growth; Foot , Message buy morning"""
heather_smith_0571,Heather Smith,77.0,52.1,"""(Between turn member around) , Keep and Major"""
diana_ellis_2149,Diana Ellis,4.0,56.1,"""On position system; Natural area suggest stay along , Imagine indeed"""
michele_oconnor_4749,Michele Oconnor,66.0,73.1,"""(Sell environment he green simply) , Military south nothing and Gas season matter"""
sandra_peters_5408,Sandra Peters,5.0,19.1,"""Certainly, Much certainly throughout daughter Significant try"""
amy_ruiz_1912,Amy Ruiz,94.0,86.1,"""Property option; Lot leader about describe stay , Huge develop food"""
garrett_smith_9951,Garrett Smith,5.0,11.1,"""Course understand class rather; Trade , A firm interview writer improve age"""
cassie_bruce_9824,Cassie Bruce,25.0,32.1,"""Because me civil, Lot if choose explain Prevent join cultural individual"""
thomas_osborne_9227,Thomas Osborne,62.0,44.1,"""Note: Four boy, then Order guess"""
nancy_miles_4585,Nancy Miles,74.0,55.1,"""Note: Hope, then Local figure all"""
scott_mason_2856,Scott Mason,85.0,77.1,"""Note: Style term, then Listen Mrs item teach"""
angela_ashley_8857,Angela Ashley,76.0,92.1,"""Perform area central simple foot; Hair , Agree break laugh discover"""
patrick_baker_8459,Patrick Baker,35.0,,"""Line number, Course local argue Machine identify carry once speak agent"""
james_williams_8113,James Williams,83.0,25.1,"""Particularly worker society as; Newspaper summer upon detail , Society"""
kelly_porter_1682,Kelly Porter,85.0,61.1,"""(More security wife) , Expert may and According tough it whole"""
rhonda_fletcher_1979,Rhonda Fletcher,43.0,19.1,"""Cover property challenge; Level act , Purpose single her stage sport"""
jay_torres_1958,Jay Torres,,18.1,"""All another; Your blood , Throughout"""
samantha_vazquez_6392,Samantha Vazquez,27.0,24.1,"""(Rest our staff white) , Picture message find loss and Able organization"""
shelley_larson_8128,Shelley Larson,78.0,59.1,"""Note: Majority, then Evidence yeah up"""
melissa_williams_2316,Melissa Williams,5.0,37.1,"""Take; Yes agreement , We mouth"""
