name	total_count	note
Mandy Harris	96.0	'''Note: Amet ipsa et	 then Veritatis animi accusamus itaque'''
Christine Wright	29.0	'''Soluta suscipit sequi	 Recusandae eaque nobis Ea'''
Shane Flynn	96.0	'''(Quisquam accusantium quisquam eaque voluptas cum) 	 Facilis nostrum and Provident quidem'''
Mrs Jessica Collier	31.0	'''(Atque libero aliquid porro) 	 Ullam and Blanditiis suscipit dolore'''
Kevin Brennan-Green	51.0	'''(Magni porro iste modi ex) 	 Deserunt a and Id magnam in dignissimos'''
Jeffrey Walsh	33.0	'''(Fugiat magni eveniet nihil) 	 Explicabo culpa autem and Deleniti pariatur earum'''
Joshua Clark-Lane	30.0	'''Cum ipsa eligendi libero ipsa	 Accusamus Impedit nesciunt'''
Dale Fletcher	61.0	'''Veritatis alias alias illo nesciunt: Assumenda optio	 Voluptates'''
Lynn Cross	85.0	'''Minima id quod commodi; Sapiente laborum perferendis 	 Molestiae'''
Darren Miles	9.0	'''Cupiditate tenetur: Fugit reprehenderit iure dolorum minus laboriosam	 Facere consequatur'''
Kathleen Cameron	17.0	'''Voluptatem blanditiis; Quo ducimus provident 	 Maxime'''
Dennis Jones	10.0	'''Praesentium laboriosam; Occaecati deserunt 	 Voluptatem occaecati'''
Dr Sylvia McDonald	77.0	'''Note: Omnis eius	 then Necessitatibus neque similique'''
Gordon Edwards	8.0	'''Laborum placeat dolores	 Deleniti quasi qui Fugit voluptatibus'''
A	45.0	'''Sequi commodi; Necessitatibus dignissimos repellat ipsa 	 Ab inventore iusto quidem similique'''
Hollie Hopkins	54.0	'''(Aliquam dolorem) 	 Voluptas cupiditate and Quia expedita at odit'''
Melissa Ali	34.0	'''(Quis id) 	 Enim and Debitis delectus cumque nisi tenetur'''
Shirley Scott	65.0	'''Note: Temporibus at architecto maxime	 then Sint cumque'''
Mrs Lorraine Wilkinson	70.0	'''Cumque temporibus vero at vel; Cumque 	 Suscipit'''
Jeremy Leach	81.0	'''Ullam nulla: Ratione corporis soluta unde odit ad	 Quam'''
Mrs Rachel Edwards	37.0	'''Labore: Voluptatem exercitationem magnam	 Culpa perferendis voluptatem'''
Joanna Poole-Murray		'''Fugiat dignissimos nulla voluptatem	 Molestias nemo Est'''
Rhys Marshall-Gill	51.0	'''Minima voluptatum pariatur ea; Ut optio 	 Ad'''
Judith Barker-Griffiths	43.0	'''Note: Velit molestiae harum voluptatum	 then Sequi quo cum tempora tempore velit'''
Sean Fisher	68.0	'''Dignissimos aperiam facilis	 Assumenda eius ipsam Nemo reprehenderit deleniti quibusdam alias'''
Frances Walker	1.0	'''In alias adipisci	 Ab aspernatur animi Officiis libero molestias asperiores sed deserunt'''
Hollie Williams	78.0	'''Note: Unde	 then Similique'''
Alison Phillips	49.0	'''Officia provident	 Pariatur amet Eligendi'''
Megan Leonard	97.0	'''Soluta	 Commodi ullam sequi laboriosam Earum atque exercitationem'''
Jeremy Williams	37.0	'''(Dicta modi eaque officia sit) 	 Magnam and Quia laboriosam velit similique'''
Janice Noble	47.0	'''(Omnis saepe excepturi) 	 Perspiciatis quod and Molestias repellendus non eos incidunt'''
Geraldine Jones	50.0	'''Quos: Ullam eligendi error	 Temporibus'''
Ms Abbie Andrews	53.0	'''Note: Eligendi pariatur	 then Tempore magni'''
