name	score	remark	comment
Miss Debra Thompson	72.0	'''Note: Enim	 then Odit doloribus enim'''	'''Consequatur delectus aut: Voluptatem sint	 Expedita possimus mollitia blanditiis'''
Ms Maureen Lee	36.0	'''Note: Nam molestiae repellendus	 then Tempore quisquam eos tenetur minima voluptas'''	'''Molestias amet	 Aspernatur nam inventore doloribus provident suscipit Asperiores minima totam'''
Jordan Owen	40.0	'''Note: Praesentium velit cumque	 then Fugiat labore veritatis voluptatem nulla'''	'''Officiis voluptate molestias officia; Iure eaque sit nemo rerum 	 Quibusdam expedita corrupti'''
Donna Robinson	1.0	'''Rerum reiciendis eligendi; Sed 	 Nihil aspernatur'''	'''Praesentium blanditiis nihil; Voluptates consequuntur quam totam 	 Corporis deleniti'''
Miss Natalie Stone	53.0	'''(Cum maiores) 	 Molestias aliquam dolorem and Ipsum nobis excepturi quidem'''	'''(Saepe quisquam) 	 Nulla cumque placeat and Voluptas velit blanditiis'''
Jenna Foster	41.0	'''Reprehenderit tempora: Facere quisquam optio	 Blanditiis error nam deleniti'''	'''Note: In quasi	 then Repellendus architecto'''
Julia Patel-Stephenson	18.0	'''Illo sequi alias perspiciatis: Sint eius rem	 Vero'''	'''Note: Dolor cupiditate	 then Delectus eos placeat ut architecto possimus'''
Mrs Karen Nelson		'''Note: Voluptatum magni quam	 then Provident vel totam qui'''	'''Note: Libero excepturi	 then Id itaque'''
Rachael Porter	44.0	'''In laboriosam modi	 Veritatis suscipit Dicta quia'''	'''Note: Expedita quasi	 then Optio eius debitis suscipit quia vitae'''
Jane Patel	25.0	'''Note: Nesciunt	 then Recusandae vel neque iure'''	'''Itaque asperiores inventore repellat modi: Quod quaerat	 Aperiam possimus'''
D	10.0	'''Note: Consequatur blanditiis quaerat id quidem consequatur	 then Voluptas saepe'''	'''Note: Veniam pariatur error	 then Animi quis iusto'''
Sam Miller-Thompson	59.0	'''Debitis perferendis nisi; Non corporis 	 Ad illum'''	'''Iusto unde molestias quo: Iure laudantium	 Sed qui aspernatur quae'''
Natalie Skinner	26.0	'''(Nam dolorem dolor iure labore) 	 Et totam ad and Quam'''	'''(Repudiandae illo officia repellat) 	 Mollitia cum and Quia inventore'''
Victoria Walker	62.0	'''Minima repellendus in ipsa; Nisi hic deserunt rem 	 Exercitationem quis quidem vel ipsum'''	'''Eius libero beatae recusandae: Excepturi labore soluta	 Adipisci dolorum temporibus'''
Miss Kerry Holmes	38.0	'''Maxime in dolorem modi ab: Atque	 Facilis harum'''	'''(Repellendus error) 	 Excepturi minima quo and Earum numquam aliquid consequuntur'''
Yvonne Clark	20.0	'''At odio natus at: Unde beatae	 Iure ab cum iusto nulla'''	'''Temporibus aliquam; Cupiditate veritatis mollitia harum 	 Consequuntur adipisci'''
Dr Jacqueline Fleming	27.0	'''Ea magnam; Dignissimos quas 	 Voluptatum nihil vitae possimus'''	'''Expedita eligendi; Quod nam iste 	 Architecto praesentium temporibus illum'''
Mr Mohammed Wilkinson	5.0	'''(Minus dolor quod) 	 Sapiente and Maiores veritatis voluptate veniam'''	'''Minus recusandae esse omnis illum ullam	 Ea debitis Deserunt possimus delectus reiciendis'''
Geraldine Burgess	21.0	'''Note: Velit facere totam	 then Eaque dolorem'''	'''(Vero quae corrupti) 	 In fuga dolore dolores and Voluptatibus reprehenderit asperiores asperiores vitae'''
Judith Ali	21.0	'''(Consequuntur non explicabo vitae) 	 Eos corrupti commodi ut hic nisi and Ducimus repellendus odio'''	'''(Laborum aperiam deleniti) 	 Quam voluptatibus debitis and Nobis'''
Carly Bishop	85.0	'''Note: Voluptatibus sunt nulla fuga	 then Quo perspiciatis quidem soluta'''	'''Note: Laborum earum aspernatur	 then Praesentium ipsum accusamus'''
Christopher Howarth	16.0	'''Harum	 Suscipit necessitatibus Fugit consectetur in omnis'''	'''Autem architecto quo repellat repellendus iste: Reprehenderit repellendus ipsum sint	 Soluta minima cum'''
Shirley Atkinson	46.0	'''Blanditiis harum voluptatum fuga repellendus	 Ipsa consequatur neque consequatur non Consectetur quam at deserunt'''	'''Deserunt delectus odit; Animi eos eum 	 Ipsum necessitatibus unde'''
