# This is a comment line to skip
name;age;rating;price;note
Sophie Powell;40.0;89.1;83.2;'''Aliquam accusantium laboriosam; Culpa ex Suscipit qui eius'''
Aimee McLean;67.0;58.1;39.2;'''Repudiandae optio rem; Et explicabo ; Possimus dolorum'''
Dorothy Parry;24.0;2.1;88.2;'''(Libero optio aliquid cum) ; Quidem consequuntur laudantium and Voluptates saepe iste error quisquam'''
Marion Davis;78.0;76.1;94.2;'''Quam ea: Eveniet placeat placeat sed quasi; Delectus'''
Dr Abbie Clarke;93.0;64.1;43.2;'''Note: Occaecati voluptates eum suscipit commodi sequi; then Necessitatibus nostrum in incidunt'''
Bethany Davis;52.0;59.1;12.2;'''Vitae ab alias; Natus Quod occaecati'''
Lynn Tomlinson-Barnett;18.0;71.1;9.2;'''Voluptatum; Dignissimos cupiditate eligendi temporibus ; Suscipit fugiat ratione accusantium a perspiciatis'''
Mr Henry Lawrence;10.0;42.1;90.2;'''(Aperiam assumenda occaecati quos) ; Veniam tempore omnis and Quis perspiciatis'''
Mrs Caroline Holmes;26.0;29.1;57.2;'''Vitae amet: Maxime tempore amet deserunt perspiciatis; Ipsa pariatur sunt nostrum omnis sit ipsum'''
Mr Damien Carr;73.0;25.1;40.2;'''Note: Aliquid porro facilis modi maiores; then Corporis recusandae'''
Liam Turner;;14.1;1.2;'''(Ex dicta) ; Perspiciatis porro voluptas voluptatibus culpa and Deserunt eius'''
Aimee Naylor;86.0;93.1;33.2;'''Note: Debitis voluptatibus eos deserunt; then Architecto ab maiores'''
Miss Bethan Shah;7.0;38.1;61.2;'''Architecto nemo molestias; Quibusdam deleniti expedita asperiores quos ; Iste atque vero accusantium aliquid'''
Paul Jones;55.0;41.1;95.2;'''Corrupti culpa sint; Officiis assumenda minima sunt iusto molestias Veniam nihil'''
Laura Thomas;21.0;79.1;13.2;'''Note: Cum ipsam; then Nostrum'''
Tracy Middleton;18.0;56.1;100.2;'''Delectus perspiciatis impedit repellat; Saepe cupiditate qui ; Quas cupiditate earum'''
Jayne Perkins-Hughes;50.0;71.1;10.2;'''Tempore corporis; Accusamus aut Asperiores magni'''
Nathan Wilson;26.0;99.1;66.2;'''Vel delectus aperiam; Qui nostrum praesentium ; Ipsum vitae odio provident'''
Damien Holland;35.0;3.1;;'''Incidunt praesentium reprehenderit earum eveniet; Eveniet esse amet dicta ; Ipsa sapiente nisi'''
e;69.0;;9.2;'''Commodi voluptas praesentium nobis reiciendis: Amet explicabo sequi; Expedita dolorum'''
