# This is a comment line to skip
username;score;total_count;price;comment
alexander_baldwin_5767;67.0;4.1;23.2;"""Eaque consequuntur consequuntur ratione; Nostrum ; Reiciendis fugiat"""
joel_dobson_4256;54.0;67.1;46.2;"""Dolores accusamus sit; Aliquam voluptas repellat Molestias voluptates necessitatibus error dicta"""
vincent_henderson_5783;74.0;53.1;81.2;"""Dolorum minus; Possimus consectetur repudiandae ; Eveniet esse"""
linda_jones_5741;24.0;25.1;;"""Note: Magni tenetur exercitationem ab occaecati hic officiis; then Enim dolorem aut"""
miss_birch_8547;30.0;83.1;72.2;"""Ut iure: Suscipit id perspiciatis; In velit ex eligendi"""
victoria_adams_7778;68.0;;56.2;"""Animi fugiat; Maiores rerum Officiis unde facere culpa sit"""
ms_sharp_4785;12.0;21.1;39.2;"""Note: Ut enim explicabo; then Dolores cupiditate inventore commodi"""
mr_jenkins_3750;74.0;64.1;29.2;"""Libero minus: Quisquam; Magnam doloribus laudantium"""
miss_daniels_2388;58.0;89.1;1.2;"""(Iure dolore) ; Corrupti repudiandae and Assumenda"""
ms_ward_5076;20.0;2.1;23.2;"""Quis unde; Ea deleniti nulla ; Eius cupiditate incidunt"""
mrs_davies_0111;6.0;15.1;3.2;"""(Molestiae enim quaerat) ; Fugit and Aliquam aliquid ea maiores voluptatibus commodi"""
damian_brooks_2756;45.0;37.1;78.2;"""Excepturi accusantium corporis: Dignissimos minima nulla; At"""
lesley_hill_2730;81.0;19.1;20.2;"""(Similique dolorem) ; Consequatur officia facere doloremque neque and Facilis nobis earum"""
tina_price_0561;97.0;91.1;25.2;"""(Odio ea) ; Dicta commodi and Ex"""
julie_hayward_6682;48.0;23.1;92.2;"""Note: Velit quo facere ad; then Ex modi quis"""
keith_short_7606;99.0;55.1;49.2;"""(Reiciendis alias molestias maxime ea) ; Voluptate animi doloribus earum and Eveniet libero quam voluptas ipsa"""
denis_bryant_5392;55.0;96.1;96.2;"""Accusamus ipsam exercitationem numquam; Suscipit veritatis ; Ut aliquid sunt"""
iain_flynn_7570;39.0;12.1;71.2;"""Ut repellendus eligendi optio; Nisi laboriosam repudiandae Iste ab natus mollitia"""
rachel_brien_4353;36.0;32.1;37.2;"""Doloremque maiores natus; Vitae placeat eius Officiis excepturi"""
miss_watson_0216;83.0;71.1;89.2;"""Note: Omnis; then Nam enim odio libero"""
clive_joyce_9955;53.0;12.1;89.2;"""Ipsam; Deleniti eius corporis ; Ipsam voluptatibus excepturi animi"""
bernard_burke_6917;99.0;44.1;96.2;"""Iusto; Sapiente Quos distinctio autem blanditiis"""
marc_hart_2364;90.0;22.1;40.2;"""(Recusandae labore iste) ; Necessitatibus and Similique maxime"""
steven_morgan_2976;23.0;9.1;83.2;"""(Eos distinctio quis ea quam) ; Ipsum in and Exercitationem minus porro"""
carolyn_roberts_1976;23.0;25.1;13.2;"""Note: Nisi voluptatem; then Harum ab facere esse esse nesciunt"""
dr_wilkins_4940;;81.1;24.2;"""(Maiores fugit tempora corrupti amet) ; Aliquam and Voluptatem dignissimos"""
rachael_parkes_3424;75.0;1.1;62.2;"""Maiores modi odit: Deleniti nam perferendis; Exercitationem"""
mr_gardner_9912;27.0;11.1;70.2;"""(Perspiciatis possimus excepturi aut labore) ; Quas ab provident ad and Omnis dignissimos"""
eleanor_humphries_1248;43.0;59.1;83.2;"""Note: Exercitationem possimus voluptatibus; then Sunt sint asperiores tenetur"""
miss_rhodes_5523;2.0;79.1;31.2;"""Perspiciatis autem; Minus dolores Corporis placeat quibusdam"""
leon_thomas_3006;82.0;80.1;70.2;"""Nobis; Corrupti minima maiores quae Maiores sapiente amet"""
donald_franklin_8820;55.0;87.1;91.2;"""Atque earum ratione odio; Deleniti necessitatibus dolores Itaque"""
miss_brooks_9430;27.0;63.1;74.2;"""Omnis voluptate qui; Ea nulla at ; Possimus saepe"""
dawn_barber_0637;32.0;11.1;5.2;"""Quia: Incidunt iste excepturi magnam voluptas; Aut magnam"""
hilary_begum_2154;96.0;24.1;35.2;"""Soluta non perspiciatis totam natus; Illo ullam soluta Mollitia"""
iain_bryant_3863;12.0;66.1;69.2;"""Note: Labore error; then Molestias atque"""
sophie_webb_9272;75.0;89.1;21.2;"""(Ut numquam excepturi praesentium) ; Magni voluptas dicta est nesciunt eaque dolores and Pariatur voluptas"""
jennifer_kemp_0247;74.0;18.1;42.2;"""(Fugiat ducimus vitae inventore) ; Quam recusandae earum and Iusto et"""
