# This is a comment line to skip
name;price;rating;remark;message
Michelle Brooks;76.0;30.1;'''(All instead green feeling establish) ; Health college and Spend media single cost bit capital''';'''Determine wall American stock security; Close garden community end suddenly Site'''
Bryan Johnson;100.0;47.1;'''Traditional; Time plant fund speech ; Nice itself''';'''(Yard) ; Hand daughter could and Door somebody news'''
Cynthia Choi;100.0;15.1;'''(Degree different one him) ; Almost and Remain none''';'''Note: Direction field room suddenly; then Case whole'''
e;45.0;70.1;'''(Family husband television have) ; Similar up civil and Be be face painting''';'''(Fly guess) ; Nature old both and Shake chair'''
Sean Stein;69.0;29.1;'''Light; Until official ; Cell''';'''(He century every) ; Summer conference land dream box and Type any skin than there maybe'''
Claudia Rios MD;67.0;56.1;'''Partner get: Never stage head young; Mouth serious state''';'''Center cost baby; Goal small ; Agency card market store'''
Nancy Anthony;38.0;17.1;'''Plant than foot focus window; Identify Dinner road usually agreement study''';'''Fire; Value language Bad interview difference bit'''
Kimberly Rollins;81.0;34.1;'''Material catch certainly as: Citizen; Probably leader general''';'''(Medical put important) ; I federal follow artist relate and Republican new consumer'''
Kim Davis;41.0;65.1;'''(Question audience quite) ; No star cultural in and Game month set investment middle''';'''Ability region: Strong; Care career summer'''
Lisa Miller;84.0;33.1;'''(Prove treat spend tend attention) ; Else hundred particular and Finally set prepare''';'''(How two page later say morning) ; Election TV sign also side training and Here religious'''
Samantha Kelley;77.0;94.1;'''Each; Chance force case however recognize Pm but traditional''';'''Note: Sign that record generation whatever; then Piece nearly'''
James Kelly;19.0;;'''Collection according; As deal ; Oil dinner''';'''Note: Hour recognize spring his soon huge; then Yourself'''
Leslie Patton;35.0;96.1;'''Kid happy tree; Whatever red order blue music ; Big try''';'''Note: School; then Scene'''
Andrea Mason;12.0;21.1;'''(Wind anyone) ; So include item fall and Sign''';'''(Material entire bad land service) ; Memory job hair doctor and Rather enjoy speech middle position'''
Tara Shannon;56.0;96.1;'''(Research second baby) ; City attack land and Could majority''';'''Less science; Left Major work'''
Dakota Trujillo;12.0;23.1;'''Note: Instead take then church; then Go bring amount check''';'''Name sometimes purpose already step: Live fall; Room exactly administration against sea'''
Jasmine Bishop;15.0;37.1;'''Direction chair; Consider Number involve performance''';'''Much particular student population result; Someone similar note ; Interest final follow'''
Cassandra Blake;58.0;60.1;'''(Wish land clearly method little act) ; Wait Republican kitchen six and Manage scene thus''';'''Theory star; Stock total ; Us address'''
James Guerrero;68.0;98.1;'''Lawyer: Agreement pull successful; Nor wait score board ready''';'''Available; Similar so expert Apply marriage'''
Jade Johnson;92.0;56.1;'''Could tough; Have already fact Air consider manage give''';'''Sea wear social; Condition begin ; Clear reality'''
James Beck;85.0;68.1;'''Father actually present: Over talk claim; Eye similar''';'''(Perform ground) ; Season eat and Political month expect citizen challenge'''
Mr. Walter Alvarado;3.0;2.1;'''(Have what) ; West personal of face catch talk and Animal mean tonight song''';'''We seem; Scientist model Major'''
Barbara Welch;9.0;29.1;'''Note: Will start human of its reveal; then Major''';'''Lot hair see meet: Bring imagine discussion; Product hope probably'''
Matthew Lawson;22.0;6.1;'''While pull; Local religious ; Stage race community''';'''Usually wife partner true southern; Attention carry Have'''
Melissa Reeves;85.0;53.1;'''Rock determine; Involve person yes reason ; Despite agency low''';'''Reflect majority similar score; Son PM man Never adult point'''
Lynn Suarez DDS;54.0;47.1;'''Note: Although; then Around wall gas start never''';'''Note: Development up individual full; then He another fly'''
Justin Williams;6.0;65.1;'''You seven perhaps brother lawyer: Very live; Senior son employee network stay''';'''Item evidence: Political hundred reduce memory; Drive skin'''
Bridget Palmer;28.0;87.1;'''Minute recent; Reflect again myself Decade question''';'''Free agreement standard miss: Nice wide instead medical; Short fall manager toward night'''
Gregory Harrison;71.0;34.1;'''(Born structure west) ; Beat point huge and Himself huge yes car through''';'''Challenge general: Become; Position quite'''
Jasmine Martin;33.0;59.1;'''Note: Production three budget will; then Democrat own me table''';'''Note: Side; then Court street Republican'''
Amanda Forbes;60.0;63.1;'''Also prove be: Bill measure teach; Personal morning impact''';'''Wait protect notice the; Campaign type down Goal feeling someone floor simple traditional'''
Benjamin Martinez;38.0;80.1;'''Many far author new international; Buy official laugh Industry''';'''(Paper miss physical) ; Cost there and And property American appear technology'''
Jennifer Roberts;82.0;30.1;'''House draw large; Heavy table money scene say build ; Focus''';'''Research provide nearly ability positive; Thus ; Hand coach'''
Larry Stewart;14.0;80.1;'''Reflect: Reach everyone PM live name; Especially involve six option at''';'''Treatment Mr: Miss natural carry recognize; Point rather large forget'''
Sara Gonzalez;32.0;51.1;'''Present choice every various around: Power plan thousand; Military''';'''Note: Guy green at color; then Marriage'''
William Olson;69.0;16.1;'''Stage on; Study job artist important process Dream leave''';'''Wide economic any sea firm nothing; Least every operation general create ; There middle other individual'''
Ashley Arnold;58.0;15.1;'''Yard their; Happy poor trouble Place say room''';'''Note: Your the; then Form individual high'''
Chloe Johnson;95.0;61.1;'''(Group as ask) ; Start religious million sister and Few plant''';'''Beat standard most development: Teach see official through; Those should around nearly cold'''
Jeffrey Smith;66.0;55.1;'''Audience special forget general property; Machine bit mouth ; Both''';'''(Somebody) ; After and Happen'''
Amanda Tran;15.0;82.1;'''Travel performance; Oil civil Attorney need range''';'''(Certain will) ; Look I and Pressure'''
Collin Edwards;19.0;55.1;'''Significant individual difference television; Force base near Common against''';'''Performance later ask natural behind; Meeting where by Billion campaign'''
Karen Page;29.0;19.1;'''(Million feeling pretty sometimes other full) ; Section mission and Nice white season''';'''(Head administration speak eight may) ; Image nearly and Sit million enough'''
Stephen Thomas;;69.1;'''Note: Onto assume; then Yes training bank''';'''(Growth wait us bit) ; Pretty a heavy leader example sing and Too believe'''
Vincent Davis;76.0;80.1;'''Note: The late; then Base stuff protect''';'''Thank available let place be first; Land thousand line much Animal special front next'''
Karen Garrison;38.0;68.1;'''Note: Color reflect; then Sure fear card pull table''';'''Note: Who son; then House bed'''
Megan Owens;30.0;94.1;'''House capital him; Mean hand society ; There college''';'''Interest; Democratic ; Choose dark environmental'''
