username,name,salary,rating,total_count,remark,note
wendy_hall_9969,Wendy Fowler-Hall,42.0,26.1,58.2,"""(Voluptatum deserunt autem sint inventore) , Quibusdam in and Aut quas porro eveniet""","""Note: Atque a officia, then Veritatis doloribus"""
kevin_nelson_5693,Kevin Cook-Nelson,13.0,28.1,73.2,"""Doloribus fugit soluta: Voluptates est delectus, Quos enim suscipit iusto molestias similique error""","""Note: Accusamus quo, then Ipsa nam"""
steven_stone_2013,Steven Stone,100.0,37.1,2.2,"""Libero saepe beatae: Animi culpa accusamus, Corporis eos fugiat assumenda""","""Dicta quisquam incidunt totam; Asperiores eligendi consequatur nemo , Quaerat autem cumque sapiente rem"""
edward_lloyd_7232,Edward Lloyd,35.0,95.1,58.2,"""Quod laboriosam, Ipsa facilis corporis Atque ipsum""","""Beatae quos nulla ea; Labore excepturi , A commodi commodi temporibus"""
lucy_skinner_7365,Lucy Singh-Skinner,87.0,54.1,82.2,"""Repellendus laborum impedit sint: Dolor consequatur, Rem rem""","""(Nobis minima) , Rem expedita ad odit sint and Laboriosam"""
dr_wilkinson_5117,Dr Dominic Wilkinson,70.0,13.1,91.2,"""Labore, Architecto Ipsum consequuntur hic""","""Laborum optio saepe laborum; Assumenda quo , Pariatur possimus nisi"""
dr_wilson_7972,Dr Brandon Wilson,79.0,12.1,2.2,"""Aut iure distinctio facere nihil repellendus; Officia nulla dignissimos eligendi repellat , Iusto occaecati voluptates""","""Note: Temporibus ad, then Eligendi et"""
mr_johnson_4440,Mr Nathan Johnson,68.0,10.1,68.2,"""Culpa reprehenderit: Deserunt dicta amet nisi, Cupiditate minima qui dolores explicabo""","""Explicabo mollitia ipsa error: A harum quaerat, Laudantium sunt"""
suzanne_perry_3481,A,84.0,94.1,27.2,"""Note: Tempore consequuntur corporis deserunt atque, then Consequuntur repudiandae minima tenetur neque""","""Note: Excepturi reiciendis eveniet maxime sit, then Veritatis occaecati"""
mr_wade_5180,Mr Harry Wade,15.0,82.1,69.2,"""Saepe commodi perferendis: Debitis sequi ex a, Blanditiis magni""","""Dolorum quae odit, Eos sunt Eos molestias quo fugiat"""
mr_campbell_3145,Mr Stewart Campbell,98.0,,90.2,"""Omnis nam; Itaque provident incidunt commodi maiores , Deleniti repellendus nulla consectetur""","""Autem sit distinctio, Exercitationem vel Nostrum ea earum occaecati"""
