# This is a comment line to skip
name	username	price	score	total_count	remark
Sharon Pennington	sharon_pennington_9640	47.0	44.1	66.2	"""Civil game level: Ability everyone	 Member indeed say"""
Sheryl Brown	sheryl_brown_3543		34.1	42.2	"""Change nor him recently growth; Number from much country 	 Debate history note"""
Katelyn Ortega	katelyn_ortega_8359	17.0	55.1	86.2	"""Note: Yet special fish	 then Card"""
John Williamson	john_williamson_6643	3.0	40.1	69.2	"""Matter	 Structure turn bad fine Condition simple"""
 	alyssa_mendez_2808	92.0	82.1	64.2	"""(Investment their) 	 Personal write child blue and Let him moment authority"""
Nichole Boyd	nichole_boyd_9227	53.0	44.1	99.2	"""(Someone) 	 Rock indicate behavior movement cold and But much"""
Tyler Washington	tyler_washington_4533	49.0	28.1	62.2	"""Note: Pay control medical	 then Family he catch"""
Matthew Anderson	matthew_anderson_0023	44.0	87.1	2.2	"""Maintain; Whole present positive article smile either 	 Quite age maybe"""
Allison Fox	allison_fox_5355	30.0	77.1	37.2	"""Note: Face early interesting	 then Get raise point"""
Sarah Kim	sarah_kim_8562	57.0	31.1	23.2	"""Produce agreement look pattern	 Administration crime option late Wind"""
Christopher Gutierrez	christopher_gutierrez_9362	70.0	24.1	4.2	"""Note: Child conference	 then Camera indeed"""
Taylor Jackson	taylor_jackson_5431	34.0	43.1		"""Subject friend allow: On small	 Skill sense benefit itself five"""
Marcia Fitzgerald	marcia_fitzgerald_8035	34.0	7.1	90.2	"""Ok sure expert floor chance: Member movie power	 So once"""
Sarah Reed	sarah_reed_4123	95.0	28.1	60.2	"""Consider skill: Worry into end	 Item story thought reality"""
Mrs. Alicia Morgan	mrs_morgan_2344	95.0	29.1	48.2	"""Attention unit; Decision dog teach quality field even 	 Fly bring hit"""
William Holmes	william_holmes_4950	88.0	21.1	96.2	"""Note: Management couple today could technology	 then Stay window"""
Emily Clark	emily_clark_3358	24.0	100.1	93.2	"""Note: Girl bag resource	 then Nature personal describe his"""
Jerome Wong	jerome_wong_6183	54.0	42.1	43.2	"""(Activity field kind eye) 	 Put check experience family white and Check leg anyone cup speech"""
Keith Stanley	keith_stanley_2612	17.0	80.1	54.2	"""Congress when; Very receive according 	 World customer water ball"""
Barbara Walker	barbara_walker_8097	61.0	13.1	20.2	"""(Religious let cultural) 	 Line tell foreign and Pull old she"""
Troy Andersen	troy_andersen_5033	31.0	79.1	33.2	"""Today building: Less test	 Because use camera member occur"""
Tammy Miller	tammy_miller_2952	75.0	70.1	18.2	"""(Administration response simply) 	 Budget very and Outside when nearly"""
John Davis	john_davis_0858	9.0		15.2	"""Leave address dream: Early open	 Produce"""
Laura Pollard	laura_pollard_6967	48.0	91.1	15.2	"""Environmental thank: After subject likely expert	 However no"""
