username	total_count	score	salary	remark
adrienne_garcia_0933	39.0	32.1	86.2	"""Enter	 Others million Purpose simply"""
brianna_lopez_2265	82.0	94.1	36.2	"""(Data) 	 None three and Magazine"""
nathaniel_ellis_6125	40.0	39.1	83.2	"""Note: Rich somebody family dinner when	 then Necessary role else kid"""
melanie_flores_7319	14.0	20.1	53.2	"""Management than: Grow fire score	 Ok society various"""
daniel_mendez_6003	99.0	66.1	31.2	"""Agreement student; Agent source reduce 	 Within throughout very nor goal"""
kathleen_martin_2195	12.0	93.1	6.2	"""War example	 Report television number ago cell Bring social nice"""
michael_herrera_3085	94.0	91.1	86.2	"""Look crime paper wait hand house	 Food fire Law moment anyone mouth"""
sean_curtis_6892	93.0		55.2	"""Five choice career partner; Response rule protect industry 	 Why"""
anne_johnson_1542	1.0	30.1	33.2	"""Talk commercial; Buy soon success level 	 Partner most large pick"""
james_wright_5776	84.0	59.1	57.2	"""To management society; Modern test him describe population bit 	 Student"""
joshua_weaver_6649	95.0	12.1		"""On bad	 Southern school clear minute base Value both"""
david_gregory_3195	18.0	12.1	46.2	"""Term nation group sometimes	 Imagine Again environment"""
michelle_brown_2092	68.0	4.1	94.2	"""Note: Here south discover	 then Car"""
terry_morris_8569	100.0	22.1	97.2	"""Future show	 Career audience Should century letter"""
david_hess_1005	49.0	68.1	41.2	"""(Theory) 	 Public put and Reveal scene"""
keith_green_5819	98.0	97.1	44.2	"""Note: Modern chair	 then Carry single"""
logan_smith_9884	80.0	47.1	36.2	"""(What arm speech) 	 Indicate sport want soldier and But since wrong"""
maurice_gordon_0272	78.0	77.1	17.2	"""News bank prepare condition something; Though drive check through offer question 	 Mention"""
christine_williams_5938	90.0	6.1	28.2	"""Note: Affect world	 then Something affect popular when"""
samantha_thompson_8941	28.0	8.1	33.2	"""Cultural ten help	 Treat television decision Skin society itself color financial"""
allison_hudson_5613	15.0	29.1	9.2	"""Note: Early soldier whom coach deep poor	 then Page bill billion ahead"""
susan_ramsey_7997	31.0	50.1	55.2	"""(Sound) 	 Various speech and Media worry"""
michelle_hernandez_6173	22.0	79.1	97.2	"""Answer respond; Far point 	 Stay budget"""
john_stephens_3372	4.0	55.1	66.2	"""(Out run) 	 Oil defense goal although create and General myself continue"""
amanda_jones_6966	35.0	81.1	80.2	"""Project person participant always: Republican price movie major picture southern	 Entire reality"""
rebecca_gonzalez_6352	81.0	26.1	22.2	"""Character nearly	 Seem Red force"""
roberta_williams_4526	81.0	24.1	91.2	"""(Break along) 	 Consider movie and Enter"""
jessica_rivera_6724		76.1	2.2	"""Note: Dog attention	 then About story line"""
latoya_powell_0787	73.0	49.1	95.2	"""Note: Heavy mind act	 then Say education"""
michael_ruiz_7622	22.0	48.1	62.2	"""Note: Establish international	 then Exist serious field popular"""
ashley_lopez_9292	96.0	58.1	57.2	"""On charge series win treatment; Upon born remain 	 If table"""
matthew_patel_8826	16.0	26.1	70.2	"""Themselves	 Congress only court trial voice Fight campaign although"""
