# This is a comment line to skip
name	total_count	salary	note
William Nolan	45.0	8.1	'''Citizen guy measure approach age	 Provide attorney good idea structure Level'''
Faith Nguyen	67.0	33.1	'''Note: Home land top	 then Language debate'''
Patricia Perkins	92.0	42.1	'''Note: Soldier anyone couple summer I	 then Avoid result policy rate'''
Paula Matthews	31.0		'''Note: Nice	 then Cell occur assume subject him explain'''
Mrs. Kelsey Shaffer	90.0	24.1	'''(Education me pressure song) 	 Range step and Center next tell girl seek'''
Nicholas Pham	26.0	65.1	'''Cause; Stop note once entire without grow 	 See'''
Christina Robertson	36.0	62.1	'''Sometimes exactly performance former education: Area purpose positive	 Weight different'''
Brooke Jackson	72.0	5.1	'''Similar commercial character; Almost treatment 	 Difficult above go theory'''
A	33.0	61.1	'''Friend care lot window: Time	 Majority environment recently'''
Heather Johnson	50.0	19.1	'''(Network ability method) 	 Whole agent key contain and Teach weight place fast occur store'''
Courtney Fletcher	68.0	72.1	'''(Truth example these ground) 	 Democratic computer and Work key stop receive'''
Cameron Jones DVM	62.0	52.1	'''Note: Cold	 then True reach long amount'''
Daniel Carpenter	90.0	27.1	'''Management defense; Somebody whole 	 Instead tonight rich'''
Marc Harding	85.0	22.1	'''Former he toward sing: While chair agreement	 Miss call establish'''
Anna Myers	53.0	93.1	'''Mean live cause network hair surface: Since throughout	 Body read issue shake poor'''
Brett White	29.0	87.1	'''Discussion career test student similar: Because program film	 Available ten inside very'''
John Howell	33.0	71.1	'''Each month movement	 News century vote Choice vote'''
Christopher Greene	42.0	34.1	'''Purpose: Edge a guess	 You rise'''
Makayla Barr	56.0	86.1	'''Note: Buy	 then Capital approach method wall'''
Peter Townsend	34.0	94.1	'''Me standard factor special; Set heart learn explain 	 Occur lose room'''
Robert Hicks	90.0	91.1	'''Job safe environmental recognize	 Your enough shoulder pick Risk leg measure article animal strong today'''
Jesse Taylor	60.0	89.1	'''Pattern analysis: Person individual	 Information week American tree'''
Terry Silva	38.0	31.1	'''Candidate certainly	 Couple specific usually Consider born'''
Kristin Wilcox	100.0	21.1	'''Carry	 Item Also region thing carry dinner'''
Ruth Ross	13.0	37.1	'''Add mention example; Report 	 College rest author continue particular'''
Ryan Singleton	95.0	97.1	'''Season moment girl nothing benefit; Base shake above huge 	 Board form'''
Jamie Fuller		88.1	'''Course; Good 	 Society project success size'''
Angela Freeman	32.0	42.1	'''Various: Model drive image	 Pull standard'''
