# This is a comment line to skip
username,name,price,score,description
cristian_bright_8292,Cristian Bright,94.0,73.1,'''Add; Consumer whatever seek , Speak employee late rock two face'''
edward_fritz_8929,Edward Fritz,7.0,50.1,'''Itself argue soldier; Increase add , Dinner true'''
lisa_cummings_5865,Lisa Cummings,49.0,78.1,'''Note: Good all never time man, then Go third possible investment itself'''
christine_mccoy_9155,Christine Mccoy,42.0,67.1,'''Note: Similar change from tend, then Personal'''
michelle_hanna_1045,Michelle Hanna,17.0,73.1,'''(Land get) , Century occur my realize and Chair step truth water concern'''
stefanie_anderson_1619,Stefanie Anderson,76.0,8.1,'''Note: Once, then Anything environmental bit'''
latoya_smith_1183,Latoya Smith,15.0,23.1,'''(Space knowledge image) , Poor body significant and These structure'''
nathan_whitehead_1687,Nathan Whitehead,29.0,65.1,'''Note: Respond drive boy, then Agreement woman together statement series letter'''
meghan_chen_8013,Meghan Chen,67.0,35.1,'''Free chance, Mention Heavy work cell meeting'''
jesse_myers_1811,Jesse Myers,1.0,,'''Scene common analysis generation; Seem receive best , Voice kind life'''
gina_jordan_0552,Gina Jordan,8.0,51.1,'''Note: Make policy together, then Maintain'''
brian_valdez_7323,Brian Valdez,87.0,19.1,'''Very: Film explain doctor, Society show interview health'''
jennifer_gomez_4263,Jennifer Gomez,42.0,95.1,'''Set stay; Professional tree boy , Scientist eat because'''
joe_hernandez_4920,Joe Hernandez,28.0,33.1,'''Vote: Lose either picture, Serious plan'''
john_cummings_8199,John Cummings,97.0,55.1,'''Past affect our no evidence; Through responsibility leader forget impact chance , Second state lose per source'''
tyler_nichols_6376,Tyler Nichols,33.0,98.1,'''(Foot film back) , Administration walk issue affect and Only phone'''
mr_md_5353,Mr. Jose Johnson MD,52.0,54.1,'''Wife, Boy away speech child more Dog huge country grow'''
christina_lopez_1945,Christina Lopez,49.0,58.1,'''To; Sing let , Agree note'''
nicholas_higgins_0916,Nicholas Higgins,42.0,16.1,'''Note: Ground mission indeed, then Best hour hour'''
brandy_sanders_1831,Brandy Sanders,18.0,36.1,'''Wonder: Why these keep, Bring agency over'''
valerie_stone_1382,Valerie Stone,52.0,33.1,'''(Better nor fine) , Represent suffer and House pretty marriage see'''
marissa_stevens_7740,Marissa Stevens,39.0,94.1,'''Put talk middle; Decide , Up century happen sister maybe'''
emma_dickson_4105,Emma Dickson,39.0,5.1,'''Fire positive: Area glass, Against'''
douglas_coleman_3888,Douglas Coleman,84.0,93.1,'''Note: Myself, then Ball civil significant film no once'''
stephanie_walsh_0178,Stephanie Walsh,36.0,10.1,'''Last religious different, Yeah story these Sometimes billion'''
henry_wheeler_8097,Henry Wheeler,50.0,98.1,'''Behavior bank go: Cultural coach economy reason, Natural raise'''
jason_martin_7472,Jason Martin,37.0,62.1,'''Note: Tonight exactly fund paper, then Worry source'''
roger_wright_9270,Roger Wright,99.0,31.1,'''Animal after shake could; Activity there , Guy growth anyone'''
bryan_salas_5987,Bryan Salas,23.0,43.1,'''Third page most third; Own room , Deep quite instead member'''
stephanie_price_8339,Stephanie Price,35.0,25.1,'''Compare trip much employee: Mrs agreement, Positive structure high'''
katie_smith_0667,o,58.0,17.1,'''Final program these recognize, She method thought question Picture'''
dennis_wood_9790,Dennis Wood,52.0,87.1,'''Have maintain enough: Painting after magazine, Prove then school high forward'''
kathleen_wood_3485,Kathleen Wood,62.0,40.1,'''Wind Republican course, Hundred actually student They important'''
patricia_rice_9308,Patricia Rice,64.0,29.1,'''Time south memory: Instead throw rich heart task into, Old suffer finally method'''
dylan_morris_1354,Dylan Morris,,60.1,'''Trial: Court analysis would, Unit way her'''
carlos_johnson_7512,Carlos Johnson,88.0,61.1,'''Both war middle: Old, Majority least year yard'''
laura_russell_2023,Laura Russell,36.0,72.1,'''Note: Data director will past stock maybe, then State threat pressure still'''
mark_chavez_1742,Mark Chavez,95.0,19.1,'''Move consider yourself difficult: Present effort official, Cell increase or'''
