# This is a comment line to skip
username	name	salary	total_count	price	summary	remark
alicia_austin_6167	Alicia Austin	84.0	51.1	3.2	"""Unit month father until; Spring bill religious attention modern 	 Imagine fight"""	"""Note: Cell consider heavy employee office	 then Particularly ready school way maybe"""
robert_smith_5124	l	65.0	66.1	13.2	"""Note: Fight Democrat sometimes upon	 then Eight hair also"""	"""Note: Who	 then Pay however and"""
robert_moore_1747	Robert Moore	50.0	70.1	15.2	"""Population create: Require main which	 Shake hold sort"""	"""(Fear) 	 She appear and Floor entire surface than"""
ray_fletcher_3693	Ray Fletcher	75.0	33.1	18.2	"""(Speak) 	 Citizen message why improve wish and Cut"""	"""Explain behavior relate significant manage name: Attention	 Their"""
elizabeth_dixon_8734	Elizabeth Dixon	22.0	56.1	56.2	"""Field news arm dinner administration tend	 Color as economy close Price enter"""	"""(Either training) 	 Public put life bank and Pick nice"""
christina_williams_8314	Christina Williams	93.0	33.1	76.2	"""(Raise lot) 	 Fill enjoy condition hope boy and Main bring"""	"""(Great detail) 	 Mouth indicate phone low various support and Sound head"""
tiffany_wall_8241	Tiffany Wall	70.0	76.1	37.2	"""(Another) 	 Tree western whose increase firm and Yet almost again"""	"""Person participant: Front challenge	 Wind garden"""
angela_hays_0621	Angela Hays	9.0	42.1	41.2	"""Instead rather	 Herself already property for Must word collection hear"""	"""Address attorney	 Green factor night Worker line impact PM wear"""
veronica_wall_5426	Veronica Wall	96.0	35.1	3.2	"""Note: Spend issue receive physical become stock	 then Second"""	"""Machine require; Bank first 	 Rich thousand be"""
michele_murphy_5071	Michele Murphy	89.0	54.1	84.2	"""(Future read often) 	 Chance similar trip wear and Hair identify"""	"""Economy cause recently PM stock	 Consider Call evidence message"""
reginald_wheeler_5909	Reginald Wheeler	56.0		93.2	"""Knowledge easy	 Leader difference somebody conference Modern certainly clear"""	"""Note: Last its magazine two usually	 then Structure beautiful nearly best"""
nathaniel_mckenzie_7985	Nathaniel Mckenzie	33.0	77.1	81.2	"""(Student trade) 	 Pick policy and Daughter throughout"""	"""Fine him western	 Parent well Probably race trouble"""
crystal_hernandez_4924	Crystal Hernandez	27.0	50.1	39.2	"""Important each individual	 Kid Practice officer after avoid"""	"""Like know	 Pretty other Seek big exactly religious forget"""
carlos_reeves_3413	Carlos Reeves	94.0	66.1	35.2	"""Act such I trip take ahead: Model bar deep	 Huge pressure leave"""	"""Argue buy: Step claim explain	 Base say single"""
lisa_scott_9341	Lisa Scott	62.0	86.1	70.2	"""Note: Medical customer unit	 then Draw"""	"""Water human manage protect because	 Fund leave Power structure bad"""
james_santiago_9547	James Santiago	45.0	22.1	37.2	"""Trip inside; Enough 	 Development away soon"""	"""Note: Third moment teach option	 then Power professor day ten bill"""
nicholas_aguilar_2224	Nicholas Aguilar	13.0	68.1	19.2	"""Across guy mission support; Bill job worry test dog east 	 Few already never"""	"""Ok relate benefit care; Season enter environment tree 	 Measure lead"""
steven_gray_2359	Steven Gray	66.0	42.1	25.2	"""(Debate well) 	 Evidence mother and Nation body guess official"""	"""Note: Spring just	 then Prepare environment traditional option still"""
amy_herrera_5593	Amy Herrera	31.0	80.1	95.2	"""Note: Perform help role stop present	 then Window imagine term"""	"""Store he	 Low last program Agreement beautiful"""
jennifer_hill_5705	Jennifer Hill	99.0	38.1	81.2	"""Surface wish	 Society suggest head Early thousand"""	"""My	 Democratic like Task church his"""
theresa_martin_4306	Theresa Martin	71.0	6.1	62.2	"""Generation rich: Base	 Expect civil example local"""	"""Note: Nearly	 then Lose evidence political ok they"""
brian_kelly_8631	Brian Kelly	93.0	74.1	53.2	"""Information fact market become writer line	 Here watch machine Worry news only"""	"""Region collection: Final citizen road letter	 Say off"""
laura_campos_1984	Laura Campos		28.1	4.2	"""Hot; Red own have property with 	 Brother"""	"""Note: Consider smile week	 then Plant least office civil successful"""
glenn_johnston_8797	Glenn Johnston	80.0	65.1	35.2	"""Walk night; Create none chance 	 Glass"""	"""Than even	 Article science Pressure face"""
joseph_pham_9213	Joseph Pham	4.0	51.1		"""(Remember position human oil threat) 	 Despite check and Organization huge line reason"""	"""Note: Exist so	 then Building"""
danielle_morse_9221	Danielle Morse	51.0	68.1	78.2	"""President should	 Station time office Clear successful"""	"""Note: Since including be military	 then Type happen top"""
