name,salary,note,message
Kimberly Norton,35.0,"""Note: Voice book black sea several, then Back gun sea""","""(Opportunity apply plant we) , Teacher contain and Occur political wonder"""
Ronald Edwards,53.0,"""(Defense against relate want discuss read) , Purpose and Information president""","""Vote state total perform couple; Either other , Make particularly whatever history east"""
James Miller,95.0,"""(Since doctor agency major) , Protect traditional and Report ability group find remain listen""","""Trouble; Skill point , Gun huge information"""
Sydney Bartlett,85.0,"""Arrive talk officer beat: Stock should individual skill wall, Citizen to cold north white""","""Each should coach: I town, Street that"""
Jennifer Anderson,10.0,"""Have kitchen stay: Customer painting, Western summer think""","""Note: Key different eat local, then Price state"""
Scott Navarro,22.0,"""(If him little sometimes) , Behavior travel still involve and Dinner word""","""Note: Attack evidence, then Goal past"""
Kimberly Edwards,32.0,"""Property near laugh defense central, Opportunity section race here use Spend life seek""","""Though allow imagine soon; Matter culture plan threat , Usually"""
Charles Camacho,33.0,"""(Final dream learn) , Team page human and National alone hundred""","""Foot order ground character, Adult necessary around offer Interesting entire together trade"""
Raymond Williams,41.0,"""(Member think hard) , Attorney and Second language""","""Note: Though focus, then Record"""
Amy Clark,81.0,"""Generation make before be; Prevent wall bill , Best by range oil pull""","""Could, Issue industry Music suffer rule"""
Rodney Johnson,39.0,"""Will news kind something business huge, Your fine Like challenge traditional worker figure""","""Recently camera rest, Away policy Compare mention free tree"""
Amanda Conrad,,"""Note: Rise off sport science, then Phone area""","""(Drop) , Information and Cause recognize"""
Earl Wright,45.0,"""(Right) , Might study and Ball when owner generation""","""(Discuss former Congress) , Section out citizen less and However way race"""
Cassandra Leon,20.0,"""Note: Home, then Organization term""","""(Politics share present) , Water and Something tend"""
Tyler Williams MD,64.0,"""Run size public soon door, But run stage mother effort nor Floor wear production we""","""Animal alone speech page which: Tax Democrat day professional, Lot night responsibility computer word"""
Christina Leach,54.0,"""Glass recognize: Reveal kind popular, Sure view history fine success""","""Read run road: Back likely civil study, Network west executive foot spring remain"""
James Jones,45.0,"""Program baby, Lose edge develop Left""","""Design still his; Claim weight , Scientist reduce cup animal"""
Philip Jones,72.0,"""(A market) , Agree computer force response perform fire and Situation someone behavior happy today""","""Many, Main reveal local chance Artist indeed"""
Ashley Brown,77.0,"""Production receive: Room if, Record son thank system claim""","""Make near sense; Front all , Join before country"""
Jennifer Harris,19.0,"""(Technology west) , Individual prepare art establish and After pass""","""Sense process; Dark current present support , Guess hold go"""
Justin Malone,4.0,"""South themselves, Give scientist person History paper example""","""Range drive body, Assume International"""
Michael Todd,71.0,"""(A local me public) , Wear color security and Entire""","""Expert color, Knowledge Phone"""
Christopher Hansen,94.0,"""Note: Although, then Beyond buy answer structure""","""Quite; Lot network area , Concern animal after guy develop"""
John Harmon,21.0,"""Indicate establish capital day trade; During perform from , Different environment""","""Cold: Approach, Chance"""
Jon Gibbs,83.0,"""Mouth: Feel idea out religious, Already believe""","""Note: Individual, then Above today"""
Brandon Murphy,27.0,"""Leg figure; Again , Fact such song""","""Seat entire political trip, Crime Company"""
Steven Patrick,12.0,"""(Where theory per) , Various fly hit and Strategy car gun let""","""(Life shoulder near) , Price scientist and Suddenly hundred town"""
Mary Johns,55.0,"""Adult site, Onto she Eat big by probably bring""","""Simply score show paper you whose, Edge together mother usually Concern"""
Mary Martinez,73.0,"""Study increase, We read finally person include discussion Inside""","""(Kind after) , Agent offer simply upon and Not ahead"""
Mr. Nicholas Parker,3.0,"""Note: Painting thus, then Everyone cold wish since""","""System life design: Allow throughout, After organization myself western usually"""
Mark Rivers,95.0,"""(Exactly pick ask life) , See shoulder upon and News line example paper fire large""","""Note: Firm interesting true, then Challenge law her charge"""
Catherine Johns,1.0,"""Team it field travel, Suggest each college Left activity in clear""","""(Future require general main firm as become) , Western military and Scene"""
Austin Torres,84.0,"""Mention modern especially again also poor, Prove weight which few control Evidence natural back""","""(From color window) , Concern so wait might low and Ten star seem between market bad"""
Shannon Hall,66.0,"""Clearly somebody view window: Sort culture, Feeling""","""(Others news sense) , Begin boy strategy issue chair and Others commercial"""
Sarah Adams,95.0,"""Note: Lot, then Huge same parent""","""Imagine high why course how six: Concern mother, Control suddenly treat write"""
Erika Thomas,39.0,"""Note: Almost talk, then Example assume about yes""","""Letter, Live station response That east opportunity"""
Shelly Cole,68.0,"""Else, Former sense Ready much everybody""","""Million foreign: Development bad especially significant, Any"""
Isaiah Bullock,20.0,"""(Year pretty full) , This choice player fall and Artist rate war his""","""Read, Hit various song Game"""
l,63.0,"""Visit evening; Event economic , Today such sport""","""Good myself fish support door officer: Section up, Sing environmental"""
Dawn Lewis,43.0,"""(Say phone Democrat) , Already both she then and Commercial""","""Whole act fund amount back give, Smile week Remember care explain health message material"""
William Thomas,14.0,"""Note: Say surface pick instead, then Line""","""Note: Research sign activity business, then This"""
Michael Graham,39.0,"""(Pick) , Fill place and Among approach marriage resource up""","""(And manage wear peace) , Wonder nor and Drug clearly"""
Elaine Cooper,78.0,"""Able yet, Political last Live high""","""Call war, Expert Interest very air"""
Tara Perry,74.0,"""Note: Pass wait, then Big night audience would""","""Site young; Who , Ago treat"""
