# This is a comment line to skip
username;total_count;price;comment
sarah_fisher_1873;9.0;5.1;'''Note: Area lay respond Congress thousand kind; then Impact'''
amanda_lee_2845;77.0;5.1;'''Note: Tell stand; then Well cup say task middle'''
pamela_miller_4298;24.0;70.1;'''(Since impact) ; Other provide significant moment whole and Nothing market matter program job structure develop'''
rebecca_flowers_3234;50.0;27.1;'''Once beat court customer recently: Republican attorney ok wife; Hand buy necessary thought'''
cameron_savage_1016;43.0;32.1;'''Leave likely candidate; Color candidate look ; Involve true us'''
robert_alvarez_9853;29.0;48.1;'''(Visit nothing the beautiful) ; Leave act sit of cause tonight and While money develop speak'''
steven_jennings_0419;32.0;56.1;'''Current; Money About often cultural strategy'''
monique_arroyo_4859;87.0;77.1;'''Set hear; Stand increase receive ; Perform practice'''
john_davis_7184;;70.1;'''Eye; Material agree ; Read firm'''
elaine_sanchez_0161;19.0;94.1;'''Behind they recently building only; Pretty Nearly'''
justin_chen_6441;82.0;73.1;'''Reach major everybody economic: Available rock; Hospital economic'''
amanda_smith_3828;78.0;16.1;'''Modern; Tough bill Contain door information'''
paul_pierce_2090;42.0;80.1;'''Know body; Under between Close guess contain special'''
martin_flores_2882;69.0;47.1;'''(Section exactly reality one she) ; Study dream and Answer whom story'''
john_fowler_1303;62.0;64.1;'''Represent perform; Fast throughout cause why meeting standard Cup lay stock'''
jennifer_pace_1203;68.0;65.1;'''Role; Appear Particularly identify'''
anne_king_4952;96.0;13.1;'''Road; To great time scene doctor environmental Class'''
brittany_walsh_7389;72.0;27.1;'''(Party speak) ; Court student son large science and Bad game'''
kelly_rodriguez_9795;52.0;43.1;'''One spring relate; Plant because political message Group movement'''
adam_goodman_8076;84.0;35.1;'''Note: Back seem tonight; then Easy floor clear beautiful'''
anthony_rogers_9770;47.0;65.1;'''Court Mr; Among long already main Great pass blue'''
derrick_williams_2194;10.0;58.1;'''Born sister; Concern seem ; Sense onto'''
christopher_buchanan_7226;75.0;;'''Option: High medical certainly industry; Important'''
scott_bailey_5351;55.0;100.1;'''In notice: Stuff it; Try can'''
joshua_scott_7478;34.0;69.1;'''Heart receive current consumer not: Than rate talk interest middle learn; Long against'''
keith_fuller_6115;86.0;36.1;'''Edge research; Wide ; Need line'''
jennifer_hamilton_5380;89.0;50.1;'''Note: Meet up Mrs commercial whose; then Man'''
mark_brown_6194;31.0;59.1;'''World deal; Kid ; Dream'''
christopher_alexander_6466;77.0;47.1;'''Audience; Pick any fear nothing include Mrs couple include goal'''
sarah_andrews_9129;31.0;44.1;'''Note: Grow speech; then Phone hotel'''
jason_suarez_1880;39.0;96.1;'''Amount religious whether; Same ; Tonight moment avoid hope'''
