name	age	total_count	rating	message
Monique Duncan	15.0	37.1	97.2	"""Wife food	 Suddenly point sometimes Close"""
Kyle Edwards	50.0	12.1	53.2	"""Recognize training weight appear; Parent others 	 Allow return either"""
Christopher Lynch	41.0	74.1	39.2	"""Note: Laugh story weight continue room	 then Teach agency"""
Jennifer Lucero		90.1	72.2	"""Note: Bring	 then East upon number person"""
John Golden	20.0	4.1	30.2	"""Note: Song nearly speak	 then Instead chair than current travel"""
Jeffrey Hill	11.0	55.1	42.2	"""Through; Tonight goal tend 	 Cover sport"""
Mary Gomez	33.0	22.1		"""Note: Gun	 then Bar it red the"""
Joseph Alexander	78.0	46.1	94.2	"""Kitchen outside: Foreign window	 Especially adult material"""
Kelly Hess	48.0	4.1	33.2	"""Thus almost: Or community medical charge	 Among official source these place"""
Kathleen Greene	98.0	21.1	75.2	"""Kid; Future 	 Important"""
Eric Morales	13.0	60.1	55.2	"""Rate know; Door fire available 	 Character office through senior"""
Timothy Martinez	99.0	58.1	50.2	"""Note: Change fish similar successful	 then Sea show among"""
Jeremy Martinez	89.0	48.1	40.2	"""Difference; Class break parent 	 Present new sort above"""
Russell Howell	10.0	41.1	82.2	"""Large company age less might; Magazine argue 	 Economic federal interview stop network"""
Christopher Adams	64.0	47.1	83.2	"""Goal onto idea: Size live	 Between technology natural thank yourself"""
Tracy Mcdonald	73.0	20.1	3.2	"""Me message; Away this 	 Glass"""
Michael Castillo	8.0	54.1	96.2	"""(How bad can people) 	 Human probably and Prepare"""
Mary Cunningham	14.0	73.1	62.2	"""Fly any list: Bank amount practice base region young	 Avoid"""
Heidi White	14.0	37.1	59.2	"""Woman report; Entire interest perform 	 Plant religious"""
Stacey Ball	29.0	17.1	42.2	"""Environment expect get ahead energy; Movie company write customer parent 	 Loss home strategy"""
Christina Rubio	47.0	12.1	70.2	"""Compare	 Run physical benefit Much card plan word"""
Charles Pineda	16.0	61.1	70.2	"""(When suffer hold although decide) 	 Piece bag actually food join site and Test movement too"""
D	95.0	80.1	78.2	"""Than let number chair; Same imagine 	 Condition"""
David Edwards	24.0	81.1	51.2	"""Note: Always network future future he	 then Huge trip"""
Francis Farrell	2.0	23.1	40.2	"""Woman role: Sell	 Out send close wonder staff"""
Amanda Hansen	62.0	25.1	2.2	"""Really friend time significant strategy: Try reach	 Popular community cover"""
Julie Gomez	84.0	43.1	68.2	"""Note: Way drug difference woman network	 then Quite give you tell"""
Anthony Sandoval	22.0		86.2	"""Physical ago those forward: Pattern system	 None society them light"""
Crystal Simpson	48.0	39.1	58.2	"""(Off television) 	 Partner and Condition watch"""
Pamela Howard	35.0	59.1	50.2	"""Note: Thus think	 then Top practice event develop"""
Louis Yang	86.0	11.1	55.2	"""Rock: Lose loss until more take	 Left difference million market"""
Andrea Gonzalez	45.0	7.1	17.2	"""Order nice: Radio shoulder month red ok	 Something nothing art anyone"""
Mr. William Perez DDS	49.0	18.1	38.2	"""Note: Mrs the	 then Entire involve"""
Ashley Brown	97.0	58.1	56.2	"""Pick work	 Big ok under country Common win magazine generation those"""
Jacob Marshall	40.0	88.1	50.2	"""Note: Kid	 then Event generation garden"""
Kristine Morris	1.0	4.1	53.2	"""Nature population note even difficult rich	 Pattern account Tonight talk hair prepare suggest"""
Nicholas Morgan	63.0	60.1	81.2	"""Note: Sure	 then Ago practice"""
Alexis Fowler	42.0	28.1	19.2	"""Note: Shake give	 then Instead girl make court animal owner"""
Misty Williams	37.0	46.1	79.2	"""Note: Hard myself they continue	 then Peace natural"""
Erica Yang	77.0	85.1	1.2	"""Man phone set today; Degree 	 Performance attorney far gas"""
