# This is a comment line to skip
name	salary	total_count	message
Michael Barnes	97.0	72.1	"""Note: Avoid	 then Budget husband measure"""
Karen Gomez	55.0	62.1	"""Start drop	 Begin Analysis"""
Thomas Robinson		72.1	"""Note: Different nation and	 then Wind"""
Sarah Powers	16.0	68.1	"""Realize; Big skill manage 	 Coach student third class"""
Miranda Dominguez	42.0	32.1	"""Fall: Area piece happen grow	 Language mention"""
Benjamin Gilmore	56.0	68.1	"""(News marriage) 	 Later important and Letter year little edge"""
Daniel Roy	25.0	38.1	"""Note: Respond action cover	 then Person"""
Joseph Brown	67.0	30.1	"""Note: Move	 then Could apply should pattern"""
Leslie Mills	2.0	42.1	"""(Foot) 	 Someone owner and Me write"""
Ryan Anderson	77.0	8.1	"""Statement appear everyone: Very drive read	 Southern court seek hand fine"""
Mr. Edward Watson	77.0	100.1	"""(Them writer) 	 Window like cover and Camera recent defense"""
Monica Palmer	56.0	81.1	"""Modern anyone number pattern over	 Explain save Identify ok able idea deep"""
Amber Pena	28.0		"""Note: Yes	 then Risk"""
Denise Francis	86.0	82.1	"""Note: Only evening send prepare	 then Win service"""
Yvette Odonnell	51.0	45.1	"""Former PM leave prevent card: White hundred few	 Well school here can friend plan"""
Mary Olsen	71.0	46.1	"""(Close their similar) 	 Important almost vote and Individual join"""
Brian Gardner Jr.	26.0	51.1	"""Community significant issue	 Buy son author state listen On teach quickly season deep"""
Matthew Hernandez	6.0	62.1	"""Note: Provide beyond establish important	 then Whole"""
Eric Martin	2.0	74.1	"""Peace consider: Some possible	 His size no"""
Angela Campos	71.0	48.1	"""Note: Owner up	 then Sister opportunity show"""
Gabriel Dunn	78.0	62.1	"""Test arrive; Moment politics 	 Physical town"""
Robyn Vasquez	19.0	98.1	"""(Add chance morning court) 	 Open fast and Matter under"""
Ryan Long	39.0	68.1	"""Note: Material film travel	 then Store speech skin animal case"""
Michael Hart	7.0	64.1	"""Really area table grow other; Large form continue group series 	 Leader husband yet"""
Dakota Gaines	68.0	1.1	"""Form spring have country; Event certainly note night hour 	 Sell century right"""
Kelly Gonzales	58.0	62.1	"""Wrong skin record	 Policy Grow whole"""
Jason Nichols	36.0	82.1	"""Notice forget; Who sound 	 Give blue go"""
Claudia Warren	78.0	44.1	"""Note: Example score add	 then Billion"""
Patricia Carter	61.0	33.1	"""Southern director; Move series wonder 	 Still"""
Mr. Matthew Wall MD	39.0	40.1	"""Note: Say tax watch	 then Stay make success"""
Gary Gallagher	58.0	32.1	"""Note: Responsibility vote memory country less	 then Your"""
Amanda Duncan	76.0	63.1	"""Hear; Dog popular follow 	 Lose well notice off including"""
Sarah Salazar	66.0	41.1	"""Name work; Kid 	 Able black"""
Jessica Lambert MD	98.0	75.1	"""Note: Truth station paper	 then Raise writer example probably"""
Justin Thomas	62.0	29.1	"""Eat dream; Make 	 Measure can high"""
Melissa Chung	83.0	61.1	"""Teacher quickly add: None property these those	 Huge"""
A	25.0	77.1	"""When late; Mother discover send 	 Last treatment tough appear"""
Sonia Sanchez	38.0	50.1	"""Court loss share young paper; Floor section 	 System water economy"""
Alexander Lewis	56.0	19.1	"""Table eight; No heavy wonder 	 Successful well"""
