# This is a comment line to skip
username,rating,salary,summary
jennifer_dunn_1366,36.0,47.1,'''Particularly more: Address safe whether almost national direction decide, Challenge fast most book'''
jonathan_richardson_5488,45.0,19.1,'''Note: Short, then Experience assume establish'''
nathan_gomez_0442,62.0,79.1,'''Letter travel: Protect improve speak baby, Money then'''
erica_medina_4077,,52.1,'''Hope back: Realize data cut I finally, Strong customer'''
sarah_bryant_6667,37.0,6.1,'''Yes imagine team sure buy; Manage college , However side carry serve'''
courtney_murphy_3253,5.0,3.1,'''Position; Yourself information response get , Music law fast next'''
kevin_jenkins_5989,91.0,38.1,'''Piece own, Still partner reality Phone'''
joseph_stewart_4488,34.0,35.1,'''Note: Thing free door anything without, then Despite may air budget'''
kevin_jenkins_7340,71.0,11.1,'''Note: Study skill risk human, then Top population wrong'''
sean_moody_1647,18.0,22.1,'''(Probably from already) , As which trade security likely Democrat and True'''
brianna_williams_6164,85.0,84.1,'''Respond receive; Would rest organization , War member task business'''
jordan_cantrell_5102,83.0,97.1,'''(Toward) , Yourself recent work over open and Reduce become'''
tracey_wright_5715,89.0,20.1,'''Season try argue; Lot third reach along win many , Marriage speech necessary'''
jonathan_wolf_9224,48.0,26.1,'''Note: Challenge throw wonder somebody, then Artist where right'''
jeffrey_thompson_1248,13.0,19.1,'''Sort spend begin, Even usually she up painting Yard if'''
rachel_miranda_6380,96.0,10.1,'''Account night his describe: Someone just citizen, Order send benefit'''
stephanie_gonzalez_8279,77.0,37.1,'''Walk three, Young close low Ten suffer'''
michael_cooper_2743,48.0,3.1,'''Note: At, then Better out office professor goal'''
ariana_rodriguez_5297,75.0,100.1,'''(Other century anything) , Set each stop talk and Easy actually himself specific'''
leah_hill_6156,57.0,11.1,'''Note: Sister these board worker store, then Remember go'''
renee_morales_1749,94.0,43.1,'''(Yeah data) , Newspaper mean kind any and Lose'''
ronald_ferguson_5319,85.0,8.1,'''Land similar decade system consumer, Hour language site Quickly take'''
gregory_cain_4490,13.0,20.1,'''(Social) , List feeling and Onto forward win'''
matthew_williams_1573,40.0,41.1,'''Help enough no: Meeting east series democratic ground forget, Provide today interest occur'''
charles_lopez_5488,63.0,31.1,'''Plan admit method relate; Toward truth so hot , In page'''
marissa_pruitt_2730,79.0,85.1,'''Note: Again whom, then Exist'''
michael_chase_0131,56.0,31.1,'''Place knowledge media, Become evidence In thing fact'''
nicole_mckee_4311,63.0,99.1,'''Question: Wrong international of hard less, Nature agreement son'''
carl_ford_2474,80.0,52.1,'''(Front get heavy another million) , Personal visit often money and Benefit itself'''
jim_frey_0941,66.0,84.1,'''Note: Throughout morning join back capital father, then Director'''
roy_jones_0341,59.0,51.1,'''(Size skin foreign choose figure) , Early number and Energy movie may relate wonder tell'''
andrew_marsh_8035,9.0,32.1,'''Test game federal: Camera them step special American cell, Tell think edge'''
sophia_lopez_6786,12.0,91.1,'''Around dark every expert meet; Its space , Win join'''
elizabeth_mora_4571,45.0,22.1,'''(Time direction book) , Vote writer and Crime or set list protect pay'''
chloe_whitney_1953,20.0,47.1,'''Note: Tend, then Near executive lot clear seem'''
terry_lewis_4310,36.0,43.1,'''Note: Back movement sound phone billion prevent, then Who later before however thing entire'''
michael_gonzalez_6852,31.0,4.1,'''Along lawyer, Whether item Everybody it personal'''
stephen_suarez_9582,79.0,,'''Note: Hair person, then Dinner large charge provide'''
elizabeth_harvey_2373,17.0,69.1,'''Mouth hope mouth no none: Job expect anything skin four fact, Seem'''
phillip_anderson_6314,31.0,48.1,'''Note: Science Republican interesting, then Center sister represent'''
daniel_wilson_4865,90.0,48.1,'''Note: Term, then Tv store employee money east'''
roger_casey_1476,6.0,77.1,'''(Age draw environmental yes) , Particularly space rate case hold and Shoulder industry'''
mr_rivers_6585,51.0,56.1,'''Building why deep, Pressure agent short Personal debate author item'''
melissa_rodriguez_1508,46.0,48.1,'''Before I reveal: Can language, His'''
gabriel_perez_2867,31.0,74.1,'''Effect actually keep; Argue organization trip be language , Wall evening'''
anna_young_3842,27.0,62.1,'''Note: Street style, then Positive must'''
