name,age,score,note
Paul Davis,45.0,13.1,'''Letter industry; Go , Should'''
Lauren Morales,71.0,34.1,'''Bar throughout; Program should , Challenge explain'''
Jeffrey Brown,55.0,65.1,'''Threat explain: Seven medical, Network per focus girl'''
Roger Gentry,6.0,53.1,'''Property concern hold science run, Individual garden Return'''
o,93.0,92.1,'''Somebody time open; Budget amount , Citizen top cold'''
Susan Gonzalez,11.0,36.1,'''Include within civil kind: Cup truth, Our college many'''
Lauren Burns,14.0,38.1,'''Field dog once: Safe decide scientist a ask though, Who weight'''
Tanya White,22.0,35.1,'''Together; Everyone , Travel something hotel some computer natural'''
Juan Rodriguez,7.0,30.1,'''Note: Capital end both character, then Happen'''
Natalie May,20.0,87.1,'''Student part film this; Up look , Particularly candidate policy'''
Terry Cook,68.0,97.1,'''(Glass Mrs that particularly) , Today industry and Once maybe'''
Brandi Ruiz,46.0,19.1,'''Note: Ability require near same, then Experience assume any discussion player admit'''
David Hanson,86.0,39.1,'''Garden each, Result each Quality natural inside'''
Jeffrey Gilbert,59.0,78.1,'''Note: Return big single nothing, then Generation'''
Andrew Williams,70.0,6.1,'''Rich name door: In reality, Main write'''
Eric Campbell,21.0,9.1,'''Sense by last; Leader , Field imagine stop'''
Eric Lee,56.0,57.1,'''Meeting coach mouth, Its visit wrong Wind'''
Jay Davis,96.0,36.1,'''(Give sea) , Soldier activity finish and Involve trial stuff'''
Cindy Acosta,89.0,3.1,'''Success impact million: Soldier, Old'''
Jessica Gordon,44.0,78.1,'''Contain check likely; Laugh impact seat alone , Several treat letter media mind'''
Nicole Potts,81.0,57.1,'''Note: Election still, then Admit you television'''
Kristen Merritt,42.0,34.1,'''Receive director media; Move apply , Build effect moment task form'''
Matthew Parker,29.0,,'''Note: By, then Across but go'''
Ashley Simmons,75.0,86.1,'''Once help far send; Fight water , Certainly board sometimes'''
Jennifer Stokes,15.0,72.1,'''Finish record, Maintain chair thank stage Idea drop'''
Cynthia Lewis,88.0,67.1,'''Share three general garden shake: Might, Reduce source prepare save'''
Samantha Martin,,54.1,'''Operation Mr, Many beautiful Maintain child off'''
Anna Montoya,35.0,77.1,'''Consumer these fight reflect your: Force, Investment new painting'''
Barbara Boyer,74.0,83.1,'''(Build now today today answer) , Their owner record entire claim mouth and Often meet'''
Nathan Martin,99.0,15.1,'''Note: Record plan, then Fear per capital'''
Tiffany Boyer,91.0,61.1,'''Note: Remain present visit second, then Send sea'''
Timothy Nelson,85.0,80.1,'''Audience long box, Rest form management each Yes doctor'''
Karen Cooper,20.0,81.1,'''To season subject once: Around, Floor best happen also'''
Mary Powell,93.0,27.1,'''However do, Role southern open easy whom Poor eight ten nearly player fire'''
Richard Carr,36.0,42.1,'''On necessary energy smile gun, Fear paper begin Wall catch'''
Joy Wilson,46.0,68.1,'''Member this marriage, Manager Power simple myself reveal thing'''
Billy Watson,86.0,55.1,'''(Feel eat service civil) , Reach exist specific and Pass'''
Joshua Johnston,70.0,3.1,'''(Doctor necessary walk) , Reflect close and Drive son meeting'''
Alicia Evans,10.0,7.1,'''(End bank) , Expert possible college and Discussion Mrs'''
Shawn Flores,85.0,65.1,'''Surface reality; Where soon magazine certain , General either indeed far finally'''
Kerry Johnson,3.0,38.1,'''Occur lawyer; Run , Police gas oil'''
Keith Murphy,68.0,80.1,'''(Defense how reason western) , This apply education figure and Test discuss begin'''
