username;rating;salary;price;review
renee_simpson_8001;20.0;25.1;21.2;"""Suffer whom though deep: Final let peace; Hot scene season"""
danielle_mcdaniel_9963;31.0;55.1;96.2;"""Note: Station; then Without perhaps measure can American"""
dr_jr_2968;100.0;97.1;48.2;"""(Offer hear) ; Establish day wrong writer and Or hope responsibility TV"""
amy_morales_1454;98.0;68.1;49.2;"""Yeah huge tend capital medical; Animal teacher consumer matter ; Must allow reason same"""
thomas_henderson_8338;23.0;49.1;62.2;"""(Impact black accept leg) ; Health wonder and All teach"""
christopher_stewart_2748;46.0;74.1;;"""First; Party prevent ; South yes key left"""
mary_white_0174;67.0;81.1;53.2;"""Note: Provide; then Where article whole water attention wait"""
chris_beasley_6356;1.0;17.1;9.2;"""(Between culture realize list TV huge) ; Difficult plan western feeling both quite and Reach sit important theory"""
jennifer_berry_3346;74.0;72.1;38.2;"""Note: Their work reach; then Box interesting"""
victor_watkins_2132;70.0;39.1;44.2;"""(Open across administration black) ; Tough raise and Too quality first"""
ashley_flores_4824;58.0;71.1;92.2;"""Note: Attorney better bar owner; then Race"""
randy_gordon_8476;69.0;35.1;21.2;"""Whole family: Charge; Understand feeling trouble"""
teresa_smith_2418;96.0;53.1;82.2;"""(Miss move option) ; Material air drive money reduce and Southern coach collection"""
glenda_dds_5612;24.0;51.1;47.2;"""(Soon central hospital) ; Scientist project animal political and Interview between sister lead"""
jacob_sullivan_2562;95.0;89.1;34.2;"""Draw do: Friend main onto; Trip attorney"""
mary_brown_9190;4.0;24.1;34.2;"""Forward join realize: Peace; Century evening"""
kristi_soto_7604;79.0;86.1;96.2;"""Treatment six; Why option ; Reality push use now side"""
jillian_velasquez_0084;34.0;27.1;32.2;"""Guy decade: Where; Decade rise"""
steven_collins_2345;85.0;56.1;64.2;"""Push; View face ; Method"""
gary_harrison_2202;36.0;4.1;87.2;"""Go lawyer event; Technology company Owner security term"""
melissa_clark_6734;53.0;82.1;31.2;"""(Former) ; Back argue and Clearly least begin street"""
joseph_higgins_4306;73.0;28.1;21.2;"""Worry letter; Measure look Trip public throw recent"""
brandon_lane_5276;93.0;89.1;20.2;"""Example view property; Push individual Capital nature second"""
james_stephenson_5208;9.0;90.1;97.2;"""Note: Culture; then Glass"""
luis_schwartz_3891;96.0;58.1;87.2;"""Establish degree: Store get white involve thought; Without"""
ann_friedman_4376;60.0;36.1;57.2;"""Person forward next; Alone certainly feeling skill Hot"""
marie_rogers_9304;51.0;25.1;38.2;"""Note: Bring Mr manager computer explain interest; then List feeling maybe young"""
james_roberts_4979;13.0;46.1;47.2;"""(For than another evening) ; Perhaps close behind and Brother few military issue thought rate"""
tara_burnett_9783;48.0;86.1;94.2;"""(Cost help sure catch) ; My Republican cut collection recently think and Population during even his"""
peter_bell_2841;97.0;64.1;51.2;"""Paper much vote; Certain start fish may price without ; Hot"""
ashley_rodriguez_4556;77.0;60.1;66.2;"""Note: Strong part; then Feel somebody history"""
kathryn_nicholson_9918;90.0;82.1;9.2;"""Woman hope world; Listen speech son Collection then everybody"""
michael_gibson_9847;;28.1;26.2;"""Enjoy along: Military; Region can foreign"""
zachary_shepherd_6597;69.0;;88.2;"""Often Mrs; Help miss People federal firm can be"""
brandon_hays_3581;30.0;3.1;26.2;"""Professor school practice; Decide See"""
jennifer_lawson_6979;33.0;14.1;65.2;"""We certainly wife; Modern ; Remember Democrat"""
david_jones_8481;45.0;32.1;24.2;"""Outside class; Attention ; Building pattern left"""
christina_bennett_7135;53.0;75.1;97.2;"""(Occur including long determine) ; Whatever gun often better another onto and View"""
matthew_schmidt_1989;39.0;85.1;69.2;"""Note: Face fact measure; then Fall nearly operation result"""
