# This is a comment line to skip
name;username;salary;total_count;score;note;review
Dean Perry;dean_perry_6162;31.0;70.1;63.2;"""(Omnis eum sit) ; Vero magnam and Dolores""";"""Temporibus dolorum in: Numquam laborum earum repellat; At"""
Mr Matthew King;mr_king_0862;12.0;28.1;62.2;"""(Voluptatem sit consequuntur) ; Deserunt doloribus sequi and Mollitia libero explicabo""";"""(Ex deleniti dolorum delectus) ; Dolores aspernatur praesentium veniam accusantium and Quas eum possimus alias aperiam"""
Sylvia Wright;sylvia_wright_1128;18.0;70.1;34.2;"""Amet rerum: Modi; Delectus iusto""";"""(Sapiente dolorem repellendus neque dolorum) ; Nihil explicabo totam and Recusandae exercitationem doloribus eum dolores saepe"""
Lindsey Stephens;lindsey_stephens_7510;3.0;1.1;28.2;"""Cupiditate esse; Deleniti Quibusdam voluptatum consectetur""";"""Quod totam aperiam: Maiores sequi inventore in; Odio autem"""
Miss Louise Stevenson;miss_stevenson_9004;56.0;66.1;47.2;"""Repellat; Non voluptas temporibus ipsa dolorem nemo ; Vel nemo""";"""Dicta magni: Corporis sequi cupiditate molestiae porro; Iusto numquam"""
Stacey Banks-Boyle;stacey_boyle_3835;71.0;68.1;29.2;"""Tempore odio: Dolore quae; Dolorum atque necessitatibus consequatur alias""";"""Velit aliquid: Molestiae; Natus incidunt culpa beatae repudiandae amet"""
Dennis Murray;dennis_murray_1482;43.0;76.1;43.2;"""Modi vitae animi: Adipisci; Amet mollitia iure maiores esse""";"""(Porro sequi vero) ; Quod quis odit velit and Sapiente quo quidem"""
Deborah Parsons;deborah_parsons_4764;89.0;53.1;50.2;"""(Veniam omnis fugit voluptatibus) ; A ea velit and Assumenda explicabo""";"""Ratione distinctio: Maiores placeat tempore laudantium ab voluptates; A at"""
Bruce Shah;bruce_shah_8035;79.0;83.1;49.2;"""(Consectetur cumque nostrum autem) ; Iusto dolorum quam and Eius enim voluptate""";"""Note: Laudantium magni; then Corrupti distinctio rerum"""
Laura Thornton-Webster;laura_webster_6524;13.0;38.1;5.2;"""Dolor harum iste: Ipsam necessitatibus; Voluptates distinctio velit""";"""Dignissimos dolore aperiam inventore; Error ullam deleniti voluptatem cumque ea Animi fugiat corporis numquam architecto dignissimos"""
Abigail Newman;abigail_newman_8614;63.0;65.1;74.2;"""Delectus totam odit qui; Quaerat alias doloribus quam Magni reiciendis possimus occaecati aliquam""";"""Consequuntur illo eius: Alias; Aperiam"""
Claire Brooks;claire_brooks_3994;55.0;65.1;42.2;"""Voluptate; Aut sapiente placeat ; Dolores asperiores corrupti""";"""Accusamus sapiente vel; Aperiam quas ; Atque in"""
Claire Collier;claire_collier_9357;71.0;5.1;9.2;"""Illum; Fuga Ipsa voluptates eum""";"""Ratione; Unde ; Voluptatum aspernatur illo"""
Dr Jasmine Ahmed;dr_ahmed_8593;85.0;8.1;31.2;"""Note: Minus; then Occaecati sequi""";"""Voluptate consequatur; Impedit aliquam Qui voluptas ut"""
