name	price	summary
Ms Barbara Price	38.0	"""(Tempore debitis sunt) 	 Atque nemo and Quidem magnam"""
John Brown-Graham	32.0	"""Impedit voluptatum; Deserunt at 	 Temporibus ex illum corrupti ex"""
Joseph Evans-Williams	74.0	"""Officiis totam quod; Recusandae aliquid quibusdam 	 Voluptate nobis minima"""
Dr Henry Stokes	75.0	"""Placeat nesciunt ab est sint id; Cumque blanditiis 	 In molestias"""
Frederick Dawson	9.0	"""Eum quisquam cupiditate soluta	 Veniam velit soluta Velit repellendus"""
Mandy Houghton	75.0	"""Note: Modi atque	 then At vitae ea"""
Joshua Donnelly	70.0	"""Note: Minus aliquam illo	 then Consectetur aut"""
Vincent Hurst-Robson	71.0	"""Neque optio	 Nihil cumque saepe in Porro"""
Dr Maureen Jones		"""Note: Iusto	 then Ut quis animi"""
Joel Goddard	60.0	"""Ipsam quos minima nostrum corrupti; Sequi iste nemo 	 Dolorum"""
Ms Hannah Graham	77.0	"""Accusamus similique in facere tenetur	 Blanditiis ullam sunt Asperiores ipsam modi"""
Annette Hart	96.0	"""Repellat incidunt magnam cumque eaque; Suscipit facilis maiores quod natus 	 Quidem magni"""
Owen Murphy-Willis	93.0	"""Veritatis minus; Vitae culpa 	 Asperiores est excepturi vitae"""
Mrs Natasha Benson	4.0	"""Illo perferendis	 Quibusdam Nostrum nisi hic molestiae"""
Sharon Morgan	82.0	"""Note: Fuga recusandae maxime	 then Inventore similique facere"""
Roger Saunders-Richards	77.0	"""(Ad sint blanditiis fuga) 	 Doloribus and Mollitia odio officia explicabo quod"""
Callum Marsden	36.0	"""Ipsa vero	 Recusandae ratione Vero sequi deleniti"""
Daniel Lucas	38.0	"""Sint: Velit totam	 Impedit consequuntur dolor"""
Dr Roy Scott	70.0	"""Aliquam incidunt: Similique fugit	 Dolor quis qui repellat veritatis"""
Jonathan Gray	39.0	"""Recusandae quam cumque pariatur maiores tempora; Voluptates maxime 	 Nihil eius nam rem"""
Dale Wilkins	59.0	"""Note: Delectus mollitia tempore	 then Praesentium illo soluta"""
Sean Allen	51.0	"""Eligendi; Nihil rem provident accusantium 	 Consectetur officia numquam"""
Mr Guy Johnson	75.0	"""Note: Odit	 then Molestias provident doloremque culpa"""
Brandon Williamson-Hope	32.0	"""Eius optio soluta; Nihil vitae ad 	 Consequatur maiores voluptatibus"""
Benjamin Yates	65.0	"""In nesciunt	 Id tempore Blanditiis quidem"""
Gordon Carter	97.0	"""Note: Soluta sint inventore unde veritatis	 then Beatae"""
Antony Dobson	75.0	"""Note: Accusamus incidunt libero soluta	 then Beatae quas"""
Justin Thomas	69.0	"""(Corporis distinctio minus) 	 Deserunt and Earum necessitatibus omnis"""
Damien Fox	91.0	"""Ducimus aliquid quod; Facilis 	 Facere error illo"""
Garry Smith	18.0	"""(Corrupti quibusdam possimus) 	 Reiciendis officia eos and Dolorum itaque vitae inventore"""
Mr Robin Heath	5.0	"""(Libero neque blanditiis) 	 Maxime and Dolorum"""
Aimee Wilkinson	9.0	"""Illo	 Praesentium voluptate ipsa officia Quae distinctio facilis"""
Amy Wallace	39.0	"""Quibusdam temporibus; Labore saepe 	 Necessitatibus velit natus totam nisi"""
Sean Quinn-Brown	82.0	"""Temporibus placeat	 Nobis aspernatur Consequuntur dignissimos aut voluptatibus"""
Harry Parker	68.0	"""(Ab incidunt magnam veritatis) 	 Inventore nesciunt debitis nulla ex and Velit quos"""
Anne Brown	66.0	"""Omnis minima illo cumque ipsa sed; Quidem ratione suscipit sunt eaque aliquid 	 Tempora dicta suscipit vel temporibus"""
Mary Harrison	75.0	"""Facilis fuga provident saepe	 Soluta iure similique vitae corrupti Dolorum"""
Samuel Bates	54.0	"""Note: Maxime hic	 then Sint est"""
A	63.0	"""At laudantium repudiandae	 Fugit dolorum rem Error harum eum facilis"""
Joseph Short	51.0	"""Dicta culpa: Sint nam voluptate	 Neque"""
Mr Robin Ellis	35.0	"""Voluptatem aliquid; Cumque explicabo distinctio dolores 	 Nam atque possimus"""
Denise Wright	52.0	"""Modi quia alias; Nostrum alias molestias similique cumque deserunt 	 Sequi nemo"""
Kenneth O'Brien	60.0	"""(Nostrum blanditiis similique voluptatem similique) 	 Repellendus and Dolor quidem"""
Ellie Fowler	7.0	"""Perspiciatis magni	 Tenetur omnis adipisci earum Exercitationem molestiae unde nobis"""
Dr Jenna Thomson	69.0	"""(Eveniet sit) 	 Possimus amet odit and Asperiores nostrum dolorem tempora"""
Mark Fletcher	96.0	"""Note: Odio nisi error	 then Est aliquam"""
Jason Curtis-Rees	9.0	"""Explicabo sed: Iure	 Atque eum maxime incidunt dolor"""
Ross Smith	75.0	"""Pariatur natus: At quasi odio blanditiis	 Distinctio molestias"""
