username	name	total_count	age	rating	message
johnny_cook_0407	Johnny Cook	84.0		96.2	'''Interesting raise live	 Woman coach Final'''
miranda_gonzalez_5799	Miranda Gonzalez	28.0	98.1	63.2	'''Life answer people	 Yet enter score Beyond growth'''
derrick_powell_6123	Derrick Powell	2.0	90.1	44.2	'''Quality range today ten; First gas weight successful 	 Town wife'''
jerry_reid_8263	Jerry Reid	69.0	64.1	46.2	'''(Somebody sort political force her concern) 	 Modern take body increase and Floor'''
erica_hughes_9961	Erica Hughes	32.0	94.1	44.2	'''College	 Subject environment within miss control Consumer argue wide city night'''
alyssa_brock_9397	Alyssa Brock	52.0	91.1	52.2	'''(Heart read) 	 Enjoy and Drop peace'''
douglas_ruiz_4117	Douglas Ruiz	94.0	43.1	94.2	'''(Hour scene eye indeed address) 	 Price move find and Peace maintain prepare religious'''
dennis_chung_4717	Dennis Chung	58.0	72.1	78.2	'''Simply visit	 Family surface really High issue decide'''
chad_nelson_2397	Chad Nelson	96.0	80.1	37.2	'''Herself feel strong item and question	 Goal ability writer Mention'''
keith_knox_3459	Keith Knox	95.0	97.1	6.2	'''Note: Create key	 then Good'''
kimberly_cook_7836	Kimberly Cook	64.0	65.1	62.2	'''(Little soldier) 	 General share and Life'''
scott_hunt_4489	Scott Hunt	11.0	75.1	43.2	'''Note: Value many	 then Respond matter'''
jose_sanchez_8202	Jose Sanchez	76.0	3.1	67.2	'''Again far card attorney: Explain election	 Draw loss listen general look big'''
alexander_dodson_0473	Alexander Dodson	88.0	30.1	99.2	'''Couple arm; City 	 Politics'''
lisa_hall_2698	Lisa Hall	64.0	14.1	60.2	'''Heavy look unit thing hear will; House particularly chance 	 Somebody late sound bar'''
mary_dvm_6634	Mary Moore DVM	17.0	98.1	12.2	'''Seat a show	 Note worry beat Bill early'''
chelsea_montgomery_6561	Chelsea Montgomery	29.0	90.1	64.2	'''Yourself idea; Tax entire 	 Son travel financial'''
chase_mills_3147	Chase Mills	100.0	96.1	23.2	'''Tough likely manager billion: Investment especially effort	 High institution trip attention'''
jose_graham_6085	Jose Graham	12.0	34.1	94.2	'''(Particular establish describe less discuss) 	 Animal development and They join good economy reduce'''
shirley_johnson_0586	Shirley Johnson	18.0	68.1	78.2	'''Note: Sense lawyer cup	 then Involve eight'''
ryan_christian_0185	Ryan Christian	51.0	11.1	44.2	'''Note: My give care	 then Among find'''
kathryn_rogers_1538	Kathryn Rogers	10.0	28.1	64.2	'''(My various) 	 Science and Wide wide'''
samuel_le_7914	Samuel Le	79.0	44.1	62.2	'''Whom around blood recently recognize project	 Dark why His agency manage some his manage'''
karla_hernandez_3770	Karla Hernandez	89.0	58.1	3.2	'''Assume tough too no because arrive	 Protect watch address kind term Finally law specific defense'''
christy_walker_2825	Christy Walker	62.0	20.1	66.2	'''Many sea she one bar yes: Other head picture forget	 Message'''
scott_romero_7810	Scott Romero	93.0	22.1	56.2	'''Foot network important I prevent: Grow	 Myself guy protect'''
justin_chandler_4107	Justin Chandler		92.1	13.2	'''Official and sea: Pressure nearly street any trial	 Authority song'''
daniel_vaughan_4423	Daniel Vaughan	84.0	46.1	65.2	'''Note: Accept floor protect really population any	 then Over true bed son'''
clarence_moore_4303	D	63.0	48.1	22.2	'''Other nature	 Thing first story loss Nation beautiful relate'''
tammy_adams_5569	Tammy Adams	55.0	96.1	17.2	'''Note: Research cup	 then Again occur hear response'''
jonathon_smith_8616	Jonathon Smith	57.0	90.1	8.2	'''(Plant fear very) 	 Along experience cell and Sing nearly capital course'''
melissa_mayer_1652	Melissa Mayer	18.0	13.1	50.2	'''(Film consider cell) 	 National break and Purpose traditional'''
kelly_ortiz_3180	Kelly Ortiz	75.0	39.1		'''Book decide future: Seek story off	 Item along'''
kevin_decker_8611	Kevin Decker	66.0	5.1	72.2	'''Partner effect part: Yes take sport nice drive	 Cut city second long size'''
jason_martinez_4784	Jason Martinez	69.0	21.1	95.2	'''Note: Military senior	 then Realize education however hard argue'''
