username	age	rating	salary	summary	review
laura_robinson_2093	22.0	65.1	66.2	"""Cumque; Corrupti quia cum quaerat reiciendis hic 	 Sit"""	"""Iste minima provident nobis voluptatibus	 Corporis optio dolores ab Fugiat sed id veniam"""
mr_yates_6896	27.0	64.1	1.2	"""Architecto nobis at deserunt repellendus	 Consequatur voluptate eligendi Laborum autem"""	"""Reprehenderit deleniti delectus dicta dolorem: Quia soluta praesentium	 Accusamus nulla deserunt"""
miss_benson_8085	99.0	5.1	100.2	"""Quos; Asperiores autem commodi 	 Totam"""	"""Similique iusto	 Alias omnis Eius amet"""
jake_macdonald_8007	59.0	65.1	93.2	"""Eum ea; Deserunt beatae sequi 	 Veniam quaerat"""	"""Occaecati blanditiis	 In doloremque occaecati Animi ut inventore dicta excepturi illum"""
irene_powell_6084	9.0	89.1	94.2	"""Aperiam eaque; Velit minus tempore consectetur 	 Hic"""	"""Note: Rerum facilis ut	 then Hic doloremque"""
simon_hayward_1565	68.0	100.1	81.2	"""Commodi in: Ex ratione	 Vitae fugit molestiae"""	"""Eligendi inventore eligendi; Adipisci eos assumenda laboriosam neque 	 Exercitationem in rerum"""
craig_stokes_7600	43.0	58.1	13.2	"""Repudiandae ipsum asperiores officia: Ab fuga voluptates	 Et"""	"""Note: Blanditiis deleniti harum	 then Cupiditate quasi repellat est minus"""
ms_stanley_5806	85.0	15.1	16.2	"""Note: Veritatis numquam	 then Labore ut nam maxime tempore ratione"""	"""Recusandae atque impedit dicta reiciendis: Qui	 Voluptatum nisi"""
pauline_townsend_9934	54.0	5.1		"""Ipsum fuga unde: Temporibus beatae explicabo unde	 Accusamus similique"""	"""Note: Perspiciatis fuga vel molestiae	 then Nostrum tenetur"""
jacob_payne_5320	45.0	29.1	62.2	"""Quas nulla similique; Minus sapiente aperiam modi illo 	 Accusantium ducimus neque dignissimos dignissimos"""	"""(Exercitationem temporibus) 	 Architecto qui and Tempore dolores ad"""
lee_campbell_3477	95.0	46.1	83.2	"""Quae animi quis; Quos iure distinctio 	 Tempora accusantium sint ducimus"""	"""Iste deserunt: Cum soluta incidunt	 Numquam"""
sian_norman_9422	77.0	92.1	47.2	"""(Minus dolore) 	 Eaque perferendis and Similique corrupti consequuntur"""	"""Note: Illo mollitia atque fugiat nobis nulla	 then Voluptatum magni minus"""
georgina_wright_9729	65.0	19.1	56.2	"""Optio laborum; Voluptas 	 Deserunt sit"""	"""Note: Adipisci aliquam iusto cupiditate	 then Ipsum vel"""
francesca_hudson_1865	92.0	57.1	69.2	"""Quo velit ipsum omnis nemo sed: Dolore iste ad aut	 Harum in dolore doloribus ex"""	"""(Aliquid praesentium) 	 Quam ea suscipit and At ullam cupiditate eius occaecati"""
mr_austin_9577	31.0	90.1	58.2	"""Fuga nihil at quam: Nesciunt dignissimos laboriosam quibusdam dolor	 Saepe amet laborum"""	"""Note: Laboriosam ad	 then Quas iure"""
ricky_wilson_6820	4.0	43.1	100.2	"""Commodi maxime accusantium; Ipsam eligendi 	 Eius laboriosam vitae"""	"""(Omnis consequatur) 	 Occaecati fugit and Quis sit reiciendis"""
dr_shaw_8993	38.0	20.1	41.2	"""(Dolorum dolorem aperiam qui dolor nobis) 	 Ab cum voluptas veritatis and Nulla commodi provident"""	"""Cum iure; Reiciendis error suscipit nobis autem 	 Dolorem tempore quis"""
diana_wright_6581	94.0	29.1	68.2	"""Odio; Odio praesentium 	 Provident doloremque suscipit porro"""	"""Quam saepe quo: Quaerat ipsam perspiciatis	 Veritatis asperiores"""
miss_griffin_7330	96.0	65.1	95.2	"""Illum dolores dolorem	 Incidunt reiciendis Error odio"""	"""Et deserunt: Quasi reprehenderit labore in	 Vitae quidem"""
elliot_booth_9718	25.0	89.1	66.2	"""Laboriosam et quisquam dicta; Nesciunt 	 Aliquid laborum adipisci a"""	"""Doloremque enim: Tenetur eum	 Veniam minima praesentium fuga esse"""
dr_reed_2063	35.0	85.1	88.2	"""(Nihil facere eveniet) 	 Temporibus illo and Distinctio tempora consequatur voluptates suscipit"""	"""Eum porro	 Molestiae esse numquam Sint ipsum libero illum"""
dr_davey_3770	57.0	64.1	4.2	"""(Et laborum illo veritatis ab) 	 Id a et voluptates and Perferendis"""	"""Veniam provident; Dolores et 	 Molestias inventore"""
