username,name,total_count,remark
kayla_johnson_1789,Kayla Johnson,8.0,'''Note: Although leg, then Doctor event particularly success rich'''
ernest_navarro_5806,Ernest Navarro,50.0,'''Account me practice probably fine; Blood fly , Actually work instead actually eye'''
ronald_thomas_0683,Ronald Thomas,65.0,'''Instead: For do city say, Increase or song situation Mrs'''
nicole_wilson_1714,Nicole Wilson,48.0,'''Nothing inside, Follow maybe Evening tonight baby represent drop'''
ryan_lewis_0432,Ryan Lewis,63.0,'''Yard far carry foreign organization practice; Concern out join , Process sort money ready'''
tyler_campbell_6434,Tyler Campbell,59.0,'''Central see fly interview task, Full house Hotel process'''
brandon_mitchell_9792,Brandon Mitchell,94.0,'''Note: Performance research, then Special individual'''
angela_velasquez_0778,Angela Velasquez,47.0,'''Happy west form involve, A capital sea fear often Check teach'''
joel_powell_9350,Joel Powell,3.0,'''Every question home worker, Dream water Culture lot travel food'''
sarah_hopkins_9736,Sarah Hopkins,20.0,'''Rule: Nation test, Occur career'''
kimberly_payne_8863,Kimberly Payne,52.0,'''Establish they street action part, Always cup professional Term road nor light few'''
andrew_eaton_9474,Andrew Eaton,57.0,'''Note: Power, then Professional place trip dog'''
nicholas_frazier_1751,Nicholas Frazier,73.0,'''(Old strong and he) , Hear range doctor and Small under loss million'''
marissa_bender_9649,e,,'''Skill list lawyer; Group set , Final'''
jose_cruz_1356,Jose Cruz,67.0,'''(Occur upon) , Not and Section detail scientist'''
brett_jr_0599,Brett Pope Jr.,70.0,'''Simply similar after station summer: Wear plant might, Card while'''
jennifer_lewis_3114,Jennifer Lewis,32.0,'''(Different worker training learn) , Role ground move and Without such similar'''
mr_md_9189,Mr. Aaron Cohen MD,23.0,'''Hair guess sure let notice: Save material whole trade, Be'''
james_moreno_5559,James Moreno,10.0,'''Collection level first; Concern , Protect thing fish result determine'''
gregory_arnold_1506,Gregory Arnold,18.0,'''Note: Here control finally side, then Large skin financial record'''
