name,score,age,price,review
Dr Dominic Ward,86.0,76.1,93.2,'''(Ducimus ea repellendus occaecati reiciendis) , Soluta doloremque and Fuga aut qui eligendi omnis facilis'''
Judith Barlow,18.0,13.1,8.2,'''Note: Quae aperiam minima, then Blanditiis'''
Dr Samuel Bennett,49.0,25.1,69.2,'''Note: Amet reprehenderit sit accusamus neque, then Maiores in eius hic nam repudiandae'''
Cameron Chambers,58.0,87.1,32.2,'''Note: Ducimus blanditiis, then Ut nisi eaque'''
Jamie Campbell,45.0,25.1,44.2,'''Maxime voluptatum: Commodi officia a, Cupiditate sequi at excepturi illum placeat'''
Ms Harriet Pickering,59.0,78.1,36.2,'''Note: Voluptatem doloribus fugiat, then Debitis magnam delectus aut magni'''
Paula Goodwin,15.0,36.1,16.2,'''Note: Commodi laudantium quae, then Similique facere'''
Mrs Rebecca Watkins,82.0,38.1,27.2,'''(Perferendis) , Iure laboriosam corrupti and Consectetur vel quod harum'''
Margaret Rahman,88.0,37.1,40.2,'''Sequi earum autem ducimus reprehenderit: Animi consequuntur, Fuga sapiente'''
Jacob Williams-Lee,7.0,71.1,37.2,'''Note: Quibusdam tempora, then At praesentium'''
Kerry Smith,53.0,11.1,86.2,'''Note: Consectetur ullam ratione, then Nemo maxime velit'''
Russell Saunders,88.0,51.1,57.2,'''Sequi dolorum iste, Incidunt modi Aperiam nobis nam tempore repellat aliquid'''
Miss Francesca Williams,30.0,31.1,10.2,'''Maiores, Nobis cupiditate eligendi ducimus aut Iste ullam beatae laborum ut'''
Joel Lewis,99.0,88.1,40.2,'''Inventore dolore animi nihil: Ab id cum, Saepe'''
Roy Davies,34.0,94.1,23.2,'''Note: Sapiente aliquid, then Delectus nam possimus omnis praesentium'''
Gemma Griffiths-Briggs,23.0,44.1,64.2,'''Voluptate error distinctio sed, Incidunt Perferendis excepturi fugiat'''
Sam Morgan,81.0,12.1,51.2,'''(Iste) , Sed earum incidunt nulla and Commodi tempore voluptas a'''
Ms Danielle Evans,65.0,39.1,7.2,'''Vitae provident: Aut sed nulla blanditiis quas, Pariatur fuga'''
Howard Davidson,7.0,28.1,30.2,'''Note: Sint tempore rem, then Nemo accusamus sit illum saepe'''
Nicole Slater,60.0,50.1,88.2,'''Impedit expedita, Corrupti error Ut aperiam harum doloremque'''
Tina Garner,25.0,90.1,9.2,'''(Quod asperiores) , Eum doloremque and Eum beatae cumque'''
Samuel Stewart-Rowley,46.0,43.1,10.2,'''(Quibusdam magni accusamus possimus voluptate) , Explicabo corporis and Sequi pariatur'''
Mrs Lesley Watson,72.0,58.1,86.2,'''Dignissimos repellat earum excepturi quo recusandae, Dolorum provident Eveniet dolores consequuntur'''
Dawn Nicholls,35.0,,46.2,'''Harum consequuntur officiis magnam; Ad consectetur provident debitis reprehenderit , Molestias reiciendis voluptatum fuga nisi'''
Judith Gallagher,17.0,9.1,14.2,'''Note: Nulla repellat dicta maiores, then Ducimus'''
Molly Harvey,40.0,31.1,50.2,'''(Vero alias) , Occaecati libero iure maxime and Assumenda sapiente saepe officia quis'''
Shirley Nolan,9.0,99.1,61.2,'''(Quasi modi assumenda excepturi) , Debitis illo and Cum dolorem voluptate numquam'''
A,83.0,56.1,12.2,'''Note: Atque, then Ipsum eos asperiores molestias'''
Naomi Ward,54.0,89.1,96.2,'''Repellendus sit aspernatur recusandae enim quod, Quisquam facere Ea quisquam nostrum eos'''
Ms Lorraine Bull,10.0,76.1,14.2,'''Iure, Autem Veritatis in molestias perspiciatis'''
'Stacey O''Sullivan',6.0,93.1,15.2,'''(Sequi labore deleniti) , Veritatis veritatis and Totam unde'''
Ms Alison Hill,56.0,58.1,56.2,'''Note: Aperiam modi distinctio, then Omnis'''
Dr Jill Hicks,19.0,47.1,,'''Quisquam: Possimus nobis, Neque tenetur vel similique consequatur ipsum'''
Alexandra Evans,,97.1,81.2,'''Saepe tempora officiis numquam; Nesciunt , Iste culpa eum'''
