username;price;salary;comment
jennifer_moran_5268;83.0;61.1;'''(Character project its without including) ; Career inside whole end during and Big process'''
tiffany_valencia_6731;53.0;14.1;'''Note: Dinner play enter clearly task; then Pm manage field'''
john_hawkins_6505;20.0;61.1;'''(Real school close) ; Development outside and Example turn now upon'''
sarah_jackson_3672;;85.1;'''Note: Field television; then Require behavior set every air'''
robert_thomas_6417;29.0;83.1;'''Air recent candidate: Identify wide my particular; Hair deep floor area bed I'''
adam_kelley_5929;84.0;27.1;'''Surface walk: Property admit social administration; Phone get world fast record'''
samantha_patterson_4130;60.0;34.1;'''Evening mother thing: Many; Same rule'''
raymond_smith_3600;17.0;85.1;'''(Road word yet) ; Its purpose and Kind those'''
melissa_villegas_9566;87.0;27.1;'''Site light; Bed trial financial mouth Congress third'''
richard_hobbs_8928;55.0;16.1;'''Note: Mouth college; then Difficult shake'''
kevin_marshall_7970;26.0;13.1;'''(Single) ; Cold test list protect and Kind nice'''
robert_smith_5544;89.0;28.1;'''(Speech especially) ; However actually and Across task drop present'''
michele_peterson_6904;20.0;92.1;'''Hotel against anyone deal; History police Republican including care put ; Responsibility interview'''
michael_chavez_3773;4.0;71.1;'''Note: Upon tree; then Exist garden'''
spencer_dougherty_0388;10.0;80.1;'''Tax because view game whose; Pressure project these size keep fight ; Write me'''
ronald_robinson_5395;42.0;12.1;'''Note Mr: Around into ground follow concern; Usually notice article career'''
daniel_hays_4859;4.0;;'''(Institution perform think expert) ; Human single power instead with ago and Any find last challenge foreign common'''
matthew_steele_2705;5.0;14.1;'''Baby today country baby type; Recently ; Administration their'''
juan_hartman_1797;48.0;60.1;'''Note: Something start not property guy find; then Involve adult'''
samuel_watkins_1276;59.0;1.1;'''Conference soon: Paper; Rest social'''
eric_md_2848;81.0;30.1;'''Note: Risk; then Method fight message top'''
douglas_moore_2379;84.0;70.1;'''Discussion through until; Anything require ; Operation north'''
john_mills_0690;9.0;16.1;'''Town: Me sign next; Offer win next decide evening rise'''
douglas_hart_4405;23.0;11.1;'''Note: Shoulder late add; then Rock'''
amber_savage_3246;32.0;21.1;'''Apply enter deal; Building old Cultural it commercial'''
