# This is a comment line to skip
name;salary;price;review;comment
Pauline Page-Shaw;65.0;28.1;"""Note: Dolorum cumque veritatis; then Facere sapiente iure""";"""Accusantium autem; Consequuntur ipsa officiis unde saepe tempore ; Animi adipisci laudantium"""
Dr Jason Sharp;62.0;54.1;"""Error qui: Quibusdam ipsa occaecati deleniti nobis; Tenetur voluptate delectus fugiat""";"""Note: Veritatis ex molestias; then Eum inventore architecto fugit"""
Mrs Ruth Gray;53.0;58.1;"""Nisi adipisci dolor; Unde ab repudiandae Et aut aperiam""";"""Note: Ipsam esse facere; then Aut autem"""
Bradley Patterson;56.0;14.1;"""Ut libero: Odit nostrum dolor officiis; Nesciunt doloremque""";"""Amet facere labore; Libero numquam Repellat fuga similique dicta"""
Kimberley Moore;57.0;60.1;"""Note: Dolores repellat illum cumque; then Possimus nemo""";"""Voluptas: Ipsa et; Ducimus"""
Amanda Cook;15.0;57.1;"""Qui natus; Nemo sed Porro corrupti eius""";"""Note: Impedit eligendi perspiciatis accusamus soluta; then Optio placeat quae voluptates"""
Jack Humphreys;55.0;69.1;"""Consectetur iusto magnam saepe non; Illo ; Quisquam officiis cupiditate fugit""";"""Est labore ullam temporibus; Quaerat at facere Laborum quam sit"""
Dr Nicholas Ford;87.0;13.1;"""Accusantium optio provident voluptates: Nobis veniam; Nesciunt dolorum ratione modi distinctio""";"""Note: Eum reiciendis; then Sunt at"""
Emily Chan-Riley;29.0;98.1;"""Similique; Ullam ; At a voluptatibus reprehenderit dolor dicta""";"""Reiciendis eveniet; Inventore veniam atque nemo veniam Sint at ea"""
Howard Mason;77.0;37.1;"""Eaque; Unde error dolorem provident ab laudantium Porro distinctio""";"""Tempore aspernatur blanditiis iste similique; Fugiat et illo Commodi sint quia"""
Deborah Ellis;72.0;4.1;"""(Odit consectetur quae) ; Ratione labore and Id totam nihil""";"""(Quas odit illum repellendus repellat) ; Quam nam incidunt eaque and Repellat cumque"""
Alexander Wilkinson;60.0;43.1;"""Odit natus pariatur ullam; Itaque aliquam autem Fugit aperiam illum sequi""";"""Doloremque repudiandae placeat totam; Voluptates Animi doloremque sed consectetur consequatur"""
Dr Barbara Taylor;46.0;96.1;"""Note: Nesciunt hic; then Nemo""";"""Optio iste soluta: Aperiam nemo; Vitae"""
Robin French;65.0;3.1;"""(Consequuntur consequuntur quam similique) ; At sint architecto pariatur and Architecto eos unde voluptatem""";"""Voluptas placeat corporis eos consequuntur: Debitis cupiditate explicabo; Tempore odit"""
Sian Bond;25.0;14.1;"""Note: Similique et; then Esse vel perspiciatis reprehenderit""";"""Eius aliquid quasi velit occaecati; Minus mollitia nostrum ; Delectus soluta ab"""
Duncan Mann;18.0;60.1;"""Illum nemo; Autem totam saepe error Nesciunt repellat vel""";"""(Deserunt) ; Quis and Quam fugiat sed"""
Adrian Palmer;25.0;66.1;"""(Eaque cumque quas odio architecto similique) ; Corporis ab and Tenetur corporis""";"""Note: Ducimus ipsam; then Similique id eaque"""
Dr Adam Cooper;1.0;59.1;"""Numquam porro quidem repellat: Nisi; Quam sed fugit""";"""Tenetur: Magnam; Nemo labore iusto"""
Susan Schofield;62.0;35.1;"""Animi alias quia sequi ea: Quibusdam fuga; Facere ut dignissimos praesentium""";"""Ratione eligendi laborum; Nihil vitae Excepturi ad"""
Dr Reece Marsh;48.0;55.1;"""Ipsa facilis itaque maiores voluptatem; Velit quis quibusdam Asperiores impedit beatae laborum""";"""Rem nam; Iste aperiam vitae similique Nulla"""
Cheryl Rahman-Slater;44.0;85.1;"""Aliquam iste sed: Porro; Exercitationem ducimus vero""";"""Note: Temporibus recusandae qui; then Consequuntur"""
Ian Pearce;79.0;10.1;"""(Excepturi nobis) ; Quis eaque iusto beatae saepe quia and Ipsa delectus""";"""Note: Nemo dolorum dolores; then Voluptatibus architecto in"""
Connor Phillips-Bevan;87.0;24.1;"""(Deserunt) ; Dolores and Aut vero voluptas necessitatibus repudiandae""";"""Note: Fugit provident; then Nihil labore"""
Miss Alexandra Hunter;83.0;;"""Officiis ducimus expedita a commodi; Placeat velit non Perspiciatis natus""";"""Placeat quidem; Sit ; Officia ab"""
e;59.0;41.1;"""Debitis a error distinctio: Enim vero nisi voluptatem temporibus; Non excepturi explicabo""";"""(Tenetur itaque minus sed aut) ; Doloribus reiciendis veritatis nostrum and Neque cum architecto dolorem"""
Nigel Edwards;90.0;81.1;"""Possimus eos impedit; Perspiciatis cumque Eos laborum facere""";"""Note: Quod explicabo; then In"""
Richard Price;32.0;33.1;"""(Possimus tenetur molestias exercitationem) ; Culpa amet and Saepe maiores""";"""Officia vitae consequatur natus odit distinctio; Ut tempora consequuntur ducimus ; Perferendis dolorum reiciendis dolorum debitis"""
Jake Cook;;66.1;"""Voluptatem qui dolorem neque reprehenderit nulla; Cupiditate autem esse ; Blanditiis sequi eos ab""";"""Perspiciatis; Neque esse facilis officiis Similique dignissimos culpa enim id"""
Leslie Begum;93.0;81.1;"""Note: Adipisci quod; then Accusantium sed repellat nulla""";"""Sit inventore: Esse vero; Nihil doloremque dolorem aperiam deserunt"""
Nicola Moore;54.0;40.1;"""(Est) ; Quod facilis and Nesciunt eos""";"""Labore harum; Earum eligendi earum ; Modi possimus iusto"""
Joe Collins;98.0;31.1;"""Note: Laboriosam odit; then Voluptatum aut ducimus rem optio maxime""";"""(Excepturi inventore rem nisi) ; Laborum quo laudantium non cupiditate and Maiores quo voluptas quae"""
