username;name;price;review;remark
paul_alvarez_4313;Paul Alvarez;67.0;"""Note: Region song increase; then Anything mother glass summer""";"""(Almost school with) ; Involve lead and Bill music deal break building"""
rhonda_schultz_0404;Rhonda Schultz;19.0;"""(Toward generation understand across drug) ; Those floor and Perform ask late door long Congress""";"""Human message; Blue own against Congress ; Bed"""
steven_gutierrez_1570;Steven Gutierrez;14.0;"""Note: Under accept economic; then Sometimes""";"""Note: Present step; then Determine paper"""
angela_holland_1990;Angela Holland;95.0;"""Have position teach impact second size dark; Rate really across clearly ; Sea north up gas dinner hour""";"""(Charge young make surface) ; Maintain ground send computer and Project"""
christopher_estrada_7907;Christopher Estrada;13.0;"""Customer energy: Indeed situation; Use generation production popular""";"""Move analysis white suddenly; Source go Spring place"""
barry_jones_4177;Barry Jones;77.0;"""(Price) ; Summer rise and World might cup subject""";"""There history: Kitchen remember anything; Mention measure city"""
scott_taylor_4876;Scott Taylor;5.0;"""Year; Development Office red""";"""Home every old: After field start past; Child"""
michelle_carr_0340;Michelle Carr;59.0;"""(Happen tough walk) ; Who agency southern and Real member company or""";"""Note: Sit agency other last; then Door test bill story then"""
stacey_allen_2535;Stacey Allen;;"""(Alone all stock) ; Create some sit every bad interview and Oil up each""";"""Join surface; About ; Drug budget network"""
jose_martin_1452;Jose Martin;92.0;"""Region commercial: Lawyer question; Let law hotel""";"""(Present article employee nearly recently sort) ; Million information back when and First probably"""
troy_white_8214;Troy White;6.0;"""Dark there approach resource; Off boy bag break discuss ; Writer like""";"""Goal; Future new ; Resource"""
jennifer_rocha_0838;Jennifer Rocha;87.0;"""(Add guess design) ; Language task civil and Individual kid anything""";"""Note: Somebody; then Interview cover budget us reason"""
lisa_simmons_9734;Lisa Simmons;50.0;"""Right coach: Age establish guess; Late green choose room""";"""Indeed technology: Top during another ok; Perhaps feel type"""
wendy_chaney_4066;Wendy Chaney;63.0;"""Your Mrs loss music: Who; Listen mind sport""";"""Tonight authority democratic major eat; Role ; Admit shoulder personal case season"""
jamie_wells_0264;Jamie Wells;80.0;"""(Want hundred beat) ; Attorney tend push middle drug and Matter""";"""Recent face tonight; Create arrive experience civil Discussion set environmental"""
tanya_levine_2625;Tanya Levine;31.0;"""Certainly wind; Certain argue establish able List author evidence economy drug machine""";"""Value no loss true; Government type Action of"""
taylor_mason_0876;Taylor Mason;34.0;"""(Effort behavior just then) ; Most summer democratic and I probably adult""";"""(Garden institution relate radio) ; Her lay candidate couple and Difference"""
joseph_turner_7534;Joseph Turner;77.0;"""(Learn fund generation television) ; Need simple city and Recent better class enjoy place""";"""Note: Area cut member sort; then Two debate land according war"""
joseph_foley_7492;Joseph Foley;85.0;"""Development cause; So wide computer conference all Option eight change alone cause become""";"""Note: Religious discuss international fall; then Ok"""
david_anderson_1416;David Anderson;100.0;"""What drug; Agreement toward along rise ; With may meeting beat course""";"""Newspaper very; Certainly structure ; Little fill hit student month"""
jennifer_martinez_4594;Jennifer Martinez;74.0;"""Happy; Today point Dark skin friend western boy grow""";"""(Determine use heart contain) ; Activity speech themselves for and Movie no beat military"""
