name;price;score;salary;message;comment
Diana Roberts;;95.1;50.2;"""(Recusandae saepe libero) ; Accusamus fuga perferendis and Consequuntur suscipit rerum""";"""(Soluta ea) ; Praesentium and Ipsum"""
Edward Parker-Cole;79.0;3.1;94.2;"""Ipsa ad consectetur: Soluta consequatur; Qui adipisci aperiam nihil""";"""Note: Veniam eligendi nisi molestiae; then Mollitia dignissimos repellendus aliquam nesciunt eaque"""
Dr Valerie Smart;28.0;82.1;41.2;"""Nobis possimus necessitatibus eaque; Ducimus ; Necessitatibus iusto doloremque""";"""Note: Natus; then Odit mollitia"""
Natasha Robertson;49.0;53.1;7.2;"""Ut consectetur: Ratione; Fugiat nisi pariatur""";"""Laudantium aperiam voluptatem voluptatibus ipsam; Occaecati ; Ipsam laudantium"""
Mr Lawrence McLean;86.0;80.1;73.2;"""Consequatur culpa: Architecto cum; Quas architecto""";"""Aperiam: In; Iste reiciendis"""
Sheila Butler;9.0;79.1;40.2;"""(Eius ipsum officia) ; Recusandae ab nisi and Placeat asperiores""";"""Vitae; Velit doloribus esse Quaerat eveniet"""
Suzanne Bailey;96.0;88.1;100.2;"""Est nobis saepe: Perferendis doloremque iste voluptas; Odit""";"""(Expedita) ; Placeat and Expedita"""
Kevin Wright;16.0;75.1;33.2;"""Asperiores officiis: Quas neque culpa voluptatem; Quis""";"""Ducimus repellendus; Autem hic similique ex alias Provident eaque ad ad"""
Eleanor Howells-Khan;68.0;2.1;21.2;"""Note: Voluptatibus necessitatibus; then Dolorum molestias""";"""Quo dignissimos beatae: Aperiam facere aut soluta; Sed"""
Dylan Davies;25.0;21.1;48.2;"""Aspernatur eos; Veritatis esse Maxime""";"""Distinctio omnis: Optio repudiandae sunt ab; Quod pariatur"""
Diana Marshall;62.0;75.1;68.2;"""(Fuga dolor qui) ; Vero corrupti doloremque eaque and Cupiditate commodi minus in soluta""";"""(Ipsum consectetur commodi natus) ; Numquam quas autem officia and Magnam"""
Ashleigh Mills;11.0;70.1;11.2;"""Provident alias temporibus: Minus impedit cumque; Veniam iure qui""";"""At facere totam: Labore eos explicabo; Ad similique et fugit sed"""
George Knight;43.0;80.1;16.2;"""Sunt iste eius quo vero; Eum fugit corrupti ; Rerum ipsam""";"""(Sint asperiores unde facilis eos sunt) ; Dolor doloremque delectus dicta aliquid ea and Saepe id officiis quasi"""
Kayleigh Robinson;11.0;76.1;78.2;"""Deleniti ab dolorum aliquid alias incidunt; Illum ; Architecto sequi""";"""(Dolorem rem dolorum optio) ; Occaecati assumenda and Dolorum voluptatem quia"""
Miss Brenda White;8.0;85.1;6.2;"""Recusandae delectus doloribus; Harum provident placeat Quod in perspiciatis magni""";"""Note: Dicta quas; then Nihil"""
Declan Banks;37.0;4.1;18.2;"""Note: Ipsam possimus laudantium; then Suscipit praesentium accusantium possimus deserunt quia""";"""Nulla natus omnis; Occaecati modi Labore rerum enim"""
Dennis Cooke;43.0;5.1;65.2;"""Reprehenderit inventore eaque expedita rerum; Consequuntur laboriosam Necessitatibus nemo a nulla""";"""Sint molestiae enim unde fugiat; Occaecati ipsam accusamus ; Debitis itaque ipsum rem ratione error"""
Oliver Vaughan;4.0;74.1;;"""Note: Molestiae eos; then Tempore doloribus rerum officia""";"""Note: Facilis molestiae voluptatem vitae; then Qui dolor placeat at"""
Dr Ross Haynes;2.0;15.1;57.2;"""Asperiores voluptatem; Delectus repellat ullam debitis ; Corporis sapiente ipsa ex""";"""Note: Dignissimos odio libero; then Repellat culpa excepturi"""
Sean Rogers;35.0;13.1;28.2;"""Voluptatum nobis ea: Error laborum; Non perferendis nobis nam mollitia""";"""(Deserunt fugit explicabo eaque) ; Incidunt at tenetur cumque aut enim and Eligendi aliquid exercitationem repudiandae odio voluptatem"""
Kieran Young;100.0;;99.2;"""(Corrupti) ; Sit doloribus praesentium itaque suscipit and Quaerat necessitatibus corrupti""";"""Et neque; Deleniti maxime ; Nulla expedita dolore"""
