# This is a comment line to skip
name;username;rating;review;description
Donald Hart;donald_hart_6239;53.0;"""Success data; Detail crime ; Factor describe""";"""Note: Mother certainly PM; then Reality wide ground participant"""
Kendra Clark MD;kendra_md_1742;96.0;"""Note: Believe city conference attention; then Probably""";"""Note: Her then available; then Opportunity behavior"""
Joseph Avila;joseph_avila_4267;8.0;"""President; Result Raise""";"""Note: Along; then Music political TV hot assume true"""
Katrina Dean;katrina_dean_0109;33.0;"""(Soldier prevent mother deep sport) ; Likely mean treatment and Rather say source""";"""To; Chance maybe assume Sister"""
Cindy Hart;cindy_hart_7027;42.0;"""Other source share; Life ; Perhaps before""";"""Factor return final; Church than Avoid challenge me system sort"""
Jerry Mullins;jerry_mullins_1419;;"""Lay work always; Field allow save ; Place alone issue""";"""Note: Dinner good hard; then Line win"""
Megan Moore;megan_moore_6728;48.0;"""Among; Knowledge start group ; Modern""";"""Kid benefit; Add range appear Sound impact"""
Brenda Mason;brenda_mason_3506;92.0;"""(Sometimes source sort) ; Strong movement and However too""";"""Top; Seven always herself She"""
Tony Harris;tony_harris_6960;21.0;"""Rather focus; Hope summer born Weight people up network attorney""";"""Beyond of role affect: Feeling keep most; Will"""
 ;dorothy_bates_5529;75.0;"""Life it; How Forget""";"""Note: Owner star; then Popular"""
Jeffrey Davis;jeffrey_davis_2161;44.0;"""Discussion high; Later article ; Party tell radio figure personal hair""";"""Note: Law arm economic; then Involve natural both"""
Meredith Greer;meredith_greer_2817;8.0;"""Note: Without official shoulder; then Kid will yard""";"""Keep; Admit feel ; Bag"""
Lawrence Martin;lawrence_martin_2655;37.0;"""Especially sense four: At practice whole painting start term; Between once school""";"""Note: Too crime without; then Poor right"""
Michael Ramsey;michael_ramsey_2868;75.0;"""Decade; Baby not nearly Down""";"""Prepare position; Another doctor ; Brother could goal former"""
Charles Rose;charles_rose_8246;2.0;"""Impact; Participant quite small Whether major country""";"""(Win military degree difficult) ; Business can and Us his"""
Jennifer Howard MD;jennifer_md_6464;85.0;"""Reveal happen; Reality baby others ; Base window""";"""(Fear seek tax ground whether home) ; About mention husband and War cultural"""
Nicholas Thomas;nicholas_thomas_0169;47.0;"""Note: School tax dog; then Same stuff story set""";"""Would home professional; Because we authority mind rest ; Area manager some see role"""
Samantha Morrison;samantha_morrison_9537;22.0;"""Single trial book less film ready: Control middle even; Believe red""";"""Away perhaps find hit prove; Opportunity road Figure two appear well million"""
Jose Brown;jose_brown_3156;96.0;"""Add structure; Indeed future Mrs more ; Including billion great year""";"""Note: Air natural; then Serious season"""
Robert Elliott;robert_elliott_5584;33.0;"""Note: Then fund air top onto; then More data lose significant""";"""See man; Around Specific win very allow"""
Matthew Silva;matthew_silva_2022;16.0;"""(Really candidate how cut) ; Want imagine and Society decision""";"""(Owner senior seven) ; Expert new and Memory second federal page possible whose"""
Kristen Camacho;kristen_camacho_3870;94.0;"""Note: Both; then Parent memory""";"""Focus; Hard expect government outside ; Night half"""
Erik Smith;erik_smith_1152;86.0;"""Religious hand day skill example: No property; Learn wear east""";"""Raise along forget during: Choose; May government wrong wonder"""
Mark Sullivan;mark_sullivan_6666;77.0;"""Next street; A service Top daughter""";"""Position catch exist create; Talk behavior serious recent good magazine ; Beyond successful citizen"""
Lisa Obrien MD;lisa_md_9796;48.0;"""(Light its notice) ; Food film and Also cover around series major""";"""Grow bar society store; Maintain reveal Behavior toward"""
