name;username;total_count;review
Michael Wiggins;michael_wiggins_4585;89.0;"""Here then leave ahead; Effect even keep Teacher traditional growth despite church"""
Bradley Hall;bradley_hall_9675;49.0;"""Whom; Security Maintain art class"""
Jesus Coffey;jesus_coffey_1092;44.0;"""Note: Avoid field significant left magazine; then Financial middle rock her"""
Dennis Williams;dennis_williams_9898;6.0;"""Evidence card successful; Trade travel ; Five sometimes together option cultural"""
Seth Johnson;seth_johnson_1755;;"""Stand director music ask: For production ask; South still"""
Shawn Walker;shawn_walker_7040;95.0;"""(Figure along) ; Seek security and Them care ten"""
Donald Harrison;donald_harrison_3115;27.0;"""Trade artist student; Town western Practice"""
Elizabeth Schneider MD;elizabeth_md_2871;89.0;"""Note: Teacher leader even reality; then Live"""
James Miller;james_miller_5606;9.0;"""Statement along pull; Career many factor Production with"""
Catherine Smith;catherine_smith_7039;18.0;"""Important better; Protect ; Foreign offer cover become return"""
Cheryl White;cheryl_white_4607;18.0;"""Especially reveal area wonder magazine about; Respond inside evening former your only ; Race baby"""
 ;don_jefferson_4254;95.0;"""(Present) ; Present suffer and Free take direction"""
Amber Spencer;amber_spencer_5312;16.0;"""Note: Yeah sister; then I wind"""
Thomas Ashley;thomas_ashley_7013;97.0;"""(Service position artist somebody) ; Action and Successful north hundred arrive"""
Kenneth Beard;kenneth_beard_6529;66.0;"""Western Democrat than or population; Thought Eight identify scene model"""
Jeanette Potts;jeanette_potts_0382;97.0;"""(Decade drug bill us others) ; Ability west and Staff"""
Miguel Santiago;miguel_santiago_7139;1.0;"""Whether summer give site daughter: Man structure audience compare crime; Camera fund he"""
Gary Phelps;gary_phelps_5426;21.0;"""Level require; Federal ; The civil hospital"""
William Thompson;william_thompson_3314;62.0;"""(Establish though) ; Rule sister single and Mother build for"""
Jason Lynch;jason_lynch_8700;95.0;"""(Increase station) ; Personal fear and Race"""
Sarah Lucero;sarah_lucero_3355;11.0;"""(Large our) ; Push different worker kid and Network mind"""
Austin Mahoney;austin_mahoney_8698;90.0;"""Anyone good you reduce; Would TV movement ; Compare these"""
Daniel Parsons;daniel_parsons_3835;85.0;"""(We base) ; Pay and Describe"""
