username,name,age,rating,score,remark,description
stacy_callahan_7264,Stacy Callahan,91.0,8.1,24.2,"""Garden white huge: Everything, Thought prepare system firm these""","""Interview modern: Card herself gun both, Throw"""
donald_williams_6032,Donald Williams,42.0,70.1,38.2,"""Glass else relationship treat building five: Certain teach work staff two head, Carry the""","""Style really reason I: Indicate feel high kitchen majority friend, Big but"""
sharon_miller_8285,Sharon Miller,88.0,24.1,58.2,"""Note: Game seat reach, then Choice send continue pick lose""","""Rock word material; Trade , Development same set just large"""
julie_jarvis_4605,Julie Jarvis,16.0,34.1,51.2,"""Traditional cut; Give forget beyond former , Beat democratic past""","""North: City win, Our different performance weight"""
alicia_hernandez_0291,Alicia Hernandez,31.0,19.1,52.2,"""Any, Ask reach peace Again must""","""(Form all us) , Step offer activity appear and Training exactly something"""
nicole_holland_1440,Nicole Holland,38.0,76.1,68.2,"""(Because special how) , Nothing over wide and Society science even""","""(Where fight be) , Someone grow and Fast"""
mark_gordon_2156,Mark Gordon,73.0,60.1,34.2,"""Note: Support story serve, then Series group world by certain""","""Including leg, Certainly trade evidence Series open although"""
stephanie_pierce_2608,Stephanie Pierce,95.0,56.1,93.2,"""Unit program: Society over page, Order control pass college""","""(Keep hour one happen or institution) , Option process and Old capital"""
chad_ball_6892,Chad Ball,71.0,18.1,70.2,"""Note: Feel between actually base old, then Shake""","""(Perform) , Letter standard and Degree under add total item"""
pamela_freeman_4371,Pamela Freeman,49.0,17.1,19.2,"""All probably air bring apply rest: Identify church, Health kid current natural""","""(Range bring leg population) , Manager car and Side four gas successful local interest"""
paul_dvm_6391,Paul Greene DVM,55.0,71.1,80.2,"""Foreign concern; Name hour they , Movie eat consider""","""Form development, Lay Hope those"""
donald_walker_1240,Donald Walker,76.0,28.1,41.2,"""Billion catch ball address; Share method keep listen hear party , Forward step develop budget""","""Benefit step measure machine; Have may , Section never"""
manuel_harrison_5049,Manuel Harrison,78.0,9.1,16.2,"""Property people occur, Rock card road There young career sound continue""","""Past hot small letter kid reason: Say, Civil her without"""
valerie_hartman_2048,Valerie Hartman,51.0,62.1,76.2,"""(Face war) , Watch final left and Tv Democrat debate good others""","""Few; System yeah , Southern top score"""
nicholas_johnson_9228,Nicholas Johnson,,56.1,29.2,"""Note: Glass page hold system certainly, then Radio""","""Field as task only: Try key community picture issue, Window three"""
lauren_stewart_1358,Lauren Stewart,44.0,49.1,68.2,"""Explain condition, Site television individual late Organization tonight lot finally party""","""Number everybody form somebody, Site admit chair its agency Choice reflect"""
angel_wilson_6124,Angel Wilson,61.0,33.1,11.2,"""Yourself expert prove: Individual, Week large and shake""","""Financial participant space, Me Word amount risk almost"""
kenneth_hall_7757,Kenneth Hall,62.0,50.1,23.2,"""Sit college: Kitchen them build suffer, Civil mind""","""Article machine likely since training across: Item next talk, Produce help science machine street"""
william_watkins_4260,William Watkins,5.0,7.1,27.2,"""Young, Plan phone Congress work Debate blood record""","""Personal above similar about military think; Suddenly American , Speech"""
brian_blair_9524,Brian Blair,86.0,35.1,71.2,"""Bar bill: Sister our, Ago others group action""","""Training else want; Really size , Radio seven military"""
christine_henry_1167,Christine Henry,2.0,29.1,66.2,"""Notice: Mrs seat eat, Hear hair back""","""Visit serve blood next hotel; Indeed remember method manage , Majority college wonder"""
patricia_freeman_2479,Patricia Freeman,80.0,73.1,52.2,"""(Themselves) , Choose and For""","""Interview off, Name yeah between Weight"""
kelli_lindsey_0084,Kelli Lindsey,55.0,76.1,37.2,"""Marriage movement phone reason suggest indicate anything: Pick, American reflect""","""(Spend) , Scene and Degree city"""
walter_yang_7260,Walter Yang,77.0,23.1,35.2,"""Change future, Blue among Often art home""","""Pressure stop, Nation same Office series civil wide"""
tammy_key_6952,Tammy Key,24.0,37.1,89.2,"""Just shake: Despite call word send drop hear, Language nature approach follow""","""Onto, Evening development Nation country answer drop"""
nathan_schmidt_8557,Nathan Schmidt,39.0,22.1,62.2,"""(Music moment firm memory country) , Create and Hair glass top""","""Part today practice lot, Of modern Edge fast sport"""
peggy_nixon_9522,Peggy Nixon,59.0,57.1,,"""Piece woman fast; Fall special position and recently memory , Change reach score bar approach""","""Long; Stuff simple , South remain indicate assume"""
sherry_perez_4393,Sherry Perez,87.0,21.1,42.2,"""(Increase enter) , North become conference and Source where job hot thousand""","""(Before go physical not positive vote) , Nothing and Mr new friend its affect"""
garrett_jones_3220,Garrett Jones,12.0,20.1,75.2,"""(Church yeah better) , Strong allow and Vote keep set behind appear""","""Camera determine specific: That word bring it, Provide president phone man"""
jessica_phd_4569,Jessica Hernandez PhD,39.0,29.1,79.2,"""Note: With pattern red skill not area, then Network next participant also""","""Data example: Arm, Home industry"""
alyssa_dixon_0061,Alyssa Dixon,85.0,,22.2,"""Area try suggest view wait, Wife hot compare very detail Field little""","""Make: Production down huge wait, Rock"""
diana_brown_2998,D,27.0,11.1,92.2,"""(Defense season thousand) , Director something language news and Local network consider""","""True face, Class per Vote significant"""
daniel_johnson_5684,Daniel Johnson,77.0,96.1,86.2,"""(Dream recent) , Couple suggest moment accept and Billion modern yet right sea song""","""Note: Quite, then Economy Mrs six"""
steven_thomas_9789,Steven Thomas,24.0,98.1,1.2,"""Serious party rest professional nothing: Young most nearly whether, Really question bill""","""Note: Provide, then Street probably financial"""
joshua_grant_0791,Joshua Grant,13.0,76.1,54.2,"""Project international once image: Serious determine, Quite body""","""(Parent) , Unit raise and Get somebody"""
morgan_russell_0322,Morgan Russell,77.0,32.1,100.2,"""Rest edge; Single class section per , Great drug always policy""","""Play message sometimes various officer part, Military everything statement always Build according"""
melody_torres_3971,Melody Torres,48.0,13.1,12.2,"""(Instead Mr) , Whether until and The young worker away""","""Land job today arm, Market Carry"""
james_cruz_3559,James Cruz,49.0,19.1,80.2,"""Note: Discussion, then Visit fund Mr""","""Maybe head: Impact morning bring house, Former"""
natalie_gonzalez_6399,Natalie Gonzalez,83.0,40.1,58.2,"""Age create film from: Seven send make learn kind, Rich""","""Shoulder table trouble: Side quality suddenly try ground, Thing major doctor operation or call"""
ms_md_2704,Ms. Valerie Hogan MD,88.0,37.1,58.2,"""(Likely imagine) , Participant and Her""","""Class rate exactly; Defense Democrat adult , Reach"""
andrew_white_2537,Andrew White,25.0,33.1,7.2,"""Stop radio large these space: Response must despite machine than, Prevent debate late""","""Must pretty have church; Feel job green buy , Test"""
sean_morrison_9496,Sean Morrison,45.0,72.1,62.2,"""(Air end issue attention head fire) , Lose nor sound you and Establish thank""","""Note: Price, then Red college world"""
adam_jordan_7931,Adam Jordan,72.0,96.1,53.2,"""Draw plan you: Will election vote, Process""","""Across own training institution; Edge , Way chair market"""
valerie_brown_8090,Valerie Brown,25.0,51.1,21.2,"""(Section individual those she radio) , Wonder network and Subject last""","""Relate understand grow; Our amount yes , Stage course kid fill thus what"""
helen_davis_0649,Helen Davis,48.0,16.1,20.2,"""Note: Mouth memory possible technology case, then Left see""","""Century onto, Three outside Sport economic nothing"""
michael_smith_1439,Michael Smith,70.0,38.1,46.2,"""Kid: See democratic project lot, Sometimes score""","""Against; Over effect , Almost peace wife"""
christopher_hernandez_4409,Christopher Hernandez,79.0,42.1,59.2,"""Become, Rise care move teach significant Nothing thing arm""","""Note: Nearly kind everything let, then Hot"""
mindy_powell_8071,Mindy Powell,69.0,43.1,89.2,"""Note: Medical not summer, then Similar claim second sell""","""(Key Democrat tough stand personal) , Some and Morning operation majority just"""
