# This is a comment line to skip
name;username;score;summary
e;ashley_wilson_0141;53.0;"""Note: Lot artist coach; then My"""
Karen James;karen_james_2842;47.0;"""Note: Understand could stop sign many; then Develop big page per"""
Kaitlin Rose;kaitlin_rose_8801;39.0;"""Note: Capital realize up foreign; then Turn determine"""
Charles Johnson;charles_johnson_3824;63.0;"""Note: Soldier; then Shoulder avoid"""
Christopher Hanson;christopher_hanson_6838;64.0;"""Subject itself machine: Try cost sea billion; Scientist value"""
John Buckley;john_buckley_7885;66.0;"""(Century well) ; Figure art and Point very wall thing section"""
Cynthia Lewis MD;cynthia_md_9923;24.0;"""Theory; Color type generation ; Among"""
Natalie Conrad;natalie_conrad_0029;62.0;"""Foreign serious game: Shake state drop child black act; Finally training vote brother"""
Paul Chambers;paul_chambers_6437;63.0;"""Note: These mention give father; then Story per"""
Cory Stevens;cory_stevens_7304;40.0;"""Note: View really option; then Less of less program"""
Heather Ellis;heather_ellis_2840;96.0;"""Note: With piece customer; then Yeah effort second road official"""
Cody Wright;cody_wright_2349;82.0;"""More up alone; Rock nice sport discover Thank move father difference although support"""
Tracy Marquez;tracy_marquez_0333;30.0;"""Herself various forget thus: Table ball member put toward; Magazine very state last manager hour"""
Denise Rodriguez;denise_rodriguez_8872;71.0;"""Note: Street maintain; then Hold special"""
Gregory Young;gregory_young_0095;63.0;"""Note: Audience thousand effort; then Suddenly event"""
Amanda Ellis;amanda_ellis_5089;71.0;"""(Owner see position back) ; Production poor and Bit two drop"""
Angela Decker;angela_decker_1199;36.0;"""Mean board: Main her across exist; Available into every perform training"""
Justin Foster;justin_foster_8517;;"""Seat same; Through face language police Crime those position consumer"""
Jason Fox;jason_fox_6028;91.0;"""Do; Avoid past gun idea vote ; Project"""
Justin Smith;justin_smith_4335;12.0;"""Note: Entire source; then Fine plant on"""
