# This is a comment line to skip
name;score;total_count;rating;review;message
Michael Richards;61.0;38.1;63.2;"""Nearly sit: Little specific; Under modern develop""";"""Despite TV garden; Produce real probably him whom Eight loss program"""
Courtney Smith;57.0;87.1;47.2;"""Suffer book fly wide budget; Drop inside decision Class""";"""Show; One large degree left ; Forward up kitchen power"""
Darlene Ramos;85.0;85.1;83.2;"""Though prevent; Themselves man traditional news Site lose crime cultural""";"""Question development: Left pattern traditional; Interesting less at move"""
Amy Lynch;75.0;;23.2;"""(Special reason democratic among like loss) ; Yet although throughout home and Time environment""";"""(Build near wife) ; Physical author and Parent upon early certainly find"""
John Gilbert;40.0;76.1;34.2;"""Trade fine radio determine: Front; Nice security""";"""Note: Occur great girl agent most often; then View"""
Krystal Watson;88.0;58.1;47.2;"""Event; Laugh four Area meeting top exactly""";"""Edge; Product city that wide ; Account seek authority"""
Krista Romero;;94.1;69.2;"""Note: Result husband well century; then Yes hair skin yeah""";"""Condition quality whom; Family seat single happen beautiful sit Region so"""
Cristian Moss;48.0;66.1;47.2;"""Three theory; Smile recently Itself power""";"""Note: Piece fear administration; then World join across"""
Michael Henry;3.0;85.1;75.2;"""Finish pick later shoulder; Partner indicate order ; Pressure market industry""";"""(Professional you) ; Some agree statement shoulder and Line"""
Latoya Pacheco;8.0;57.1;;"""Sure wind past budget side; Form its than ; Significant hot""";"""Community: Sister information; Artist color physical"""
Patrick Johnson;40.0;14.1;65.2;"""Will: Father list quite; Character""";"""Difference account present; About ; West even too argue"""
Mr. Matthew Nelson;28.0;94.1;88.2;"""Audience authority couple student: Former degree charge; Animal""";"""Power bed and deep; History rule treat black Own everyone short admit"""
Cheryl Smith;91.0;63.1;99.2;"""Degree boy mother; Republican sense official body Decide bank door ago""";"""Expert vote worker; Produce list Important family design peace"""
l;79.0;81.1;16.2;"""Data truth heavy; Interesting economic ; Identify team phone want order""";"""(School grow according born else others) ; Lawyer activity return and Thank difficult likely"""
Linda Hodge;88.0;61.1;69.2;"""Commercial successful: Practice difference full agency; Kid kind successful""";"""(Quality) ; Wish discover box and Short sea easy week"""
Carla Hunter;44.0;89.1;93.2;"""(Book feeling together green pressure when) ; Reason body present indicate and Point several name""";"""Four worry sit affect: Amount money toward; Media north"""
Ashley Wright;85.0;21.1;58.2;"""Something involve power word; Choose tend Money fear glass""";"""Note: Word believe; then Indeed need some career"""
Gerald Dennis;41.0;99.1;63.2;"""(Idea trip court) ; Both second and Heavy majority""";"""(In in adult professor) ; Million and Message suddenly"""
Dominique Berry;29.0;95.1;53.2;"""His she out five; Another significant finish ; Cause""";"""Can its never: Receive pass risk; Glass camera assume accept scene child"""
Mark Phillips;1.0;77.1;44.2;"""Note: Us ahead even per source design; then Media eight I""";"""Sort: Friend industry radio possible; Television above value body should"""
Kristen Velasquez;90.0;94.1;88.2;"""(Field technology) ; Cause space ago check hear and Different state""";"""Last green cold: Similar; Stage party whose few reflect"""
Christopher Reynolds;28.0;76.1;40.2;"""Happy leader before: Without challenge week; Democratic exist contain student book""";"""Note: Bag; then Lot leader"""
