name;username;score;price;comment
Wayne Saunders-Carter;wayne_carter_7336;40.0;76.1;'''(Adipisci laudantium ab) ; Reiciendis tenetur quod rem a and Placeat distinctio temporibus'''
Valerie Russell;valerie_russell_3474;96.0;55.1;'''Note: Quibusdam quis porro; then Nisi repellendus cum magnam saepe ad'''
Gregory Todd;gregory_todd_0116;;60.1;'''Voluptatibus est ipsum similique facere; Ducimus ; Eos ipsam nulla saepe'''
Carl Reed;carl_reed_0797;61.0;51.1;'''Note: Aliquid excepturi; then Ab quisquam quod'''
Mr Owen George;mr_george_5791;34.0;19.1;'''Commodi sapiente excepturi: Natus fugit quisquam; Accusantium nostrum reiciendis iure velit'''
Owen Riley;owen_riley_6291;98.0;91.1;'''Perspiciatis quaerat ipsa; Repudiandae fugit sint ; Blanditiis enim'''
Carly Jones;carly_jones_7215;92.0;49.1;'''Note: Praesentium praesentium laudantium; then Error mollitia'''
Alex George;alex_george_1897;22.0;92.1;'''(Eligendi voluptate possimus voluptatibus) ; Optio natus unde and Minus omnis vel'''
Mrs Ruth Tucker;mrs_tucker_8899;72.0;1.1;'''Note: Explicabo ratione aperiam veniam; then Minus dignissimos possimus dolor nulla blanditiis'''
Lorraine Khan;lorraine_khan_5195;62.0;4.1;'''Iure voluptatem at; Dolorem Harum numquam'''
Jean Winter;jean_winter_2134;38.0;100.1;'''Note: Nam; then Labore autem rem maiores rem'''
Diana Clarke;diana_clarke_7286;88.0;36.1;'''(Illo laborum quis) ; Voluptate ad eius and Voluptatibus maiores hic'''
Glenn Davis;glenn_davis_3716;83.0;100.1;'''Consectetur est ducimus reiciendis: Quibusdam animi commodi; Modi fugit dolorum incidunt'''
l;janet_slater_7883;91.0;49.1;'''Sequi doloribus impedit; Fuga nihil ; Maxime maiores rem totam harum'''
Alexandra Mills;alexandra_mills_6287;55.0;53.1;'''Tenetur; Officiis itaque voluptate Quidem'''
Dr Maria Wall;dr_wall_9599;7.0;67.1;'''Note: Repellendus laudantium illo sit id; then Quia earum esse tempora'''
Yvonne Lambert;yvonne_lambert_1541;94.0;61.1;'''Pariatur; Deserunt sed hic dicta ; Rerum corporis quasi aliquam'''
Ms Olivia Walker;ms_walker_2071;1.0;;'''(Labore labore illo quia) ; Eveniet perferendis culpa and Itaque suscipit'''
Dr Frederick Ahmed;dr_ahmed_9074;9.0;7.1;'''Note: Ut expedita laudantium minus saepe; then Tempora commodi atque possimus tempore'''
Natasha Bell;natasha_bell_8708;85.0;35.1;'''Itaque vero dolorum; Totam consequatur molestiae necessitatibus velit Vero accusamus eum'''
Brandon Gallagher;brandon_gallagher_1981;75.0;9.1;'''Quos dolores: Saepe reiciendis consequuntur beatae nemo eius; Veritatis adipisci'''
Jill Taylor-Wallace;jill_wallace_6157;32.0;100.1;'''(Qui accusamus sit) ; Necessitatibus provident accusantium and Porro maiores'''
Alice Alexander;alice_alexander_8086;11.0;4.1;'''Fugit reiciendis itaque omnis: Laborum dolore sequi suscipit quis voluptatibus; Iste maxime consectetur accusantium'''
