name,username,salary,review
Joseph Bell,joseph_bell_9753,34.0,"""Fire when hold, Body instead let Learn then serious"""
Bryce Silva,bryce_silva_2070,68.0,"""(Station serve) , The attack choice nor and Scene education growth"""
Kristin Rodriguez,kristin_rodriguez_4266,15.0,"""Note: Floor start, then Form else"""
Bruce Herrera,bruce_herrera_9307,83.0,"""Knowledge paper feeling; Listen , Seven reduce my"""
James Sanchez,james_sanchez_7441,37.0,"""South lawyer here some power civil; Within that , Traditional big"""
Robert Olson,robert_olson_1900,33.0,"""(Maybe) , Entire owner prove and Future very"""
Mrs. Olivia Brown,mrs_brown_8472,27.0,"""On question: Area son beautiful beat street, Break"""
Kathleen Taylor,kathleen_taylor_5459,95.0,"""Great Mr think north follow back: Your sound up education yes art, Increase chance"""
Jonathon Livingston,jonathon_livingston_0994,37.0,"""Paper behavior; Discuss everything consumer , Decide huge before"""
Mackenzie Smith,mackenzie_smith_8353,62.0,"""Rather director: Image accept agreement main, Foot"""
Elizabeth Gonzalez,elizabeth_gonzalez_5524,53.0,"""Close, Network adult sea staff Section"""
James Underwood,james_underwood_7007,23.0,"""Instead politics experience; Nothing hair during , Must scene"""
Michael Smith,michael_smith_9908,13.0,"""Join might world: Network produce chair grow, Evidence when rock much"""
Amy Navarro,amy_navarro_8372,71.0,"""Detail late increase sound; Necessary ok good arrive marriage , Amount recognize"""
Sarah Vargas,sarah_vargas_7420,49.0,"""Practice girl each example, Language office lead others no weight material Use represent catch"""
Sarah Wilkins,sarah_wilkins_9458,99.0,"""But table, Way technology Service"""
Stephanie Porter,stephanie_porter_9926,46.0,"""Society ago training; Hand , Lose"""
John Smith,john_smith_6614,43.0,"""Machine type almost call up, Eat By church try tell property"""
Samantha Silva,samantha_silva_0614,5.0,"""Note: Far really voice either, then Professor"""
Lori Small,lori_small_7319,73.0,"""Note: Trip ball, then Fund father rich throw perform enough"""
Jennifer Harrington,jennifer_harrington_6059,73.0,"""Report establish ahead need local, Successful situation Present bit five"""
Brittney Riley,brittney_riley_0996,9.0,"""Eight; Difficult return son , Gas quality middle make forward"""
John Goodwin,john_goodwin_3477,52.0,"""(Decide success miss moment former) , Employee water and Option six reduce customer"""
John Huang,john_huang_7197,82.0,"""Note: Add likely, then Yet land east bring according lay"""
Mr. Darren Shaffer,mr_shaffer_9387,4.0,"""(Lose yes) , Listen always rich two and Huge reduce though foreign"""
Joseph Torres,joseph_torres_1533,78.0,"""(Her cost attack trade) , Someone throughout leave activity market and Small law know join"""
Erik Abbott,erik_abbott_9929,66.0,"""Note: True, then Should which yeah power"""
Taylor Brown,taylor_brown_4054,92.0,"""Bar determine unit responsibility couple: Point before least control though new, Create decision"""
Amy Nunez,amy_nunez_1723,76.0,"""(Range rise morning) , Mean house American perform lot material and They magazine"""
Julie Mcclain,julie_mcclain_1721,96.0,"""Such; Beat truth face name , Will bill return fill director"""
Charles Martinez,charles_martinez_0108,74.0,"""More act goal physical; College join magazine American , Skin condition life nearly protect"""
Shannon Cortez,shannon_cortez_1941,7.0,"""Particularly seat partner; Single alone billion plant material on , Rich clearly care"""
Kathryn Jimenez,kathryn_jimenez_8244,77.0,"""(Space campaign rock theory) , Wrong boy simply law and Especially floor any run"""
Kristy Webster,kristy_webster_2858,9.0,"""Weight bit soon, Evening Since author culture"""
Anna Gonzales,anna_gonzales_4675,77.0,"""Interview task; System hand best system , Strong simple"""
Andrea Hartman,andrea_hartman_9077,44.0,"""Civil cup: Gun effect show here, Home improve those huge east"""
x,sarah_silva_1353,95.0,"""Whom record area; Stop prepare , Executive feel billion"""
Christine George,christine_george_9644,99.0,"""Public look student, Writer kid professional join It"""
Brittany Mcdonald,brittany_mcdonald_4082,98.0,"""Simply unit attention, Executive Measure"""
Bryan Rowland Jr.,bryan_jr_3948,84.0,"""Doctor dream arm responsibility; Kitchen , Door evening"""
Leslie Cantu,leslie_cantu_5781,57.0,"""Want place worry child save: Right because three upon, Benefit second play"""
Karen Hall,karen_hall_7582,63.0,"""(Anyone teach financial yard) , Network difference and Country deal world dinner"""
Lisa Greene,lisa_greene_3520,18.0,"""Structure: Forward miss bed, American around your institution"""
Veronica Rodriguez,veronica_rodriguez_7880,,"""Security pressure, Possible just Recent"""
Shane Mullen,shane_mullen_0508,92.0,"""Again performance huge; Sign capital , Somebody build who"""
Makayla Jones,makayla_jones_7368,60.0,"""Very least local new in, Assume hour ten Would truth call part"""
Laura Mendoza,laura_mendoza_5929,99.0,"""(Middle end story know) , Class law wall suggest and Time bank light"""
Charles Ramirez,charles_ramirez_7167,77.0,"""And operation; Return whether , Sell"""
