# This is a comment line to skip
name,age,price,remark
Maria Adams,57.0,60.1,'''Note: Us risk, then Movement situation form'''
Richard Collins,1.0,3.1,'''Note: Even last break, then Stage concern sometimes'''
Justin Haynes,47.0,49.1,'''Law structure; Move , Student lot'''
Jennifer Ware,,90.1,'''(Hold health left hour reveal) , Toward me marriage great and To dinner war accept direction'''
Elizabeth Reyes,57.0,63.1,'''Note: Laugh deal speak, then Real change civil hold behavior pay'''
Katie Cortez,86.0,24.1,'''Card within give: Here fund seem special office, Simple beyond thought stand'''
Thomas May,38.0,83.1,'''How herself key, Difficult Behavior direction'''
George Duran,60.0,2.1,'''Fight pretty bar machine: Really, Policy want'''
Joshua Black,46.0,21.1,'''Note: Myself class reduce, then System experience official'''
David White,83.0,73.1,'''(Kid check probably) , Particularly quickly south attorney fire and Present speech human beautiful'''
Courtney Strong,50.0,40.1,'''Race million matter; Fine dark threat , Model itself'''
x,32.0,58.1,'''Wear able short; But foot , Economy'''
Jennifer Oneill,57.0,22.1,'''His front: Week onto at issue product continue, Exist thank continue'''
Rachel Parks,17.0,75.1,'''Sign, Man poor Along a term'''
Joanne Wall,15.0,47.1,'''Note: Arrive full, then Popular fight executive your'''
Gabriela Thompson,99.0,87.1,'''Election history time out; More lead , Parent science bit'''
Sandra Lewis,62.0,23.1,'''Product: You, Interview somebody'''
Kirsten Graham,78.0,66.1,'''Consumer common note, Trouble worry growth learn factor several Ball'''
Jason Burke,89.0,86.1,'''Early: Item project article, Artist'''
Jeffery Curry,87.0,74.1,'''Rather gun: Many peace thank, Miss perform force'''
Toni Sanchez,5.0,,'''(Serious) , Line field and Without organization difficult'''
Lauren Griffin,90.0,30.1,'''Two maintain there, Community color Authority television expect'''
David Sanchez,48.0,95.1,'''Couple wonder amount back: Step room, Energy discover'''
Lisa Nelson,86.0,72.1,'''Rate; From particularly , Interest party some general describe'''
Claire Vega,57.0,9.1,'''Energy not drop box live: Already lose war citizen, Store fine money that'''
Courtney Williams,47.0,80.1,'''(Suddenly growth) , Anyone how and Standard board page enjoy'''
Maurice Simpson,20.0,50.1,'''Consider; Rock cold ever , Still high perhaps know light'''
Vanessa Hoffman,16.0,31.1,'''(Issue mention direction message) , Hour collection and Agent one business'''
Bonnie Hubbard,82.0,90.1,'''Base improve nation; Three agency , Billion her guess'''
Julian Moon,18.0,51.1,'''(All beat develop plan) , Western machine and Yard former'''
