name,price,salary,total_count,message,note
Michael Farrell,50.0,53.1,,"""(Sapiente odio officia) , Autem praesentium and Quod excepturi aliquid""","""Similique minus; Inventore , Perferendis nihil quasi ducimus"""
Simon Singh,26.0,2.1,6.2,"""Nam: Quis necessitatibus, Esse dicta aut quas ratione""","""Doloremque: Deleniti, Dicta dicta illo nisi quisquam"""
Jessica Anderson,28.0,29.1,5.2,"""Note: Repudiandae, then Quas pariatur nemo tempora consequuntur""","""Note: Cum nihil, then Adipisci dolores cupiditate"""
Aimee Murphy,39.0,12.1,59.2,"""Note: Illum et quibusdam voluptatibus quo commodi, then Pariatur possimus""","""Note: Corporis rerum voluptatibus illo vitae hic, then Suscipit commodi"""
Jack Ford,93.0,79.1,76.2,"""Note: Facere odit velit, then Fugiat voluptatum voluptatum""","""(Maiores hic) , Excepturi maxime doloribus veniam eius and Vel voluptate"""
Mrs Kim Scott,96.0,60.1,72.2,"""Et sint, Deserunt perspiciatis ut alias odio Corrupti dolor""","""Magnam consectetur sunt; Cumque aperiam molestias , Aliquam incidunt assumenda asperiores"""
Rachael Macdonald,15.0,62.1,29.2,"""(Eaque accusamus excepturi officia quo) , Quas at dicta animi and Temporibus excepturi""","""Delectus veritatis inventore, Qui iste eius accusantium voluptatem exercitationem Assumenda consectetur quas delectus"""
Stanley Stokes,20.0,100.1,2.2,"""Deleniti asperiores qui, Facilis non nobis autem veritatis ea Voluptates labore suscipit impedit hic""","""Error neque: Occaecati ipsum ex, Quos maxime"""
Albert Powell,49.0,56.1,50.2,"""Animi esse: Suscipit, Ad debitis porro""","""Note: Modi, then Voluptatem accusamus perferendis praesentium"""
x,94.0,100.1,25.2,"""Note: Quod quasi praesentium, then Rem""","""Dignissimos: Deleniti, Eos magni distinctio"""
Gemma Edwards,96.0,42.1,87.2,"""(Id facere) , Quidem libero pariatur praesentium pariatur and Aspernatur magnam ea""","""(Ipsam earum dolores) , Aliquid exercitationem and Voluptatum necessitatibus autem id distinctio"""
Mr Frederick Johnson,80.0,67.1,72.2,"""Laudantium mollitia et qui magnam: Totam reiciendis velit illum qui aliquid eos, Exercitationem adipisci recusandae officia""","""Note: Error esse recusandae, then Eos asperiores"""
Janet Bailey,69.0,33.1,76.2,"""(Reiciendis voluptate) , Incidunt ab and Adipisci a""","""Note: Quidem molestiae ducimus, then Ipsum et voluptatum quae"""
Miss Grace Young,12.0,51.1,98.2,"""Note: Laudantium facere dignissimos, then Tempore similique fugit ipsum""","""Saepe officiis delectus officiis; Dolor , Veniam quae"""
Connor Barker,69.0,39.1,20.2,"""Laudantium quidem tempora; Non hic corrupti ad , Eius iusto beatae nesciunt recusandae""","""Note: Repellat dolorum quia, then Perferendis quam numquam aliquid"""
Charlene Hilton-Jones,55.0,24.1,60.2,"""Nesciunt consequatur, Ullam blanditiis officiis Voluptatibus magnam""","""Note: Fugiat quos exercitationem cupiditate, then Libero delectus iure"""
Mr Sam Craig,51.0,75.1,49.2,"""Cumque eos pariatur; Nam , Consequatur deserunt""","""Animi modi nulla officia ullam, Temporibus laboriosam Ad nisi nobis"""
Donald Brown,62.0,39.1,19.2,"""(Earum dicta repudiandae culpa animi) , Delectus error accusantium and Debitis rem veritatis nam""","""(Earum ipsum earum dolore earum) , Iusto and Inventore ullam"""
Mrs Chloe Jones,35.0,52.1,7.2,"""Note: Est tempore, then Quia accusamus""","""(Odio autem nihil) , Corporis dolorum magnam eius atque and Odio quo excepturi"""
Mr Craig Gray,56.0,75.1,63.2,"""Note: Porro, then Mollitia""","""Placeat voluptatibus non; Quidem facere repudiandae , In aperiam at"""
Lauren Reynolds,95.0,33.1,34.2,"""Note: Molestias magnam, then At dicta""","""Incidunt perferendis nisi aliquam nostrum deleniti: Laudantium dolores debitis ad error, Reprehenderit sapiente"""
Conor Roberts-Wall,13.0,52.1,14.2,"""Incidunt dolorem, Asperiores aspernatur ut Reiciendis quia""","""Velit recusandae veritatis, A cum Dicta at"""
Ms Grace Briggs,65.0,21.1,49.2,"""Dolores repellendus nam eaque soluta: Voluptatibus, Vero rem voluptate""","""(Provident) , Eveniet unde and Optio"""
Josephine Lewis,72.0,52.1,9.2,"""(Omnis eum eos natus) , Laboriosam esse sapiente and Ullam sit dolorem dolorem cumque""","""Atque: Consequatur odit vel illum dolorem, Magni quod"""
Dr Holly Walker,72.0,15.1,49.2,"""(Quia ut) , Commodi qui ad and Incidunt quis aspernatur quia""","""Note: Minima enim perspiciatis iusto ab, then Cum id"""
Paige Green,82.0,71.1,5.2,"""Id quia culpa necessitatibus fugit, Maxime ab laboriosam Voluptas harum""","""Occaecati perspiciatis quidem facilis eveniet; Facilis , Voluptatum consequuntur"""
Mrs Hayley Miles,97.0,29.1,21.2,"""Quo minima, Modi quisquam dicta Illum""","""Totam facere, Quos earum reiciendis ut adipisci Ducimus"""
Ms Suzanne Lawrence,22.0,14.1,49.2,"""Nisi nulla facilis, Voluptate consectetur voluptatibus magnam magni Quas incidunt similique""","""(In praesentium aspernatur rem) , Quia necessitatibus and Iusto soluta"""
Anne Hughes,2.0,,17.2,"""Corporis cumque excepturi: Aut adipisci consectetur sunt minus, Dolores tenetur nemo soluta enim""","""Note: Rerum fuga, then Adipisci nisi adipisci dolores officiis culpa"""
Debra Newton,30.0,97.1,62.2,"""(Assumenda temporibus) , Nisi aperiam quam illo and Necessitatibus veritatis odio reprehenderit""","""Totam esse fugit dolorum; Ducimus libero eaque voluptas , Quis necessitatibus illo necessitatibus"""
Arthur Walker-Simpson,15.0,70.1,41.2,"""Repudiandae pariatur provident quaerat; Sequi laudantium expedita nemo , Alias quasi quas""","""(Earum dolore amet culpa ipsa) , Fuga and Ea atque est doloribus architecto"""
Nicholas Freeman,35.0,24.1,10.2,"""Cumque rem laudantium officia, Ex porro beatae fuga asperiores sapiente Neque distinctio magnam""","""Nobis ipsum perferendis eaque autem: Mollitia sint ut, Ipsum natus"""
Ronald Smith,66.0,66.1,22.2,"""Note: Modi veniam ipsum eligendi neque mollitia, then Molestias ullam""","""Molestias sed: Dolor in, Deserunt aliquid numquam nobis optio"""
Ms Georgina Sullivan,18.0,74.1,23.2,"""Ducimus at repellendus, Quaerat Nesciunt""","""Note: Modi culpa, then Fuga sed dolore repudiandae"""
Dr Danny Lewis,6.0,67.1,100.2,"""(Molestiae) , Magni architecto blanditiis and Omnis saepe possimus odio""","""(Incidunt cumque) , Quibusdam beatae assumenda reiciendis eius and At magnam"""
Terry Lawrence,77.0,30.1,70.2,"""(Voluptatum eveniet maxime facere autem) , Libero quasi nemo ullam quidem nostrum and Impedit quas nihil adipisci doloremque ea""","""Cupiditate maiores vel, Veniam Quam quasi eligendi veritatis sit"""
Duncan Gibbons,68.0,7.1,19.2,"""(Quisquam suscipit) , Illo beatae and Consequuntur praesentium qui eum dolor""","""Illo porro iusto aspernatur sint, Consequuntur deserunt Ab sapiente"""
Dr Callum Freeman,44.0,35.1,54.2,"""Provident non; Quasi tempore molestias aut , Laboriosam tenetur""","""(Vitae hic eligendi) , Tempore numquam and Nesciunt sed error"""
Callum Thomas,13.0,27.1,53.2,"""Note: Nostrum in, then Ipsum perspiciatis harum laborum""","""(Incidunt harum inventore officia) , Cupiditate and Animi ut impedit iste esse"""
Adam Kay,,95.1,19.2,"""Deleniti harum; Eligendi maxime , Vel ducimus deserunt velit quia""","""Note: Vel quibusdam voluptatem, then Voluptatem ut iure"""
Mr Jay Bird,92.0,12.1,23.2,"""Note: Quia asperiores esse laudantium et, then Rerum eligendi""","""Repudiandae praesentium at, Magni consequuntur Dolorum quo"""
Harriet Collins,4.0,58.1,84.2,"""Aliquid hic tenetur, Animi Tenetur cupiditate""","""Eius autem omnis id, Dolor quas Architecto labore"""
Kelly Oliver,76.0,73.1,42.2,"""Note: Ab eum incidunt, then Cumque nulla nam""","""(Aut quis) , Porro ut corrupti and Quae"""
Dr Martin Kelly,39.0,1.1,2.2,"""Note: Necessitatibus tempore nulla, then Architecto maxime voluptas""","""Soluta rerum inventore; Quam dolorem , Asperiores cupiditate dicta in"""
Gemma Jones,89.0,10.1,53.2,"""Note: Sequi, then Repudiandae facere eos""","""Vitae dignissimos necessitatibus, Eum sint sequi Aut"""
